CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
12901101,SEYMOUR ISD,SEYMOUR ELEM.,3,INDEPENDENT,300 E IDAHO ST,SEYMOUR,76380-1650,8,36,16,7
13801101,ST. MARY'S ACAD,ST. MARY'S ACAD,3,CHARTER,410 N TYLER ST,BEEVILLE,78102,5,42,18,3
13901101,BEEVILLE ISD,R.A. HALL ELEM.,3,INDEPENDENT,1100 W HUNTINGTON,BEEVILLE,78102-2599,22,61,26,17
13901102,BEEVILLE ISD,FADDEN-MCKEOWN-,3,INDEPENDENT,100 T J PFEIL,BEEVILLE,78102-6998,35,77,31,17
13902101,PAWNEE ISD,PAWNEE ELEM. -,3,INDEPENDENT,6229 FM 798,PAWNEE,78145-0569,1,11,4,3
13903101,PETTUS ISD,PETTUS ELEM.,3,INDEPENDENT,500 N BEE ST,PETTUS,78146-1149,4,23,14,9
13905101,SKIDMORE-TYNAN,SKIDMORE-TYNAN,3,INDEPENDENT,325 BOBCAT TRAIL,SKIDMORE,78389,8,43,20,5
14803002,PRIORITY CHARTE,GEORGETOWN CHAR,3,CHARTER,302 SERENADA,GEORGETOWN,78628,1,9,4,0
14803003,PRIORITY CHARTE,COVE CHARTER AC,3,CHARTER,2205 FM 3046,COPPERAS COVE,76522,6,11,2,0
14803004,PRIORITY CHARTE,CEDAR PARK CHAR,3,CHARTER,201 BUTTERCUP CREEK BLVD,CEDAR PARK,78613,2,13,8,6
14803101,PRIORITY CHARTE,TEMPLE CHARTER,3,CHARTER,7177 AIRPORT RD,TEMPLE,76502,6,20,14,7
14804002,ORENDA CHARTER,NEW HORIZONS,3,CHARTER,850 FM 574 W,GOLDTHWAITE,76844,7,0,0,0
14804006,ORENDA CHARTER,GATEWAY COLLEGE,3,CHARTER,3360 WESTINGHOUSE RD,GEORGETOWN,78626,9,99,73,40
14804007,ORENDA CHARTER,NOLAN CREEK SCH,3,CHARTER,505 E AVE C,BELTON,76513,2,15,6,1
14804008,ORENDA CHARTER,KINGSLAND SCHOO,3,CHARTER,2112 W RANCH RD 1431,KINGSLAND,78639,11,8,2,0
14901101,ACADEMY ISD,ACAD. INTERMEDI,3,INDEPENDENT,107 S PONDALILY,LITTLE RIVER,76554,13,102,56,25
14902001,BARTLETT ISD,BARTLETT SCHOOL,3,INDEPENDENT,404 N ROBINSON,BARTLETT,76511-0170,3,15,8,2
14903102,BELTON ISD,LEON HEIGHTS EL,3,INDEPENDENT,1501 N MAIN,BELTON,76513,6,33,18,8
14903103,BELTON ISD,MILLER HEIGHTS,3,INDEPENDENT,1110 FAIRWAY DR,BELTON,76513,10,43,23,6
14903104,BELTON ISD,SOUTHWEST ELEM.,3,INDEPENDENT,611 S SAUNDERS,BELTON,76513,29,32,9,3
14903108,BELTON ISD,LAKEWOOD ELEM.,3,INDEPENDENT,11200 FM 2305,BELTON,76513,6,99,76,52
14903109,BELTON ISD,SPARTA ELEM.,3,INDEPENDENT,1800 SPARTA RD,BELTON,76513,17,89,63,27
14903111,BELTON ISD,JOE M. PIRTLE E,3,INDEPENDENT,714 S PEA RDG,TEMPLE,76502,25,110,64,34
14903116,BELTON ISD,TARVER ELEM.,3,INDEPENDENT,7949 STONEHOLLOW DR,TEMPLE,76502,11,95,68,42
14903117,BELTON ISD,HIGH POINT ELEM,3,INDEPENDENT,1635 STARLIGHT DR,TEMPLE,76502,13,93,67,39
14903118,BELTON ISD,CHISHOLM TRAIL,3,INDEPENDENT,1082 S WHEAT RD,BELTON,76513,39,83,37,15
14905101,HOLLAND ISD,HOLLAND ELEM.,3,INDEPENDENT,503 CROCKETT ST,HOLLAND,76534-0217,3,43,27,9
14906102,KILLEEN ISD,CLIFTON PARK EL,3,INDEPENDENT,2200 TRIMMIER RD,KILLEEN,76541-8599,10,66,38,18
14906103,KILLEEN ISD,EAST WARD ELEM.,3,,,,,14,38,17,4
14906105,KILLEEN ISD,HARKER HEIGHTS,3,INDEPENDENT,726 S ANN BLVD,HARKER HEIGHTS,76548-1209,29,71,42,16
14906108,KILLEEN ISD,MEADOWS ELEM.,3,INDEPENDENT,423 27TH ST,FORT HOOD,76544-1347,9,64,41,22
14906109,KILLEEN ISD,PEEBLES ELEM.,3,INDEPENDENT,1800 N W S YOUNG DR,KILLEEN,76543-3139,5,76,51,27
14906110,KILLEEN ISD,PERSHING PARK E,3,INDEPENDENT,1500 W CENTRAL TX EXPWY,KILLEEN,76549-1220,17,37,21,8
14906111,KILLEEN ISD,SUGAR LOAF ELEM,3,INDEPENDENT,1517 BARBARA LN,KILLEEN,76549-8299,23,36,19,8
14906112,KILLEEN ISD,WEST WARD ELEM.,3,INDEPENDENT,709 W DEAN AVE,KILLEEN,76541-2398,23,41,16,6
14906113,KILLEEN ISD,BELLAIRE ELEM.,3,INDEPENDENT,108 W JASPER,KILLEEN,76542-1397,19,49,19,7
14906115,KILLEEN ISD,NOLANVILLE ELEM,3,INDEPENDENT,901 OLD NOLANVILLE RD,NOLANVILLE,76559-4599,19,64,41,15
14906116,KILLEEN ISD,CLARKE ELEM.,3,INDEPENDENT,51600 COMMANCHE AVE,FORT HOOD,76544-1173,6,78,55,33
14906119,KILLEEN ISD,HAY BRANCH ELEM,3,INDEPENDENT,6101 WESTCLIFF RD,KILLEEN,76543-8898,17,75,39,17
14906120,KILLEEN ISD,WILLOW SPRINGS,3,INDEPENDENT,2501 W STAN SCHLUETER LOOP,KILLEEN,76549-3669,61,84,45,22
14906121,KILLEEN ISD,MOUNTAIN VIEW E,3,INDEPENDENT,500 MOUNTAIN LION RD,HARKER HEIGHTS,76548-2099,27,118,76,44
14906122,KILLEEN ISD,REECES CREEK EL,3,INDEPENDENT,400 W STAN SCHLUETER LOOP,KILLEEN,76542-3839,21,96,59,23
14906123,KILLEEN ISD,CLEAR CREEK ELE,3,INDEPENDENT,4800 WASHINGTON BLVD,FORT HOOD,76544-1199,9,68,37,15
14906124,KILLEEN ISD,CEDAR VALLEY EL,3,INDEPENDENT,4801 CHANTZ DR,KILLEEN,76542-3745,13,98,68,33
14906125,KILLEEN ISD,BROOKHAVEN ELEM,3,INDEPENDENT,3221 HILLIARD AVE,KILLEEN,76543-2648,13,65,34,14
14906126,KILLEEN ISD,VENABLE VILLAGE,3,INDEPENDENT,60160 VENABLE RD,FORT HOOD,76544-3610,8,66,55,38
14906127,KILLEEN ISD,TRIMMIER ELEM.,3,INDEPENDENT,4400 SUCCESS DR,KILLEEN,76542-3987,17,72,40,16
14906128,KILLEEN ISD,MONTAGUE VILLAG,3,INDEPENDENT,84001 CLEMENT DR,FORT HOOD,76544-1500,11,63,49,29
14906129,KILLEEN ISD,MAXDALE ELEM.,3,INDEPENDENT,2600 WESTWOOD DR,KILLEEN,76549-3352,29,65,40,14
14906130,KILLEEN ISD,IRA CROSS JR. E,3,INDEPENDENT,1910 HERNDON DR,KILLEEN,76543-5237,25,85,50,23
14906131,KILLEEN ISD,IDUMA ELEM.,3,INDEPENDENT,4400 FOSTER LN,KILLEEN,76549-2782,19,83,44,18
14906132,KILLEEN ISD,OVETA CULP HOBB,3,INDEPENDENT,53210 LOST MOCCASIN,FORT HOOD,76544-4019,14,73,36,18
14906133,KILLEEN ISD,TIMBER RIDGE EL,3,INDEPENDENT,5402 WHITE ROCK DR,KILLEEN,76542-4365,43,118,53,23
14906135,KILLEEN ISD,SAEGERT ELEM.,3,INDEPENDENT,5600 SCHORN DR,KILLEEN,76542-4651,14,104,66,38
14906136,KILLEEN ISD,SKIPCHA ELEM.,3,INDEPENDENT,515 PROSPECTOR TRL,HARKER HEIGHTS,76548-2408,19,138,99,51
14906137,KILLEEN ISD,RICHARD E. CAVA,3,INDEPENDENT,1200 N 10TH ST,NOLANVILLE,76559,18,78,51,21
14906138,KILLEEN ISD,HAYNES ELEM.,3,INDEPENDENT,3309 W CANADIAN RIVER LOOP,KILLEEN,76549,28,122,71,35
14906139,KILLEEN ISD,DR. JOSEPH A. F,3,INDEPENDENT,4910 KATY CREEK LN,KILLEEN,76549,33,138,88,43
14906140,KILLEEN ISD,ALICE W. DOUSE,3,INDEPENDENT,700 REBECCA LYNN DR,KILLEEN,76542,21,133,85,42
14907102,ROGERS ISD,ROGERS ELEM.,3,INDEPENDENT,802 ROGERS CEMETRY RD,ROGERS,76569-9998,24,33,17,7
14908102,SALADO ISD,THOMAS ARNOLD E,3,INDEPENDENT,550 THOMAS ARNOLD RD,SALADO,76571,36,132,83,42
14909102,TEMPLE ISD,CATER ELEM.,3,INDEPENDENT,4111 LARK TRL,TEMPLE,76502-1247,17,44,26,12
14909107,TEMPLE ISD,JEFFERSON ELEM.,3,INDEPENDENT,2616 N 3RD ST,TEMPLE,76501-1345,21,71,44,21
14909110,TEMPLE ISD,SCOTT ELEM.,3,INDEPENDENT,2301 W AVE P,TEMPLE,76504-6552,29,54,26,8
14909111,TEMPLE ISD,THORNTON ELEM.,3,INDEPENDENT,2825 COTTONWOOD LN,TEMPLE,76502-2575,39,71,33,13
14909114,TEMPLE ISD,WESTERN HILLS E,3,INDEPENDENT,600 ARAPAHO DR,TEMPLE,76504-3724,20,41,21,12
14909116,TEMPLE ISD,RAYE-ALLEN ELEM,3,INDEPENDENT,5015 S 5TH ST,TEMPLE,76502-3700,31,49,20,8
14909117,TEMPLE ISD,KENNEDY-POWELL,3,INDEPENDENT,3707 W NUGENT AVE,TEMPLE,76504-8840,16,57,37,19
14909118,TEMPLE ISD,HECTOR P. GARCI,3,INDEPENDENT,2525 LAVENDUSKY DR,TEMPLE,76501-4818,13,47,23,9
14910101,TROY ISD,TROY ELEM.,3,INDEPENDENT,808 E AUSTIN AVE,TROY,76579-0409,28,94,52,15
15802001,GEORGE GERVIN A,GEORGE GERVIN A,3,CHARTER,6944 S SUNBELT DR,SAN ANTONIO,78218,16,20,15,7
15805041,NEW FRONTIERS P,FRANK L. MADLA,3,CHARTER,4018 S PRESA,SAN ANTONIO,78223,21,15,4,1
15806101,SCHOOL OF EXCEL,DR. HARMON W. K,3,CHARTER,802 OBLATE DR,SAN ANTONIO,78216,6,23,10,3
15806106,SCHOOL OF EXCEL,DR. DAVID C. WA,3,CHARTER,6500 IH 35 N STE C,SAN ANTONIO,78218,9,8,2,0
15807001,SOUTHWEST PREPA,SOUTHWEST PREPA,3,CHARTER,1258 AUSTIN HWY,SAN ANTONIO,78209-4820,12,4,2,0
15807002,SOUTHWEST PREPA,SOUTHWEST PREPA,3,CHARTER,735 S WW WHITE RD,SAN ANTONIO,78220-2524,8,2,0,0
15807101,SOUTHWEST PREPA,SOUTHWEST PREP,3,CHARTER,4151 CULEBRA RD,SAN ANTONIO,78228,11,6,0,0
15807102,SOUTHWEST PREPA,SEGUIN ELEM.,3,CHARTER,2400 WALNUT,SEGUIN,78155,7,9,6,3
15808009,INSPIRE ACADEMI,ANNE FRANK INSP,3,CHARTER,11216 BANDERA RD,SAN ANTONIO,78249,13,12,6,4
15808012,INSPIRE ACADEMI,JHW INSPIRE ACA,3,CHARTER,13326 N HWY 183,GONZALES,78629,5,0,0,0
15809101,BEXAR COUNTY AC,BEXAR COUNTY AC,3,CHARTER,1481 HILLCREST DR,SAN ANTONIO,78228,12,17,8,1
15815001,HERITAGE ACADEM,HERITAGE ACAD.,3,CHARTER,8750 FOURWINDS DR,WINDCREST,78239,9,15,3,2
15822001,JUBILEE ACADEMI,JUBILEE SAN ANT,3,CHARTER,4427 CHANDLER RD,SAN ANTONIO,78222,39,50,26,15
15822002,JUBILEE ACADEMI,JUBILEE HIGHLAN,3,CHARTER,1515 GOLIAD RD,SAN ANTONIO,78223,48,53,29,11
15822004,JUBILEE ACADEMI,JUBILEE - LAKE,3,CHARTER,325 CASTROVILLE RD,SAN ANTONIO,78207,27,20,3,1
15822005,JUBILEE ACADEMI,JUBILEE HIGHLAN,3,CHARTER,901 E DREXEL AVE,SAN ANTONIO,78210,8,26,14,5
15822006,JUBILEE ACADEMI,JUBILEE KINGSVI,3,CHARTER,201 N 19TH ST,KINGSVILLE,78363,9,16,9,4
15822007,JUBILEE ACADEMI,JUBILEE LIVING,3,CHARTER,4955 PABLO KISEL,BROWNSVILLE,78526,7,37,22,11
15822008,JUBILEE ACADEMI,JUBILEE HARLING,3,CHARTER,4501 W EXPY 83,HARLINGEN,78552,6,33,21,11
15822009,JUBILEE ACADEMI,JUBILEE WELLS B,3,CHARTER,15201 BURNET RD,AUSTIN,78728,37,54,29,16
15822010,JUBILEE ACADEMI,JUBILEE BROWNSV,3,CHARTER,4955 PABLO KISEL,BROWNSVILLE,78526,16,29,12,4
15822011,JUBILEE ACADEMI,JUBILEE LEADERS,3,CHARTER,4150 JAIME ZAPATA,BROWNSVILLE,78521,9,11,2,1
15825001,LIGHTHOUSE CHAR,LIGHTHOUSE CHAR,3,CHARTER,8138 WESTSHIRE DR,SAN ANTONIO,78227,8,18,5,0
15827002,SCHOOL OF SCIEN,SCHOOL OF SCIEN,3,CHARTER,12200 CROWNPOINT DR STE 100,SAN ANTONIO,78233,9,42,29,14
15827003,SCHOOL OF SCIEN,SCHOOL OF SCIEN,3,CHARTER,16200 TX 249,HOUSTON,77086,26,46,24,12
15827004,SCHOOL OF SCIEN,SCHOOL OF SCIEN,3,CHARTER,330 N SAM HOUSTON PKWY E,HOUSTON,77060,15,30,13,5
15828002,HARMONY SCIENCE,HARMONY SCHOOL,3,CHARTER,8125 GLEN MONT DR,SAN ANTONIO,78239,13,31,8,0
15828004,HARMONY SCIENCE,HARMONY SCHOOL,3,CHARTER,4608 DAUGHERTY AVE,LAREDO,78041,19,80,43,25
15828005,HARMONY SCIENCE,HARMONY SCIENCE,3,CHARTER,1124 CENTRAL BLVD,BROWNSVILLE,78520,18,31,13,4
15828006,HARMONY SCIENCE,HARMONY SCHOOL,3,CHARTER,2015 SW LOOP 410,SAN ANTONIO,78227,26,60,26,9
15830001,BROOKS ACADEMIE,BROOKS ACAD. OF,3,CHARTER,3803 LYSTER RD,SAN ANTONIO,78235,47,74,41,20
15830101,BROOKS ACADEMIE,BROOKS COLLEGIA,3,CHARTER,4802 VANCE JACKSON RD,SAN ANTONIO,78230,27,60,28,13
15830102,BROOKS ACADEMIE,BROOKS ACAD. LO,3,CHARTER,4802 VANCE JACKSON RD,SAN ANTONIO,78230,6,11,8,4
15830103,BROOKS ACADEMIE,BROOKS ACAD. OA,3,CHARTER,6070 BABCOCK RD,SAN ANTONIO,78240,5,28,22,17
15831001,SCHOOL OF SCIEN,SCHOOL OF SCIEN,3,CHARTER,5707 BANDERA RD,SAN ANTONIO,78238,8,45,22,12
15831002,SCHOOL OF SCIEN,SCHOOL OF SCIEN,3,CHARTER,6633 EVANS RD,CORPUS CHRISTI,78413,19,80,41,11
15831003,SCHOOL OF SCIEN,SCHOOL OF SCIEN,3,CHARTER,10550 WESTOFFICE DR,HOUSTON,77042,11,36,21,10
15831004,SCHOOL OF SCIEN,SCHOOL OF SCIEN,3,CHARTER,12042 CULEBRA RD,SAN ANTONIO,78253,5,17,12,6
15834002,BASIS TEXAS,BASIS SAN ANTON,3,CHARTER,318 E RAMSEY RD,SAN ANTONIO,78216,6,112,87,61
15834101,BASIS TEXAS,BASIS SAN ANTON,3,CHARTER,8519 FLOYD CURL DR,SAN ANTONIO,78240,6,122,94,51
15835001,GREAT HEARTS TE,GREAT HEARTS MO,3,CHARTER,211 BELKNAP PLACE,SAN ANTONIO,78212,4,69,51,28
15835003,GREAT HEARTS TE,GREAT HEARTS NO,3,CHARTER,17223 JONES MALTSBERGER RD,SAN ANTONIO,78247,8,109,61,35
15835004,GREAT HEARTS TE,GREAT HEARTS IR,3,CHARTER,3350 W STORY RD,IRVING,75038,9,80,55,27
15835005,GREAT HEARTS TE,GREAT HEARTS WE,3,CHARTER,8702 INGRAM RD,SAN ANTONIO,78245,47,59,29,9
15836001,ELEANOR KOLITZ,ELEANOR KOLITZ,3,CHARTER,11327 DREAMLAND DR,SAN ANTONIO,78230,4,40,27,11
15901101,ALAMO HEIGHTS I,CAMBRIDGE ELEM.,3,INDEPENDENT,1001 TOWNSEND AVE,SAN ANTONIO,78209-5199,34,128,72,35
15901104,ALAMO HEIGHTS I,WOODRIDGE ELEM.,3,INDEPENDENT,100 WOODRIDGE,SAN ANTONIO,78209-2999,26,146,102,58
15904101,HARLANDALE ISD,CARROLL BELL EL,3,INDEPENDENT,519 W HARDING,SAN ANTONIO,78221-1804,12,34,16,1
15904102,HARLANDALE ISD,BELLAIRE ELEM.,3,INDEPENDENT,142 E AMBER PL,SAN ANTONIO,78221-2499,16,47,29,11
15904103,HARLANDALE ISD,COLLIER ELEM.,3,INDEPENDENT,834 W SOUTHCROSS BLVD,SAN ANTONIO,78211-2745,7,56,24,6
15904104,HARLANDALE ISD,COLUMBIA HEIGHT,3,INDEPENDENT,1610 FITCH AVE,SAN ANTONIO,78211-2199,29,23,12,6
15904105,HARLANDALE ISD,STONEWALL-FLAND,3,INDEPENDENT,804 STONEWALL,SAN ANTONIO,78211-1799,21,45,22,10
15904106,HARLANDALE ISD,V.M. ADAMS ELEM,3,INDEPENDENT,135 E SOUTHCROSS BLVD,SAN ANTONIO,78214-3598,32,38,20,10
15904107,HARLANDALE ISD,GILLETTE ELEM.,3,INDEPENDENT,625 GILLETTE BLVD,SAN ANTONIO,78221-3722,14,40,18,7
15904108,HARLANDALE ISD,H.W. SCHULZE EL,3,INDEPENDENT,9131 YETT BLVD,SAN ANTONIO,78221-4199,28,74,32,9
15904109,HARLANDALE ISD,MORRILL ELEM.,3,INDEPENDENT,5200 S FLORES ST,SAN ANTONIO,78214-1499,7,36,18,6
15904110,HARLANDALE ISD,RAYBURN ELEM.,3,INDEPENDENT,635 RAYBURN DR,SAN ANTONIO,78221-1346,14,32,17,8
15904113,HARLANDALE ISD,VESTAL ELEM.,3,INDEPENDENT,1102 CANTRELL DR,SAN ANTONIO,78221-2599,9,38,18,12
15904114,HARLANDALE ISD,WRIGHT ELEM.,3,INDEPENDENT,115 E HUFF AVE,SAN ANTONIO,78214-2230,13,40,13,4
15904116,HARLANDALE ISD,E.H. GILBERT EL,3,INDEPENDENT,931 E SOUTHCROSS BLVD,SAN ANTONIO,78214-1896,22,41,17,5
15905104,EDGEWOOD ISD,ROY CISNEROS EL,3,INDEPENDENT,3011 RUIZ,SAN ANTONIO,78237-2169,24,40,12,3
15905106,EDGEWOOD ISD,ALONSO S. PERAL,3,INDEPENDENT,1507 CERALVO ST,SAN ANTONIO,78237-4312,15,40,14,3
15905108,EDGEWOOD ISD,GARDENDALE ELEM,3,INDEPENDENT,1731 DAHLGREEN ST,SAN ANTONIO,78237-3631,16,35,13,6
15905109,EDGEWOOD ISD,L.B. JOHNSON EL,3,INDEPENDENT,6515 W COMMERCE ST,SAN ANTONIO,78227-1598,17,47,20,6
15905110,EDGEWOOD ISD,LAS PALMAS ELEM,3,INDEPENDENT,115 LAS PALMAS DR,SAN ANTONIO,78237-3142,35,23,7,0
15905112,EDGEWOOD ISD,LOMA PARK ELEM.,3,INDEPENDENT,400 AURORA DR,SAN ANTONIO,78228-5999,36,39,20,8
15905113,EDGEWOOD ISD,ROOSEVELT ELEM.,3,INDEPENDENT,3823 FORTUNA CT,SAN ANTONIO,78237-1359,26,32,17,8
15905114,EDGEWOOD ISD,STAFFORD ELEM.,3,INDEPENDENT,415 SW 36TH ST,SAN ANTONIO,78237-2607,18,37,16,7
15905116,EDGEWOOD ISD,WINSTON ELEM.,3,INDEPENDENT,2500 S GENERAL MCMULLEN DR,SAN ANTONIO,78226-1699,18,35,14,8
15905117,EDGEWOOD ISD,H.B. GONZALEZ E,3,INDEPENDENT,2803 CASTROVILLE RD,SAN ANTONIO,78237-2253,31,28,12,5
15906101,RANDOLPH FIELD,RANDOLPH ELEM.,3,INDEPENDENT,BLDG 146,RANDOLPH A F B,78148-1217,6,97,70,42
15907026,SAN ANTONIO ISD,ADVANCED LEARNI,3,INDEPENDENT,621 W EUCLID,SAN ANTONIO,78212,19,47,33,16
15907101,SAN ANTONIO ISD,ARNOLD ELEM.,3,INDEPENDENT,467 FREILING DR,SAN ANTONIO,78213-3907,16,29,12,5
15907103,SAN ANTONIO ISD,CHARLES C. BALL,3,INDEPENDENT,343 KOEHLER CT,SAN ANTONIO,78223-2999,27,19,12,0
15907105,SAN ANTONIO ISD,BASKIN ELEM.,3,INDEPENDENT,630 CRESTVIEW DR,SAN ANTONIO,78201-6622,14,43,25,13
15907106,SAN ANTONIO ISD,BEACON HILL ACA,3,INDEPENDENT,1411 W ASHBY PL,SAN ANTONIO,78201-6337,12,28,19,13
15907107,SAN ANTONIO ISD,BONHAM ACAD.,3,INDEPENDENT,925 S ST MARY'S ST,SAN ANTONIO,78205-3410,24,24,10,4
15907110,SAN ANTONIO ISD,J.T. BRACKENRID,3,INDEPENDENT,1214 GUADALUPE ST,SAN ANTONIO,78207-5597,42,45,17,4
15907112,SAN ANTONIO ISD,BRISCOE ELEM.,3,INDEPENDENT,2015 S FLORES ST,SAN ANTONIO,78204-1990,19,21,12,2
