CAMPUS,DNAME,CNAME,GRADE,District Type,School Street Address,School City,School Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
11901110,BASTROP ISD,LOST PINES ELEM,4,INDEPENDENT,151 TIGER WOODS DR,BASTROP,78602,41.0,79.0,47.0,25.0
11902101,ELGIN ISD,BOOKER T. WASHI,4,INDEPENDENT,510 MLK,ELGIN,78621-3032,51.0,61.0,28.0,10.0
11902102,ELGIN ISD,ELGIN ELEM.,4,INDEPENDENT,1005 W 2ND ST,ELGIN,78621-2038,39.0,57.0,33.0,20.0
11902103,ELGIN ISD,NEIDIG ELEM.,4,INDEPENDENT,13700 COUNTY LINE RD,ELGIN,78621-0351,54.0,42.0,16.0,4.0
11904101,SMITHVILLE ISD,SMITHVILLE ELEM,4,INDEPENDENT,P O BOX 479,SMITHVILLE,78957-1110,50.0,82.0,48.0,28.0
11905101,MCDADE ISD,MCDADE ELEM.,4,INDEPENDENT,P O BOX 400,MCDADE,78650-0400,6.0,31.0,20.0,17.0
12901101,SEYMOUR ISD,SEYMOUR ELEM.,4,INDEPENDENT,409 W IDAHO ST,SEYMOUR,76380-1650,3.0,41.0,33.0,21.0
13801101,ST. MARY'S ACAD,ST. MARY'S ACAD,4,CHARTER,P O BOX 279,BEEVILLE,78102,8.0,50.0,27.0,12.0
13901101,BEEVILLE ISD,R.A. HALL ELEM.,4,INDEPENDENT,1100 W HUNTINGTON,BEEVILLE,78102-2599,33.0,66.0,32.0,19.0
13901102,BEEVILLE ISD,FADDEN-MCKEOWN-,4,INDEPENDENT,100 T J PFEIL,BEEVILLE,78102-6998,42.0,72.0,39.0,24.0
13902101,PAWNEE ISD,PAWNEE ELEM. -,4,INDEPENDENT,P O BOX 569,PAWNEE,78145-0569,2.0,14.0,9.0,4.0
13903101,PETTUS ISD,PETTUS ELEM.,4,INDEPENDENT,P O BOX D,PETTUS,78146-1149,6.0,14.0,6.0,3.0
13905101,SKIDMORE-TYNAN,SKIDMORE-TYNAN,4,INDEPENDENT,224 W MAIN ST,SKIDMORE,78389,25.0,40.0,19.0,8.0
14803002,PRIORITY CHARTE,GEORGETOWN CHAR,4,CHARTER,275 FM 2483,MORGANS POINT RESORT,76513,1.0,5.0,3.0,1.0
14803003,PRIORITY CHARTE,COVE CHARTER AC,4,CHARTER,275 FM 2483,MORGANS POINT RESORT,76513,8.0,6.0,5.0,2.0
14803004,PRIORITY CHARTE,CEDAR PARK CHAR,4,CHARTER,275 FM 2483,MORGANS POINT RESORT,76513,2.0,12.0,7.0,5.0
14803101,PRIORITY CHARTE,TEMPLE CHARTER,4,CHARTER,275 FM 2483,MORGANS POINT RESORT,76513,17.0,13.0,6.0,1.0
14804002,ORENDA CHARTER,NEW HORIZONS,4,CHARTER,P O BOX 549,GOLDTHWAITE,76844,8.0,2.0,0.0,0.0
14804006,ORENDA CHARTER,GATEWAY COLLEGE,4,CHARTER,3360 WESTINGHOUSE RD,GEORGETOWN,78626,12.0,82.0,49.0,20.0
14804007,ORENDA CHARTER,NOLAN CREEK SCH,4,CHARTER,505 E AVE C,BELTON,76513,5.0,9.0,4.0,2.0
14804008,ORENDA CHARTER,KINGSLAND SCHOO,4,CHARTER,P O BOX 629,KINGSLAND,78639,8.0,11.0,5.0,4.0
14901101,ACADEMY ISD,ACAD. INTERMEDI,4,INDEPENDENT,107 S PONDALILY,LITTLE RIVER,76554,34.0,111.0,74.0,38.0
14902001,BARTLETT ISD,BARTLETT SCHOOL,4,INDEPENDENT,P O BOX 170,BARTLETT,76511-0170,10.0,15.0,7.0,3.0
14903102,BELTON ISD,LEON HEIGHTS EL,4,INDEPENDENT,1501 N MAIN,BELTON,76513,18.0,25.0,14.0,6.0
14903103,BELTON ISD,MILLER HEIGHTS,4,INDEPENDENT,1110 FAIRWAY DR,BELTON,76513,13.0,44.0,21.0,9.0
14903104,BELTON ISD,SOUTHWEST ELEM.,4,INDEPENDENT,611 S SAUNDERS,BELTON,76513,30.0,34.0,21.0,7.0
14903108,BELTON ISD,LAKEWOOD ELEM.,4,INDEPENDENT,11200 FM 2305,BELTON,76513,16.0,122.0,94.0,67.0
14903109,BELTON ISD,SPARTA ELEM.,4,INDEPENDENT,1800 SPARTA RD,BELTON,76513,5.0,79.0,62.0,40.0
14903111,BELTON ISD,JOE M. PIRTLE E,4,INDEPENDENT,714 S PEA RDG,TEMPLE,76502,9.0,123.0,92.0,64.0
14903116,BELTON ISD,TARVER ELEM.,4,INDEPENDENT,7949 STONEHOLLOW DR,TEMPLE,76502,16.0,100.0,64.0,46.0
14903117,BELTON ISD,HIGH POINT ELEM,4,INDEPENDENT,1635 STARLIGHT DR,TEMPLE,76502,17.0,92.0,60.0,41.0
14903118,BELTON ISD,CHISHOLM TRAIL,4,INDEPENDENT,1082 S WHEAT RD,BELTON,76513,46.0,82.0,47.0,30.0
14905101,HOLLAND ISD,HOLLAND ELEM.,4,INDEPENDENT,P O BOX 217,HOLLAND,76534-0217,6.0,38.0,19.0,12.0
14906102,KILLEEN ISD,CLIFTON PARK EL,4,INDEPENDENT,2200 TRIMMIER RD,KILLEEN,76541-8599,22.0,66.0,46.0,31.0
14906103,KILLEEN ISD,EAST WARD ELEM.,4,,,,,32.0,23.0,14.0,10.0
14906105,KILLEEN ISD,HARKER HEIGHTS,4,INDEPENDENT,726 S ANN BLVD,HARKER HEIGHTS,76548-1209,20.0,85.0,49.0,30.0
14906108,KILLEEN ISD,MEADOWS ELEM.,4,INDEPENDENT,423 27TH ST,FORT HOOD,76544-1347,96.0,123.0,67.0,38.0
14906109,KILLEEN ISD,PEEBLES ELEM.,4,INDEPENDENT,1800 N W S YOUNG DR,KILLEEN,76543-3139,32.0,48.0,37.0,27.0
14906110,KILLEEN ISD,PERSHING PARK E,4,INDEPENDENT,1500 W CENTRAL TX EXPWY,KILLEEN,76549-1220,20.0,36.0,25.0,15.0
14906111,KILLEEN ISD,SUGAR LOAF ELEM,4,INDEPENDENT,1517 BARBARA LN,KILLEEN,76549-8299,34.0,37.0,19.0,11.0
14906112,KILLEEN ISD,WEST WARD ELEM.,4,INDEPENDENT,709 W DEAN AVE,KILLEEN,76541-2398,28.0,38.0,15.0,10.0
14906113,KILLEEN ISD,BELLAIRE ELEM.,4,INDEPENDENT,108 W JASPER,KILLEEN,76542-1397,24.0,46.0,30.0,17.0
14906115,KILLEEN ISD,NOLANVILLE ELEM,4,INDEPENDENT,901 OLD NOLANVILLE RD,NOLANVILLE,76559-4599,28.0,76.0,37.0,19.0
14906119,KILLEEN ISD,HAY BRANCH ELEM,4,INDEPENDENT,6101 WESTCLIFF RD,KILLEEN,76543-8898,26.0,60.0,29.0,17.0
14906120,KILLEEN ISD,WILLOW SPRINGS,4,INDEPENDENT,2501 W STAN SCHLUETER LOOP,KILLEEN,76549-3669,69.0,71.0,44.0,25.0
14906121,KILLEEN ISD,MOUNTAIN VIEW E,4,INDEPENDENT,500 MOUNTAIN LION RD,HARKER HEIGHTS,76548-2099,36.0,107.0,61.0,36.0
14906122,KILLEEN ISD,REECES CREEK EL,4,INDEPENDENT,400 W STAN SCHLUETER LOOP,KILLEEN,76542-3839,41.0,72.0,37.0,17.0
14906123,KILLEEN ISD,CLEAR CREEK ELE,4,INDEPENDENT,4800 WASHINGTON BLVD,FORT HOOD,76544-1199,17.0,55.0,32.0,21.0
14906124,KILLEEN ISD,CEDAR VALLEY EL,4,INDEPENDENT,4801 CHANTZ DR,KILLEEN,76542-3745,21.0,95.0,63.0,33.0
14906125,KILLEEN ISD,BROOKHAVEN ELEM,4,INDEPENDENT,3221 HILLIARD AVE,KILLEEN,76543-2648,19.0,70.0,41.0,27.0
14906126,KILLEEN ISD,VENABLE VILLAGE,4,INDEPENDENT,60160 VENABLE RD,FORT HOOD,76544-3610,19.0,50.0,29.0,17.0
14906127,KILLEEN ISD,TRIMMIER ELEM.,4,INDEPENDENT,4400 SUCCESS DR,KILLEEN,76542-3987,32.0,62.0,38.0,24.0
14906128,KILLEEN ISD,MONTAGUE VILLAG,4,INDEPENDENT,84001 CLEMENT DR,FORT HOOD,76544-1500,19.0,45.0,31.0,21.0
14906129,KILLEEN ISD,MAXDALE ELEM.,4,INDEPENDENT,2600 WESTWOOD DR,KILLEEN,76549-3352,20.0,62.0,33.0,13.0
14906130,KILLEEN ISD,IRA CROSS JR. E,4,INDEPENDENT,1910 HERNDON DR,KILLEEN,76543-5237,18.0,76.0,44.0,25.0
14906131,KILLEEN ISD,IDUMA ELEM.,4,INDEPENDENT,4400 FOSTER LN,KILLEEN,76549-2782,56.0,74.0,40.0,23.0
14906133,KILLEEN ISD,TIMBER RIDGE EL,4,INDEPENDENT,5402 WHITE ROCK DR,KILLEEN,76542-4365,58.0,121.0,80.0,51.0
14906135,KILLEEN ISD,SAEGERT ELEM.,4,INDEPENDENT,5600 SCHORN DR,KILLEEN,76542-4651,40.0,93.0,59.0,37.0
14906136,KILLEEN ISD,SKIPCHA ELEM.,4,INDEPENDENT,515 PROSPECTOR TRL,HARKER HEIGHTS,76548-2408,44.0,142.0,94.0,70.0
14906137,KILLEEN ISD,RICHARD E. CAVA,4,INDEPENDENT,1200 N 10TH ST,NOLANVILLE,76559,18.0,80.0,48.0,27.0
14906138,KILLEEN ISD,HAYNES ELEM.,4,INDEPENDENT,3309 W CANADIAN RIVER LOOP,KILLEEN,76549,61.0,96.0,56.0,34.0
14906139,KILLEEN ISD,DR. JOSEPH A. F,4,INDEPENDENT,4910 KATY CREEK LN,KILLEEN,76549,31.0,157.0,115.0,62.0
14906140,KILLEEN ISD,ALICE W. DOUSE,4,INDEPENDENT,700 REBECCA LYNN DR,KILLEEN,76542,26.0,91.0,65.0,42.0
14907102,ROGERS ISD,ROGERS ELEM.,4,INDEPENDENT,1 EAGLE DR,ROGERS,76569-9998,11.0,36.0,20.0,14.0
14908102,SALADO ISD,THOMAS ARNOLD E,4,INDEPENDENT,P O BOX 98,SALADO,76571-0098,27.0,119.0,74.0,38.0
14909102,TEMPLE ISD,CATER ELEM.,4,INDEPENDENT,4111 LARK TRL,TEMPLE,76502-1247,15.0,33.0,18.0,15.0
14909107,TEMPLE ISD,JEFFERSON ELEM.,4,INDEPENDENT,2616 N 3RD ST,TEMPLE,76501-1345,25.0,61.0,38.0,22.0
14909110,TEMPLE ISD,SCOTT ELEM.,4,INDEPENDENT,2301 W AVE P,TEMPLE,76504-6552,37.0,52.0,24.0,12.0
14909111,TEMPLE ISD,THORNTON ELEM.,4,INDEPENDENT,2825 COTTONWOOD LN,TEMPLE,76502-2575,47.0,68.0,31.0,17.0
14909114,TEMPLE ISD,WESTERN HILLS E,4,INDEPENDENT,600 ARAPAHO DR,TEMPLE,76504-3724,22.0,48.0,29.0,17.0
14909116,TEMPLE ISD,RAYE-ALLEN ELEM,4,INDEPENDENT,5015 S 5TH ST,TEMPLE,76502-3700,19.0,37.0,22.0,15.0
14909117,TEMPLE ISD,KENNEDY-POWELL,4,INDEPENDENT,3707 W NUGENT AVE,TEMPLE,76504-8840,21.0,63.0,45.0,30.0
14909118,TEMPLE ISD,HECTOR P. GARCI,4,INDEPENDENT,2525 LAVENDUSKY DR,TEMPLE,76501-4818,23.0,40.0,18.0,12.0
14910101,TROY ISD,TROY ELEM.,4,INDEPENDENT,P O BOX 409,TROY,76579-0409,25.0,92.0,60.0,31.0
15802001,GEORGE GERVIN A,GEORGE GERVIN A,4,CHARTER,6944 SUNBELT DR,SAN ANTONIO,78218,20.0,21.0,15.0,8.0
15805041,NEW FRONTIERS P,FRANK L. MADLA,4,CHARTER,138 FAIR AVE,SAN ANTONIO,78223,34.0,15.0,5.0,2.0
15806101,SCHOOL OF EXCEL,DR. HARMON W. K,4,CHARTER,802 OBLATE,SAN ANTONIO,78216,8.0,21.0,15.0,10.0
15806106,SCHOOL OF EXCEL,DR. DAVID C. WA,4,CHARTER,1826 BASSE RD,SAN ANTONIO,78213,12.0,2.0,1.0,1.0
15807001,SOUTHWEST PREPA,SOUTHWEST PREPA,4,CHARTER,1258 AUSTIN HWY,SAN ANTONIO,78209-4820,10.0,4.0,0.0,0.0
15807002,SOUTHWEST PREPA,SOUTHWEST PREPA,4,CHARTER,735 S WW WHITE RD,SAN ANTONIO,78220-2524,10.0,1.0,1.0,0.0
15807101,SOUTHWEST PREPA,SOUTHWEST PREP,4,CHARTER,4151 CULEBRA RD,SAN ANTONIO,78228,11.0,6.0,3.0,1.0
15807102,SOUTHWEST PREPA,SEGUIN ELEM.,4,CHARTER,1258 AUSTIN HWY,SAN ANTONIO,78209-4820,5.0,12.0,5.0,2.0
15808007,INSPIRE ACADEMI,JHW INSPIRE ACA,4,CHARTER,696 N FM 487,ROCKDALE,76567,,,,
15808009,INSPIRE ACADEMI,ANNE FRANK INSP,4,CHARTER,10325 BANDERA RD,SAN ANTONIO,78250,15.0,6.0,2.0,1.0
15808011,INSPIRE ACADEMI,JHW INSPIRE ACA,4,CHARTER,10325 BANDERA RD,SAN ANTONIO,78250,,,,
15808012,INSPIRE ACADEMI,JHW INSPIRE ACA,4,CHARTER,13326 N HWY 183,GONZALES,78629,4.0,1.0,1.0,0.0
15809101,BEXAR COUNTY AC,BEXAR COUNTY AC,4,CHARTER,1485 HILLCREST DR UNIT AO1,SAN ANTONIO,78228,9.0,18.0,7.0,4.0
15815001,HERITAGE ACADEM,HERITAGE ACAD.,4,CHARTER,8750 FOURWINDS DR,WINDCREST,78239,14.0,11.0,6.0,3.0
15815042,HERITAGE ACADEM,HERITAGE ACAD.,4,CHARTER,605 AMISTAD BLVD,DEL RIO,78840,14.0,9.0,5.0,1.0
15822001,JUBILEE ACADEMI,JUBILEE SAN ANT,4,CHARTER,4434 ROLAND,SAN ANTONIO,78222,40.0,64.0,33.0,15.0
15822002,JUBILEE ACADEMI,JUBILEE HIGHLAN,4,CHARTER,4434 ROLAND,SAN ANTONIO,78222,61.0,56.0,21.0,8.0
15822004,JUBILEE ACADEMI,JUBILEE - LAKE,4,CHARTER,4434 ROLAND RD,SAN ANTONIO,78222,42.0,12.0,3.0,1.0
15822005,JUBILEE ACADEMI,JUBILEE HIGHLAN,4,CHARTER,4434 ROLAND,SAN ANTONIO,78222,14.0,28.0,12.0,10.0
15822006,JUBILEE ACADEMI,JUBILEE KINGSVI,4,CHARTER,4434 ROLAND RD,SAN ANTONIO,78222,9.0,14.0,11.0,4.0
15822007,JUBILEE ACADEMI,JUBILEE LIVING,4,CHARTER,4434 ROLAND RD,SAN ANTONIO,78222,9.0,39.0,17.0,8.0
15822008,JUBILEE ACADEMI,JUBILEE HARLING,4,CHARTER,4434 ROLAND,SAN ANTONIO,78222,13.0,22.0,11.0,7.0
15822009,JUBILEE ACADEMI,JUBILEE WELLS B,4,CHARTER,4434 ROLAND,SAN ANTONIO,78222,27.0,44.0,21.0,13.0
15822010,JUBILEE ACADEMI,JUBILEE BROWNSV,4,CHARTER,4434 ROLAND,SAN ANTONIO,78222,35.0,45.0,21.0,17.0
15822011,JUBILEE ACADEMI,JUBILEE LEADERS,4,CHARTER,4434 ROLAND,SAN ANTONIO,78222,12.0,5.0,4.0,1.0
15825001,LIGHTHOUSE CHAR,LIGHTHOUSE CHAR,4,CHARTER,8138 WESTSHIRE DR,SAN ANTONIO,78227,13.0,16.0,4.0,1.0
15827002,SCHOOL OF SCIEN,SCHOOL OF SCIEN,4,CHARTER,12200 CROWNPOINT DR STE 100,SAN ANTONIO,78233,10.0,45.0,31.0,17.0
15827003,SCHOOL OF SCIEN,SCHOOL OF SCIEN,4,CHARTER,16200 TX 249,HOUSTON,77086,31.0,40.0,19.0,14.0
15827004,SCHOOL OF SCIEN,SCHOOL OF SCIEN,4,CHARTER,330 N SAM HOUSTON PKWY E,HOUSTON,77060,24.0,23.0,8.0,6.0
15828002,HARMONY SCIENCE,HARMONY SCHOOL,4,CHARTER,8125 GLEN MONT DR,SAN ANTONIO,78239,37.0,26.0,19.0,12.0
15828004,HARMONY SCIENCE,HARMONY SCHOOL,4,CHARTER,4608 DAUGHERTY AVE,LAREDO,78041,30.0,73.0,34.0,16.0
15828005,HARMONY SCIENCE,HARMONY SCIENCE,4,CHARTER,1124 CENTRAL BLVD,BROWNSVILLE,78520,19.0,30.0,18.0,8.0
15828006,HARMONY SCIENCE,HARMONY SCHOOL,4,CHARTER,2015 SW LOOP 410,SAN ANTONIO,78227,29.0,75.0,46.0,17.0
15830001,BROOKS ACADEMIE,BROOKS ACAD. OF,4,CHARTER,3803 LYSTER RD,SAN ANTONIO,78235,78.0,63.0,30.0,15.0
15830101,BROOKS ACADEMIE,BROOKS COLLEGIA,4,CHARTER,4802 VANCE JACKSON,SAN ANTONIO,78230,58.0,59.0,20.0,8.0
15830102,BROOKS ACADEMIE,BROOKS ACAD. LO,4,CHARTER,4802 VANCE JACKSON RD,SAN ANTONIO,78230,6.0,9.0,5.0,1.0
15830103,BROOKS ACADEMIE,BROOKS ACAD. OA,4,CHARTER,6070 BABCOCK RD,SAN ANTONIO,78240,5.0,17.0,11.0,7.0
15831001,SCHOOL OF SCIEN,SCHOOL OF SCIEN,4,CHARTER,5707 BANDERA RD,SAN ANTONIO,78238,9.0,42.0,29.0,21.0
15831002,SCHOOL OF SCIEN,SCHOOL OF SCIEN,4,CHARTER,5707 BANDERA RD,LEON VALLEY,78238,36.0,61.0,30.0,13.0
15831003,SCHOOL OF SCIEN,SCHOOL OF SCIEN,4,CHARTER,10550 WESTOFFICE DR,HOUSTON,77042,6.0,41.0,25.0,16.0
15831004,SCHOOL OF SCIEN,SCHOOL OF SCIEN,4,CHARTER,4241 WOODCOCK DR STE B-206,SAN ANTONIO,78228,2.0,15.0,12.0,10.0
15834002,BASIS TEXAS,BASIS SAN ANTON,4,CHARTER,404 E RAMSEY STE 106,SAN ANTONIO,78216,16.0,109.0,82.0,63.0
15834101,BASIS TEXAS,BASIS SAN ANTON,4,CHARTER,404 E RAMSEY STE 106,SAN ANTONIO,78216,4.0,121.0,105.0,80.0
15835001,GREAT HEARTS TE,GREAT HEARTS MO,4,CHARTER,211 BELKNAP PLACE,SAN ANTONIO,78212,6.0,70.0,56.0,43.0
15835003,GREAT HEARTS TE,GREAT HEARTS NO,4,CHARTER,17223 JONES MALTSBERGER RD,SAN ANTONIO,78247,9.0,108.0,75.0,49.0
15835004,GREAT HEARTS TE,GREAT HEARTS IR,4,CHARTER,3350 W STORY RD,IRVING,75038,5.0,86.0,65.0,46.0
15835005,GREAT HEARTS TE,GREAT HEARTS WE,4,CHARTER,824 BROADWAY STE 101,SAN ANTONIO,78215,29.0,31.0,15.0,4.0
15836001,ELEANOR KOLITZ,ELEANOR KOLITZ,4,CHARTER,11327 DREAMLAND DR,SAN ANTONIO,78230,7.0,32.0,28.0,16.0
15901101,ALAMO HEIGHTS I,CAMBRIDGE ELEM.,4,INDEPENDENT,1001 TOWNSEND AVE,SAN ANTONIO,78209-5199,62.0,106.0,60.0,33.0
15901104,ALAMO HEIGHTS I,WOODRIDGE ELEM.,4,INDEPENDENT,100 WOODRIDGE,SAN ANTONIO,78209-2999,24.0,137.0,109.0,64.0
15904101,HARLANDALE ISD,CARROLL BELL EL,4,INDEPENDENT,519 W HARDING,SAN ANTONIO,78221-1804,26.0,43.0,23.0,7.0
15904102,HARLANDALE ISD,BELLAIRE ELEM.,4,INDEPENDENT,142 E AMBER PL,SAN ANTONIO,78221-2499,23.0,44.0,26.0,15.0
15904103,HARLANDALE ISD,COLLIER ELEM.,4,INDEPENDENT,834 W SOUTHCROSS BLVD,SAN ANTONIO,78211-2745,16.0,49.0,23.0,12.0
15904104,HARLANDALE ISD,COLUMBIA HEIGHT,4,INDEPENDENT,1610 FITCH AVE,SAN ANTONIO,78211-2199,19.0,30.0,16.0,6.0
15904105,HARLANDALE ISD,STONEWALL-FLAND,4,INDEPENDENT,804 STONEWALL,SAN ANTONIO,78211-1799,23.0,25.0,15.0,8.0
15904106,HARLANDALE ISD,V.M. ADAMS ELEM,4,INDEPENDENT,135 E SOUTHCROSS BLVD,SAN ANTONIO,78214-3598,40.0,59.0,27.0,18.0
15904107,HARLANDALE ISD,GILLETTE ELEM.,4,INDEPENDENT,625 GILLETTE BLVD,SAN ANTONIO,78221-3722,16.0,48.0,23.0,9.0
15904108,HARLANDALE ISD,H.W. SCHULZE EL,4,INDEPENDENT,9131 YETT BLVD,SAN ANTONIO,78221-4199,27.0,82.0,36.0,17.0
15904109,HARLANDALE ISD,MORRILL ELEM.,4,INDEPENDENT,5200 S FLORES ST,SAN ANTONIO,78214-1499,15.0,43.0,24.0,11.0
15904110,HARLANDALE ISD,RAYBURN ELEM.,4,INDEPENDENT,635 RAYBURN DR,SAN ANTONIO,78221-1346,19.0,25.0,8.0,4.0
15904113,HARLANDALE ISD,VESTAL ELEM.,4,INDEPENDENT,1102 CANTRELL DR,SAN ANTONIO,78221-2599,13.0,38.0,21.0,16.0
15904114,HARLANDALE ISD,WRIGHT ELEM.,4,INDEPENDENT,115 E HUFF AVE,SAN ANTONIO,78214-2230,32.0,37.0,17.0,10.0
