CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level Hispanic,Below Grade Level Asian,Below Grade Level Black,Below Grade Level White,Approach Grade Level Hispanic,Approach Grade Level Asian,Approach Grade Level Black,Approach Grade Level White,Meet Grade Level Hispanic,Meet Grade Level Asian,Meet Grade Level Black,Meet Grade Level White,Master Grade Level Hispanic,Master Grade Level Asian,Master Grade Level Black,Master Grade Level White
3903120,LUFKIN ISD,ANDERSON ELEM.,3,INDEPENDENT,381 CHAMPION DR,LUFKIN,75901-7229,9.0,0.0,15.0,4.0,16.0,0.0,15.0,15.0,6.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0
3903121,LUFKIN ISD,BRANDON ELEM.,3,INDEPENDENT,1612 SAYERS ST,LUFKIN,75904-2012,7.0,0.0,16.0,5.0,24.0,0.0,21.0,45.0,15.0,0.0,12.0,31.0,6.0,0.0,3.0,20.0
3903122,LUFKIN ISD,BROOKHOLLOW ELE,3,INDEPENDENT,1009 LIVE OAK LN,LUFKIN,75904-4245,13.0,0.0,17.0,6.0,23.0,0.0,18.0,19.0,8.0,0.0,5.0,9.0,3.0,0.0,4.0,4.0
3903123,LUFKIN ISD,COSTON ELEM.,3,INDEPENDENT,707 TRENTON,LUFKIN,75901-2497,9.0,0.0,6.0,7.0,33.0,0.0,10.0,10.0,18.0,0.0,3.0,5.0,5.0,0.0,1.0,4.0
3903129,LUFKIN ISD,SLACK ELEM.,3,INDEPENDENT,1305 FULLER SPRINGS DR,LUFKIN,75901-6515,17.0,0.0,8.0,3.0,102.0,0.0,9.0,13.0,59.0,0.0,4.0,8.0,28.0,0.0,0.0,3.0
3904101,HUNTINGTON ISD,HUNTINGTON ELEM,3,INDEPENDENT,408 E LINN ST,HUNTINGTON,75949-0328,5.0,0.0,0.0,20.0,7.0,0.0,0.0,78.0,5.0,0.0,0.0,38.0,3.0,0.0,0.0,17.0
3905103,DIBOLL ISD,H.G. TEMPLE INT,3,INDEPENDENT,1301 LUMBERJACK DR,DIBOLL,75941,21.0,0.0,4.0,4.0,48.0,0.0,7.0,21.0,21.0,0.0,4.0,10.0,5.0,0.0,1.0,6.0
3906101,ZAVALLA ISD,ZAVALLA ELEM.,3,INDEPENDENT,431 E MAIN ST,ZAVALLA,75980-0045,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,8.0
3907102,CENTRAL ISD,CENTRAL ELEM.,3,INDEPENDENT,8578 US HWY 69N,POLLOK,75969-9710,5.0,0.0,0.0,19.0,19.0,0.0,0.0,48.0,11.0,0.0,0.0,18.0,5.0,0.0,0.0,6.0
4901101,ARANSAS COUNTY,FULTON LEARNING,3,INDEPENDENT,314 N 6TH ST,FULTON,78358-0907,39.0,2.0,0.0,46.0,52.0,3.0,0.0,61.0,22.0,1.0,0.0,24.0,12.0,1.0,0.0,13.0
5901101,ARCHER CITY ISD,ARCHER CITY ELE,3,INDEPENDENT,602 S ASH ST,ARCHER CITY,76351-0926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,18.0
5902101,HOLLIDAY ISD,HOLLIDAY ELEM.,3,INDEPENDENT,751 COLLEGE AVE,HOLLIDAY,76366-0689,0.0,0.0,0.0,14.0,5.0,0.0,0.0,47.0,2.0,0.0,0.0,28.0,0.0,0.0,0.0,7.0
5904101,WINDTHORST ISD,WINDTHORST ELEM,3,INDEPENDENT,100 ST MARYS DR,WINDTHORST,76389-0190,1.0,0.0,0.0,0.0,4.0,0.0,0.0,18.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,9.0
6902101,CLAUDE ISD,CLAUDE ELEM.,3,0,0,0,0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,11.0
7901101,CHARLOTTE ISD,CHARLOTTE ELEM.,3,INDEPENDENT,168 WATSON AVE,CHARLOTTE,78011-0489,1.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
7902101,JOURDANTON ISD,JOURDANTON ELEM,3,INDEPENDENT,200 ZANDERSON AVE,JOURDANTON,78026-3045,25.0,0.0,0.0,9.0,42.0,0.0,0.0,40.0,19.0,0.0,0.0,19.0,6.0,0.0,0.0,9.0
7904101,LYTLE ISD,LYTLE ELEM.,3,INDEPENDENT,11550 LAREDO,LYTLE,78052-1060,37.0,0.0,0.0,8.0,58.0,0.0,0.0,14.0,25.0,0.0,0.0,4.0,10.0,0.0,0.0,1.0
7905103,PLEASANTON ISD,PLEASANTON ELEM,3,INDEPENDENT,101 GRANT ST,PLEASANTON,78064-3028,61.0,0.0,0.0,17.0,107.0,0.0,0.0,47.0,45.0,0.0,0.0,27.0,19.0,0.0,0.0,15.0
7906101,POTEET ISD,POTEET ELEM.,3,INDEPENDENT,965 HORTON LN,POTEET,78065-0138,37.0,0.0,0.0,4.0,80.0,0.0,0.0,9.0,39.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0
8901101,BELLVILLE ISD,O'BRYANT PRIMAR,3,INDEPENDENT,413 S TESCH,BELLVILLE,77418-1599,15.0,0.0,5.0,9.0,39.0,0.0,6.0,66.0,12.0,0.0,4.0,50.0,6.0,0.0,1.0,27.0
8901105,BELLVILLE ISD,WEST END ELEM.,3,INDEPENDENT,7453 ERNST PKWY,INDUSTRY,78944-0099,0.0,0.0,0.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0
8902102,SEALY ISD,SELMAN ELEM.,3,INDEPENDENT,1741 HWY 90 W,SEALY,77474-3400,22.0,0.0,4.0,4.0,42.0,0.0,5.0,28.0,21.0,0.0,1.0,19.0,11.0,0.0,0.0,4.0
8902104,SEALY ISD,SEALY ELEM.,3,INDEPENDENT,723 FM 2187,SEALY,77474,15.0,0.0,5.0,6.0,31.0,0.0,2.0,30.0,11.0,0.0,0.0,21.0,2.0,0.0,0.0,10.0
8903102,BRAZOS ISD,BRAZOS ELEM.,3,INDEPENDENT,9814 KIBLER ST,ORCHARD,77464-0030,9.0,0.0,0.0,2.0,30.0,0.0,0.0,12.0,15.0,0.0,0.0,7.0,6.0,0.0,0.0,3.0
9901101,MULESHOE ISD,MARY DESHAZO EL,3,INDEPENDENT,300 W 3RD,MULESHOE,79347-3499,36.0,0.0,0.0,4.0,40.0,0.0,0.0,9.0,19.0,0.0,0.0,5.0,9.0,0.0,0.0,3.0
10901001,MEDINA ISD,MEDINA SCHOOL,3,INDEPENDENT,ONE BOBCAT LN,MEDINA,78055-1470,2.0,0.0,0.0,3.0,3.0,0.0,0.0,10.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0
10902101,BANDERA ISD,ALKEK ELEM.,3,INDEPENDENT,1798 HWY 173 S,BANDERA,78003-0727,6.0,0.0,0.0,1.0,16.0,0.0,0.0,36.0,6.0,0.0,0.0,23.0,1.0,0.0,0.0,14.0
10902102,BANDERA ISD,HILL COUNTRY EL,3,INDEPENDENT,6346 FM 1283,PIPE CREEK,78063,4.0,0.0,0.0,16.0,9.0,0.0,0.0,42.0,2.0,0.0,0.0,21.0,1.0,0.0,0.0,9.0
11901101,BASTROP ISD,EMILE ELEM.,3,INDEPENDENT,601 MLK,BASTROP,78602-3717,21.0,0.0,3.0,10.0,50.0,0.0,10.0,33.0,20.0,0.0,8.0,25.0,8.0,0.0,3.0,17.0
11901102,BASTROP ISD,MINA ELEM.,3,INDEPENDENT,1203 HILL ST,BASTROP,78602-3717,1.0,0.0,2.0,4.0,41.0,0.0,4.0,44.0,20.0,0.0,3.0,24.0,8.0,0.0,2.0,11.0
11901103,BASTROP ISD,CEDAR CREEK ELE,3,INDEPENDENT,5582 FM 535,CEDAR CREEK,78612,26.0,0.0,0.0,0.0,104.0,0.0,0.0,10.0,65.0,0.0,0.0,9.0,29.0,0.0,0.0,6.0
11901107,BASTROP ISD,RED ROCK ELEM.,3,INDEPENDENT,2401 FM 20,RED ROCK,78662,44.0,0.0,0.0,5.0,53.0,0.0,0.0,16.0,20.0,0.0,0.0,13.0,7.0,0.0,0.0,3.0
11901109,BASTROP ISD,BLUEBONNET ELEM,3,INDEPENDENT,416 FM 1209,BASTROP,78602,28.0,0.0,3.0,4.0,64.0,0.0,3.0,32.0,37.0,0.0,2.0,22.0,17.0,0.0,0.0,9.0
11901110,BASTROP ISD,LOST PINES ELEM,3,INDEPENDENT,151 TIGER WOODS DR,BASTROP,78602,33.0,0.0,0.0,4.0,71.0,0.0,0.0,12.0,35.0,0.0,0.0,5.0,15.0,0.0,0.0,5.0
11902101,ELGIN ISD,BOOKER T. WASHI,3,INDEPENDENT,510 MLK,ELGIN,78621-3032,45.0,0.0,5.0,5.0,40.0,0.0,3.0,3.0,16.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0
11902102,ELGIN ISD,ELGIN ELEM.,3,INDEPENDENT,1005 W 2ND ST,ELGIN,78621-2038,21.0,0.0,2.0,3.0,40.0,0.0,3.0,11.0,20.0,0.0,0.0,5.0,8.0,0.0,0.0,3.0
11902103,ELGIN ISD,NEIDIG ELEM.,3,INDEPENDENT,13700 COUNTY LINE RD,ELGIN,78621,20.0,0.0,9.0,6.0,40.0,0.0,13.0,13.0,19.0,0.0,5.0,7.0,5.0,0.0,1.0,6.0
11904101,SMITHVILLE ISD,SMITHVILLE ELEM,3,INDEPENDENT,800 BISHOP ST,SMITHVILLE,78957-0479,11.0,0.0,2.0,1.0,38.0,0.0,3.0,46.0,25.0,0.0,1.0,32.0,17.0,0.0,0.0,16.0
11905101,MCDADE ISD,MCDADE ELEM.,3,INDEPENDENT,156 MARLIN ST,MCDADE,78650-0400,3.0,0.0,0.0,0.0,13.0,0.0,0.0,16.0,6.0,0.0,0.0,12.0,2.0,0.0,0.0,9.0
12901101,SEYMOUR ISD,SEYMOUR ELEM.,3,INDEPENDENT,300 E IDAHO ST,SEYMOUR,76380-1650,3.0,0.0,0.0,5.0,10.0,0.0,0.0,23.0,6.0,0.0,0.0,10.0,2.0,0.0,0.0,5.0
13801101,ST. MARY'S ACAD,ST. MARY'S ACAD,3,CHARTER,410 N TYLER ST,BEEVILLE,78102,5.0,0.0,0.0,0.0,34.0,0.0,0.0,5.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0
13901101,BEEVILLE ISD,R.A. HALL ELEM.,3,INDEPENDENT,1100 W HUNTINGTON,BEEVILLE,78102-2599,17.0,0.0,0.0,5.0,51.0,0.0,0.0,8.0,24.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0
13901102,BEEVILLE ISD,FADDEN-MCKEOWN-,3,INDEPENDENT,100 T J PFEIL,BEEVILLE,78102-6998,31.0,0.0,0.0,2.0,63.0,0.0,0.0,9.0,27.0,0.0,0.0,3.0,15.0,0.0,0.0,1.0
13902101,PAWNEE ISD,PAWNEE ELEM. -,3,INDEPENDENT,6229 FM 798,PAWNEE,78145-0569,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13903101,PETTUS ISD,PETTUS ELEM.,3,INDEPENDENT,500 N BEE ST,PETTUS,78146-1149,3.0,0.0,0.0,1.0,15.0,0.0,0.0,8.0,10.0,0.0,0.0,4.0,6.0,0.0,0.0,3.0
13905101,SKIDMORE-TYNAN,SKIDMORE-TYNAN,3,INDEPENDENT,325 BOBCAT TRAIL,SKIDMORE,78389,6.0,0.0,0.0,1.0,26.0,0.0,0.0,15.0,9.0,0.0,0.0,9.0,2.0,0.0,0.0,3.0
14803002,PRIORITY CHARTE,GEORGETOWN CHAR,3,CHARTER,302 SERENADA,GEORGETOWN,78628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14803003,PRIORITY CHARTE,COVE CHARTER AC,3,CHARTER,2205 FM 3046,COPPERAS COVE,76522,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14803004,PRIORITY CHARTE,CEDAR PARK CHAR,3,CHARTER,201 BUTTERCUP CREEK BLVD,CEDAR PARK,78613,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0
14803101,PRIORITY CHARTE,TEMPLE CHARTER,3,CHARTER,7177 AIRPORT RD,TEMPLE,76502,1.0,0.0,3.0,1.0,6.0,0.0,2.0,9.0,3.0,0.0,1.0,7.0,1.0,0.0,0.0,3.0
14804002,ORENDA CHARTER,NEW HORIZONS,3,CHARTER,850 FM 574 W,GOLDTHWAITE,76844,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14804006,ORENDA CHARTER,GATEWAY COLLEGE,3,CHARTER,3360 WESTINGHOUSE RD,GEORGETOWN,78626,3.0,0.0,0.0,6.0,23.0,5.0,0.0,65.0,17.0,4.0,0.0,49.0,11.0,3.0,0.0,25.0
14804007,ORENDA CHARTER,NOLAN CREEK SCH,3,CHARTER,505 E AVE C,BELTON,76513,2.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
14804008,ORENDA CHARTER,KINGSLAND SCHOO,3,CHARTER,2112 W RANCH RD 1431,KINGSLAND,78639,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14901101,ACADEMY ISD,ACAD. INTERMEDI,3,INDEPENDENT,107 S PONDALILY,LITTLE RIVER,76554,0.0,0.0,2.0,10.0,18.0,0.0,7.0,71.0,9.0,0.0,2.0,44.0,3.0,0.0,0.0,21.0
14902001,BARTLETT ISD,BARTLETT SCHOOL,3,INDEPENDENT,404 N ROBINSON,BARTLETT,76511-0170,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14903102,BELTON ISD,LEON HEIGHTS EL,3,INDEPENDENT,1501 N MAIN,BELTON,76513,1.0,0.0,0.0,5.0,12.0,0.0,0.0,17.0,5.0,0.0,0.0,12.0,3.0,0.0,0.0,5.0
14903103,BELTON ISD,MILLER HEIGHTS,3,INDEPENDENT,1110 FAIRWAY DR,BELTON,76513,5.0,0.0,2.0,2.0,17.0,0.0,5.0,18.0,9.0,0.0,3.0,9.0,2.0,0.0,0.0,4.0
14903104,BELTON ISD,SOUTHWEST ELEM.,3,INDEPENDENT,611 S SAUNDERS,BELTON,76513,20.0,0.0,0.0,6.0,21.0,0.0,0.0,10.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0
14903108,BELTON ISD,LAKEWOOD ELEM.,3,INDEPENDENT,11200 FM 2305,BELTON,76513,0.0,0.0,0.0,5.0,18.0,0.0,0.0,69.0,13.0,0.0,0.0,52.0,8.0,0.0,0.0,37.0
14903109,BELTON ISD,SPARTA ELEM.,3,INDEPENDENT,1800 SPARTA RD,BELTON,76513,12.0,0.0,0.0,5.0,26.0,0.0,0.0,51.0,14.0,0.0,0.0,39.0,8.0,0.0,0.0,14.0
14903111,BELTON ISD,JOE M. PIRTLE E,3,INDEPENDENT,714 S PEA RDG,TEMPLE,76502,6.0,0.0,4.0,13.0,32.0,0.0,11.0,59.0,16.0,0.0,3.0,39.0,5.0,0.0,1.0,26.0
14903116,BELTON ISD,TARVER ELEM.,3,INDEPENDENT,7949 STONEHOLLOW DR,TEMPLE,76502,5.0,0.0,3.0,1.0,26.0,0.0,4.0,58.0,18.0,0.0,3.0,41.0,7.0,0.0,1.0,30.0
14903117,BELTON ISD,HIGH POINT ELEM,3,INDEPENDENT,1635 STARLIGHT DR,TEMPLE,76502,5.0,0.0,0.0,8.0,19.0,0.0,0.0,65.0,10.0,0.0,0.0,53.0,8.0,0.0,0.0,27.0
14903118,BELTON ISD,CHISHOLM TRAIL,3,INDEPENDENT,1082 S WHEAT RD,BELTON,76513,15.0,0.0,0.0,22.0,33.0,0.0,6.0,38.0,11.0,0.0,1.0,23.0,6.0,0.0,0.0,8.0
14905101,HOLLAND ISD,HOLLAND ELEM.,3,INDEPENDENT,503 CROCKETT ST,HOLLAND,76534-0217,2.0,0.0,0.0,1.0,11.0,0.0,0.0,29.0,8.0,0.0,0.0,18.0,3.0,0.0,0.0,6.0
14906102,KILLEEN ISD,CLIFTON PARK EL,3,INDEPENDENT,2200 TRIMMIER RD,KILLEEN,76541-8599,5.0,0.0,2.0,2.0,18.0,0.0,23.0,15.0,9.0,0.0,10.0,13.0,3.0,0.0,3.0,9.0
14906103,KILLEEN ISD,EAST WARD ELEM.,3,0,0,0,0,4.0,0.0,8.0,1.0,10.0,0.0,18.0,5.0,3.0,0.0,8.0,4.0,1.0,0.0,2.0,0.0
14906105,KILLEEN ISD,HARKER HEIGHTS,3,INDEPENDENT,726 S ANN BLVD,HARKER HEIGHTS,76548-1209,11.0,0.0,8.0,8.0,30.0,0.0,18.0,14.0,19.0,0.0,10.0,9.0,8.0,0.0,2.0,3.0
14906108,KILLEEN ISD,MEADOWS ELEM.,3,INDEPENDENT,423 27TH ST,FORT HOOD,76544-1347,1.0,0.0,2.0,5.0,13.0,0.0,7.0,32.0,5.0,0.0,4.0,26.0,1.0,0.0,3.0,16.0
14906109,KILLEEN ISD,PEEBLES ELEM.,3,INDEPENDENT,1800 N W S YOUNG DR,KILLEEN,76543-3139,1.0,0.0,4.0,0.0,40.0,0.0,14.0,9.0,31.0,0.0,8.0,5.0,16.0,0.0,3.0,3.0
14906110,KILLEEN ISD,PERSHING PARK E,3,INDEPENDENT,1500 W CENTRAL TX EXPWY,KILLEEN,76549-1220,5.0,0.0,9.0,2.0,20.0,0.0,2.0,8.0,12.0,0.0,1.0,6.0,5.0,0.0,0.0,2.0
14906111,KILLEEN ISD,SUGAR LOAF ELEM,3,INDEPENDENT,1517 BARBARA LN,KILLEEN,76549-8299,10.0,0.0,10.0,2.0,12.0,0.0,16.0,6.0,7.0,0.0,6.0,5.0,2.0,0.0,1.0,5.0
14906112,KILLEEN ISD,WEST WARD ELEM.,3,INDEPENDENT,709 W DEAN AVE,KILLEEN,76541-2398,5.0,0.0,13.0,4.0,15.0,0.0,11.0,11.0,7.0,0.0,2.0,6.0,2.0,0.0,2.0,2.0
14906113,KILLEEN ISD,BELLAIRE ELEM.,3,INDEPENDENT,108 W JASPER,KILLEEN,76542-1397,7.0,0.0,10.0,1.0,9.0,0.0,25.0,8.0,2.0,0.0,6.0,6.0,1.0,0.0,1.0,2.0
14906115,KILLEEN ISD,NOLANVILLE ELEM,3,INDEPENDENT,901 OLD NOLANVILLE RD,NOLANVILLE,76559-4599,8.0,0.0,7.0,2.0,19.0,0.0,11.0,27.0,11.0,0.0,3.0,23.0,4.0,0.0,0.0,10.0
14906116,KILLEEN ISD,CLARKE ELEM.,3,INDEPENDENT,51600 COMMANCHE AVE,FORT HOOD,76544-1173,0.0,0.0,2.0,3.0,18.0,0.0,22.0,25.0,9.0,0.0,15.0,20.0,4.0,0.0,8.0,14.0
14906119,KILLEEN ISD,HAY BRANCH ELEM,3,INDEPENDENT,6101 WESTCLIFF RD,KILLEEN,76543-8898,3.0,0.0,11.0,2.0,9.0,0.0,48.0,11.0,3.0,0.0,22.0,7.0,1.0,0.0,6.0,5.0
14906120,KILLEEN ISD,WILLOW SPRINGS,3,INDEPENDENT,2501 W STAN SCHLUETER LOOP,KILLEEN,76549-3669,9.0,0.0,40.0,7.0,21.0,0.0,41.0,11.0,11.0,0.0,18.0,10.0,5.0,0.0,8.0,5.0
14906121,KILLEEN ISD,MOUNTAIN VIEW E,3,INDEPENDENT,500 MOUNTAIN LION RD,HARKER HEIGHTS,76548-2099,7.0,1.0,10.0,5.0,28.0,6.0,28.0,41.0,15.0,5.0,15.0,30.0,7.0,5.0,10.0,15.0
14906122,KILLEEN ISD,REECES CREEK EL,3,INDEPENDENT,400 W STAN SCHLUETER LOOP,KILLEEN,76542-3839,3.0,1.0,13.0,2.0,17.0,8.0,48.0,10.0,9.0,6.0,30.0,6.0,6.0,5.0,7.0,1.0
14906123,KILLEEN ISD,CLEAR CREEK ELE,3,INDEPENDENT,4800 WASHINGTON BLVD,FORT HOOD,76544-1199,3.0,0.0,3.0,3.0,16.0,0.0,22.0,18.0,5.0,0.0,14.0,8.0,2.0,0.0,3.0,6.0
14906124,KILLEEN ISD,CEDAR VALLEY EL,3,INDEPENDENT,4801 CHANTZ DR,KILLEEN,76542-3745,5.0,1.0,6.0,1.0,38.0,4.0,26.0,21.0,27.0,4.0,15.0,16.0,14.0,3.0,7.0,7.0
14906125,KILLEEN ISD,BROOKHAVEN ELEM,3,INDEPENDENT,3221 HILLIARD AVE,KILLEEN,76543-2648,5.0,0.0,6.0,1.0,19.0,0.0,36.0,6.0,10.0,0.0,16.0,5.0,4.0,0.0,5.0,3.0
14906126,KILLEEN ISD,VENABLE VILLAGE,3,INDEPENDENT,60160 VENABLE RD,FORT HOOD,76544-3610,4.0,0.0,3.0,1.0,18.0,0.0,21.0,20.0,15.0,0.0,18.0,17.0,11.0,0.0,14.0,8.0
14906127,KILLEEN ISD,TRIMMIER ELEM.,3,INDEPENDENT,4400 SUCCESS DR,KILLEEN,76542-3987,5.0,0.0,8.0,1.0,32.0,5.0,24.0,6.0,18.0,3.0,13.0,4.0,10.0,2.0,2.0,2.0
14906128,KILLEEN ISD,MONTAGUE VILLAG,3,INDEPENDENT,84001 CLEMENT DR,FORT HOOD,76544-1500,4.0,0.0,3.0,3.0,19.0,0.0,8.0,33.0,17.0,0.0,5.0,26.0,9.0,0.0,3.0,17.0
14906129,KILLEEN ISD,MAXDALE ELEM.,3,INDEPENDENT,2600 WESTWOOD DR,KILLEEN,76549-3352,9.0,0.0,14.0,5.0,15.0,0.0,35.0,7.0,11.0,0.0,18.0,7.0,2.0,0.0,6.0,5.0
14906130,KILLEEN ISD,IRA CROSS JR. E,3,INDEPENDENT,1910 HERNDON DR,KILLEEN,76543-5237,6.0,0.0,13.0,2.0,19.0,0.0,42.0,12.0,12.0,0.0,21.0,11.0,6.0,0.0,9.0,4.0
14906131,KILLEEN ISD,IDUMA ELEM.,3,INDEPENDENT,4400 FOSTER LN,KILLEEN,76549-2782,4.0,0.0,12.0,2.0,17.0,0.0,39.0,11.0,8.0,0.0,18.0,9.0,4.0,0.0,5.0,4.0
14906132,KILLEEN ISD,OVETA CULP HOBB,3,INDEPENDENT,53210 LOST MOCCASIN,FORT HOOD,76544-4019,3.0,0.0,2.0,6.0,17.0,0.0,13.0,33.0,8.0,0.0,5.0,18.0,3.0,0.0,2.0,9.0
14906133,KILLEEN ISD,TIMBER RIDGE EL,3,INDEPENDENT,5402 WHITE ROCK DR,KILLEEN,76542-4365,12.0,0.0,19.0,6.0,26.0,0.0,45.0,27.0,12.0,0.0,17.0,15.0,8.0,0.0,6.0,5.0
14906135,KILLEEN ISD,SAEGERT ELEM.,3,INDEPENDENT,5600 SCHORN DR,KILLEEN,76542-4651,2.0,0.0,7.0,3.0,22.0,6.0,44.0,16.0,12.0,6.0,26.0,13.0,8.0,3.0,15.0,7.0
14906136,KILLEEN ISD,SKIPCHA ELEM.,3,INDEPENDENT,515 PROSPECTOR TRL,HARKER HEIGHTS,76548-2408,5.0,0.0,9.0,4.0,38.0,6.0,19.0,58.0,26.0,6.0,12.0,44.0,12.0,3.0,5.0,26.0
14906137,KILLEEN ISD,RICHARD E. CAVA,3,INDEPENDENT,1200 N 10TH ST,NOLANVILLE,76559,8.0,0.0,4.0,5.0,16.0,0.0,14.0,40.0,11.0,0.0,5.0,30.0,4.0,0.0,1.0,14.0
14906138,KILLEEN ISD,HAYNES ELEM.,3,INDEPENDENT,3309 W CANADIAN RIVER LOOP,KILLEEN,76549,12.0,0.0,8.0,4.0,44.0,0.0,35.0,29.0,25.0,0.0,20.0,16.0,13.0,0.0,9.0,6.0
14906139,KILLEEN ISD,DR. JOSEPH A. F,3,INDEPENDENT,4910 KATY CREEK LN,KILLEEN,76549,9.0,0.0,18.0,3.0,38.0,6.0,54.0,26.0,22.0,3.0,29.0,23.0,8.0,2.0,9.0,16.0
14906140,KILLEEN ISD,ALICE W. DOUSE,3,INDEPENDENT,700 REBECCA LYNN DR,KILLEEN,76542,6.0,0.0,10.0,3.0,38.0,0.0,35.0,38.0,28.0,0.0,15.0,28.0,9.0,0.0,4.0,18.0
14907102,ROGERS ISD,ROGERS ELEM.,3,INDEPENDENT,802 ROGERS CEMETRY RD,ROGERS,76569-9998,11.0,0.0,0.0,12.0,6.0,0.0,0.0,25.0,4.0,0.0,0.0,12.0,1.0,0.0,0.0,5.0
