,Unnamed: 0,CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,School Site Zip,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level,Full Address,Latitude,Longitude,Total Students,% Pass,Quadrant,random,university
1778,1806,79907147,FORT BEND ISD,CORNERSTONE ELE,3,INDEPENDENT,1800 CHATHAM AVE,SUGAR LAND,77479,5.0,198.0,183.0,148.0,"1800 CHATHAM AVE SUGAR LAND,TX 77479",29.587003000000003,-95.65743460000002,534.0,61.98501872659176,SE,409,1
4307,4364,240901106,LAREDO ISD,HEIGHTS ELEM.,3,INDEPENDENT,1208 MARKET,LAREDO,78040-8898,1.0,63.0,60.0,44.0,"1208 MARKET LAREDO,TX 78040-8898",27.504244300000003,-99.48424320000001,168.0,61.904761904761905,SW,3115,1
1175,1192,57909111,GARLAND ISD,KIMBERLIN ACAD.,3,INDEPENDENT,1520 CUMBERLAND DR,GARLAND,75040-8099,3.0,81.0,75.0,61.0,"1520 CUMBERLAND DR GARLAND,TX 75040-8099",32.898817,-96.6255686,220.0,61.81818181818182,NE,4256,1
4433,4491,246909125,ROUND ROCK ISD,CANYON CREEK EL,3,INDEPENDENT,10210 EMBER GLEN DR,AUSTIN,78726,0.0,72.0,64.0,52.0,"10210 EMBER GLEN DR AUSTIN,TX 78726",30.43660319999999,-97.8242446,188.0,61.702127659574465,SE,2045,1
4440,4498,246909132,ROUND ROCK ISD,CACTUS RANCH EL,3,INDEPENDENT,2901 GOLDENOAK CIR,ROUND ROCK,78681,1.0,145.0,133.0,102.0,"2901 GOLDENOAK CIR ROUND ROCK,TX 78681",30.540375,-97.72236550000001,381.0,61.67979002624672,SE,3225,1
2220,2253,101912178,HOUSTON ISD,HORN ELEM.,3,INDEPENDENT,4530 HOLLY ST,BELLAIRE,77401-5803,7.0,123.0,116.0,93.0,"4530 HOLLY ST BELLAIRE,TX 77401-5803",29.6933554,-95.4546005,339.0,61.65191740412979,SE,1205,1
1320,1337,57916122,RICHARDSON ISD,BOWIE ELEM.,3,INDEPENDENT,7643 LA MANGA DR,DALLAS,75248-4107,3.0,97.0,88.0,72.0,"7643 LA MANGA DR DALLAS,TX 75248-4107",32.97103269999999,-96.7760012,260.0,61.53846153846154,NE,1300,1
1234,1251,57910135,GRAND PRAIRIE I,SCHOOL FOR THE,3,INDEPENDENT,2990 S HWY 161,GRAND PRAIRIE,75052,0.0,17.0,14.0,13.0,"2990 S HWY 161 GRAND PRAIRIE,TX 75052",32.700509499999995,-97.0233828,44.0,61.36363636363637,NE,727,1
746,757,43905143,FRISCO ISD,TALLEY ELEM.,3,INDEPENDENT,5900 COIT RD,FRISCO,75035,6.0,81.0,77.0,61.0,"5900 COIT RD FRISCO,TX 75035",33.1263786,-96.7671975,225.0,61.333333333333336,NE,540,1
695,706,43901115,ALLEN ISD,MARY EVANS ELEM,3,INDEPENDENT,1225 WALNUT SPRINGS DR,ALLEN,75013,3.0,111.0,103.0,77.0,"1225 WALNUT SPRINGS DR ALLEN,TX 75013",33.116483,-96.7233935,294.0,61.224489795918366,NE,3901,1
1964,1995,101828001,HOUSTON GATEWAY,HOUSTON GATEWAY,3,CHARTER,1020 CORAL ST,HOUSTON,77012,1.0,48.0,44.0,33.0,"1020 CORAL ST HOUSTON,TX 77012",29.715734299999998,-95.28864920000001,126.0,61.111111111111114,SE,2873,1
2532,2565,101921112,TOMBALL ISD,CREEKSIDE FORES,3,INDEPENDENT,5949 CREEKSIDE FOREST DR,THE WOODLANDS,77389,1.0,96.0,88.0,64.0,"5949 CREEKSIDE FOREST DR THE WOODLANDS,TX 77389",30.1430774,-95.51342259999998,249.0,61.04417670682731,SE,2564,1
3843,3890,220906102,GRAPEVINE-COLLE,COLLEYVILLE ELE,3,INDEPENDENT,5911 PLEASANT RUN RD,COLLEYVILLE,76034,0.0,69.0,64.0,44.0,"5911 PLEASANT RUN RD COLLEYVILLE,TX 76034",32.895236499999996,-97.1534578,177.0,61.016949152542374,NE,3329,1
3959,4006,220919103,CARROLL ISD,WALNUT GROVE EL,3,INDEPENDENT,2520 N WHITE CHAPEL BLVD,SOUTHLAKE,76092-9405,2.0,162.0,148.0,108.0,"2520 N WHITE CHAPEL BLVD SOUTHLAKE,TX 76092-9405",32.9749043,-97.1518676,420.0,60.95238095238095,NE,3416,1
2381,2414,101914122,KATY ISD,ODESSA KILPATRI,3,INDEPENDENT,26100 CINCO RANCH BLVD,KATY,77494,2.0,188.0,167.0,129.0,"26100 CINCO RANCH BLVD KATY,TX 77494",29.725319399999997,-95.80275520000001,486.0,60.90534979423868,SE,1493,1
2293,2326,101912275,HOUSTON ISD,BUSH ELEM.,3,INDEPENDENT,13800 WESTERLOCH DR,HOUSTON,77077-9999,3.0,153.0,138.0,105.0,"13800 WESTERLOCH DR HOUSTON,TX 77077-9999",29.759507399999997,-95.6326056,399.0,60.902255639097746,SE,3907,1
949,963,57835101,GOLDEN RULE CHA,GOLDEN RULE,3,CHARTER,622 SUNNYSIDE AVE,DALLAS,75211,0.0,9.0,9.0,5.0,"622 SUNNYSIDE AVE DALLAS,TX 75211",32.739053999999996,-96.8882625,23.0,60.869565217391305,NE,3665,1
4419,4477,246909110,ROUND ROCK ISD,KATHY CARAWAY E,3,INDEPENDENT,11104 OAK VIEW DR,AUSTIN,78759-4699,7.0,130.0,120.0,93.0,"11104 OAK VIEW DR AUSTIN,TX 78759-4699",30.4195778,-97.7696,350.0,60.857142857142854,SE,3041,1
4424,4482,246909116,ROUND ROCK ISD,LAUREL MOUNTAIN,3,INDEPENDENT,10111 DK RANCH RD,AUSTIN,78759-9999,4.0,134.0,119.0,95.0,"10111 DK RANCH RD AUSTIN,TX 78759-9999",30.413311,-97.781002,352.0,60.79545454545455,SE,4554,1
1184,1201,57909122,GARLAND ISD,WALNUT GLEN ACA,3,INDEPENDENT,3101 EDGEWOOD DR,GARLAND,75042-6345,3.0,66.0,61.0,46.0,"3101 EDGEWOOD DR GARLAND,TX 75042-6345",32.914813300000006,-96.6759244,176.0,60.79545454545455,NE,2324,1
2278,2311,101912255,HOUSTON ISD,WEST UNIVERSITY,3,INDEPENDENT,3756 UNIVERSITY BLVD,HOUSTON,77005-2828,8.0,217.0,198.0,150.0,"3756 UNIVERSITY BLVD HOUSTON,TX 77005-2828",29.715850699999997,-95.4348208,573.0,60.73298429319372,SE,4759,1
693,704,43901113,ALLEN ISD,DR. E.T. BOON E,3,INDEPENDENT,1050 COMANCHE DR,ALLEN,75013,2.0,95.0,86.0,64.0,"1050 COMANCHE DR ALLEN,TX 75013",33.1130058,-96.6929243,247.0,60.72874493927125,NE,2228,1
4207,4263,227909105,EANES ISD,BARTON CREEK EL,3,INDEPENDENT,1370 PATTERSON RD,AUSTIN,78733-6501,2.0,88.0,80.0,59.0,"1370 PATTERSON RD AUSTIN,TX 78733-6501",30.303408,-97.879581,229.0,60.698689956331876,SE,375,0
986,1001,57903114,CARROLLTON-FARM,MCCOY ELEM.,3,INDEPENDENT,2425 MCCOY RD,CARROLLTON,75006-1408,3.0,43.0,40.0,31.0,"2425 MCCOY RD CARROLLTON,TX 75006-1408",32.981519,-96.8978091,117.0,60.68376068376068,NE,1322,1
3958,4005,220919102,CARROLL ISD,CARROLL ELEM.,3,INDEPENDENT,1705 W CONTINENTAL BLVD,SOUTHLAKE,76092-9309,1.0,106.0,97.0,68.0,"1705 W CONTINENTAL BLVD SOUTHLAKE,TX 76092-9309",32.9260146,-97.178149,272.0,60.661764705882355,NE,3315,1
493,498,20908110,PEARLAND ISD,SILVERCREST ELE,3,INDEPENDENT,3003 SOUTHWYCK PKWY,PEARLAND,77584-4899,5.0,144.0,132.0,97.0,"3003 SOUTHWYCK PKWY PEARLAND,TX 77584-4899",29.550052299999997,-95.3731811,378.0,60.58201058201058,SE,4801,1
4446,4504,246909139,ROUND ROCK ISD,ELSA ENGLAND EL,3,INDEPENDENT,8801 PEARSON RD,AUSTIN,78717,11.0,202.0,182.0,145.0,"8801 PEARSON RD AUSTIN,TX 78717",30.4936908,-97.75072440000001,540.0,60.55555555555556,SE,1312,1
1766,1794,79907135,FORT BEND ISD,COMMONWEALTH EL,3,INDEPENDENT,4909 COMMONWEALTH BLVD,SUGAR LAND,77479-3998,7.0,152.0,139.0,105.0,"4909 COMMONWEALTH BLVD SUGAR LAND,TX 77479-3998",29.558399199999997,-95.6151849,403.0,60.54590570719603,SE,965,1
1684,1710,72901101,THREE WAY ISD,THREE WAY ISD,3,INDEPENDENT,247 CR 207,STEPHENVILLE,76401,0.0,17.0,16.0,10.0,"247 CR 207 STEPHENVILLE,TX 76401",32.1555041,-98.02643370000001,43.0,60.46511627906977,NE,4676,0
2989,3025,130901105,BOERNE ISD,CIBOLO CREEK EL,3,INDEPENDENT,300 HERFF RANCH BLVD,BOERNE,78006,3.0,111.0,97.0,77.0,"300 HERFF RANCH BLVD BOERNE,TX 78006",29.7829358,-98.6979115,288.0,60.416666666666664,SE,70,1
1571,1596,71902125,EL PASO ISD,LAMAR ELEM.,3,INDEPENDENT,1440 E CLIFF DR,EL PASO,79902-2835,3.0,54.0,49.0,38.0,"1440 E CLIFF DR EL PASO,TX 79902-2835",31.776645000000002,-106.4822308,144.0,60.416666666666664,NW,4685,1
741,752,43905138,FRISCO ISD,MCSPEDDEN ELEM.,3,INDEPENDENT,14140 COUNTRYBROOK DR,FRISCO,75035,2.0,88.0,79.0,58.0,"14140 COUNTRYBROOK DR FRISCO,TX 75035",33.1417406,-96.75450129999999,227.0,60.352422907488986,NE,744,1
1062,1078,57905171,DALLAS ISD,LAKEWOOD ELEM.,3,INDEPENDENT,3000 HILLBROOK ST,DALLAS,75214-3412,4.0,159.0,145.0,103.0,"3000 HILLBROOK ST DALLAS,TX 75214-3412",32.825962100000005,-96.7440043,411.0,60.34063260340633,NE,1542,1
20,20,5901101,ARCHER CITY ISD,ARCHER CITY ELE,3,INDEPENDENT,602 S ASH ST,ARCHER CITY,76351-0926,0.0,27.0,23.0,18.0,"602 S ASH ST ARCHER CITY,TX 76351-0926",33.5893437,-98.6300535,68.0,60.294117647058826,NE,2854,0
3258,3300,170801003,TEXAS SERENITY,TEXAS SERENITY,3,CHARTER,8787 N HOUSTON ROSSLYN RD,HOUSTON,77088,1.0,30.0,25.0,22.0,"8787 N HOUSTON ROSSLYN RD HOUSTON,TX 77088",29.8711637,-95.491771,78.0,60.256410256410255,SE,2137,1
1783,1811,79907152,FORT BEND ISD,ANNE MCCORMICK,3,INDEPENDENT,17828 WINDING WATERS LN,SUGAR LAND,77479,7.0,221.0,201.0,142.0,"17828 WINDING WATERS LN SUGAR LAND,TX 77479",29.54109159999999,-95.5934834,571.0,60.07005253940455,SE,1745,1
3561,3604,199901115,ROCKWALL ISD,LINDA LYON ELEM,3,INDEPENDENT,2186 TROPHY DR,HEATH,75126,3.0,57.0,49.0,41.0,"2186 TROPHY DR HEATH,TX 75126",32.8135718,-96.4657683,150.0,60.0,NE,849,1
4414,4472,246909105,ROUND ROCK ISD,SPICEWOOD ELEM.,3,INDEPENDENT,11601 OLSON DR,AUSTIN,78750-2607,4.0,152.0,133.0,101.0,"11601 OLSON DR AUSTIN,TX 78750-2607",30.444966100000002,-97.8043365,390.0,60.0,SE,2524,1
3957,4004,220919101,CARROLL ISD,JACK D. JOHNSON,3,INDEPENDENT,1301 N CARROLL AVE,SOUTHLAKE,76092-9757,1.0,124.0,107.0,80.0,"1301 N CARROLL AVE SOUTHLAKE,TX 76092-9757",32.957806,-97.132838,312.0,59.93589743589744,NE,3084,1
1835,1863,84910118,CLEAR CREEK ISD,BROOKWOOD ELEM.,3,INDEPENDENT,16850 MIDDLEBROOK DR,HOUSTON,77059-4700,8.0,92.0,82.0,66.0,"16850 MIDDLEBROOK DR HOUSTON,TX 77059-4700",29.602811300000003,-95.1068941,248.0,59.67741935483871,SE,501,1
3260,3302,170902071,CONROE ISD,TOUGH ELEM.,3,INDEPENDENT,11660 CRANE BROOK DR,THE WOODLANDS,77382,6.0,140.0,126.0,90.0,"11660 CRANE BROOK DR THE WOODLANDS,TX 77382",30.1829913,-95.5707061,362.0,59.668508287292816,SE,2972,1
3278,3320,170902118,CONROE ISD,DAVID ELEM.,3,INDEPENDENT,5301 SHADOW BEND PL,THE WOODLANDS,77381-4126,8.0,128.0,117.0,84.0,"5301 SHADOW BEND PL THE WOODLANDS,TX 77381-4126",30.178634600000002,-95.50320440000002,337.0,59.64391691394659,SE,1410,1
3599,3643,208903001,IRA ISD,IRA SCHOOL,3,INDEPENDENT,6190 W FM 1606,IRA,79527-0240,0.0,21.0,16.0,15.0,"6190 W FM 1606 IRA,TX 79527-0240",32.582438800000006,-101.0058677,52.0,59.61538461538461,NW,997,0
1307,1324,57916108,RICHARDSON ISD,MOHAWK ELEM.,3,INDEPENDENT,1500 MIMOSA DR,RICHARDSON,75080-2813,2.0,64.0,54.0,43.0,"1500 MIMOSA DR RICHARDSON,TX 75080-2813",32.97149,-96.761999,163.0,59.50920245398773,NE,1172,1
2325,2358,101912460,HOUSTON ISD,MANDARIN IMMERS,3,INDEPENDENT,5445 W ALABAMA,HOUSTON,77056-2662,1.0,80.0,68.0,51.0,"5445 W ALABAMA HOUSTON,TX 77056-2662",29.7372062,-95.4722108,200.0,59.5,SE,755,1
4102,4156,227901110,AUSTIN ISD,BRYKER WOODS EL,3,INDEPENDENT,3309 KERBEY LN,AUSTIN,78703-1492,2.0,79.0,69.0,50.0,"3309 KERBEY LN AUSTIN,TX 78703-1492",30.304869,-97.75062700000001,200.0,59.5,SE,3592,1
1326,1343,57916128,RICHARDSON ISD,BRENTFIELD ELEM,3,INDEPENDENT,6767 BRENTFIELD DR,DALLAS,75248-4107,6.0,105.0,93.0,70.0,"6767 BRENTFIELD DR DALLAS,TX 75248-4107",32.9752293,-96.79130759999998,274.0,59.48905109489051,NE,1457,1
1348,1365,57922110,COPPELL ISD,VALLEY RANCH EL,3,INDEPENDENT,9800 RODEO DR,IRVING,75063-6488,6.0,103.0,89.0,71.0,"9800 RODEO DR IRVING,TX 75063-6488",32.9377481,-96.9559593,269.0,59.479553903345725,NE,3829,1
789,800,43910122,PLANO ISD,MATHEWS ELEM.,3,INDEPENDENT,7500 MARCHMAN WAY,PLANO,75025-3669,4.0,63.0,54.0,44.0,"7500 MARCHMAN WAY PLANO,TX 75025-3669",33.080118,-96.755888,165.0,59.39393939393939,NE,2951,1
3373,3415,178902103,BISHOP CISD,PETRONILA ELEM.,3,INDEPENDENT,2391 COUNTY RD 67,ROBSTOWN,78380,0.0,13.0,12.0,7.0,"2391 COUNTY RD 67 ROBSTOWN,TX 78380",27.672666999999997,-97.637555,32.0,59.375,SE,1525,0
2396,2429,101914139,KATY ISD,JAMES E. RANDOL,3,INDEPENDENT,5303 FLEWELLEN OAKS LN,FULSHEAR,77441,4.0,172.0,151.0,106.0,"5303 FLEWELLEN OAKS LN FULSHEAR,TX 77441",29.7105626,-95.8481392,433.0,59.353348729792145,SE,4638,1
2391,2424,101914132,KATY ISD,STANLEY C. STAN,3,INDEPENDENT,26633 CINCO TERRACE DR,KATY,77494,5.0,152.0,132.0,97.0,"26633 CINCO TERRACE DR KATY,TX 77494",29.708709000000002,-95.8319223,386.0,59.32642487046632,SE,1069,1
1316,1333,57916117,RICHARDSON ISD,WHITE ROCK ELEM,3,INDEPENDENT,9229 CHISWELL RD,DALLAS,75238-4107,8.0,150.0,133.0,97.0,"9229 CHISWELL RD DALLAS,TX 75238-4107",32.874131,-96.724181,388.0,59.27835051546392,NE,2630,1
3512,3555,188901142,AMARILLO ISD,WOODLANDS ELEM.,3,INDEPENDENT,2501 N COULTER,AMARILLO,79106,0.0,88.0,76.0,52.0,"2501 N COULTER AMARILLO,TX 79106",35.2369952,-101.9133069,216.0,59.25925925925926,NW,1133,1
1033,1048,57905134,DALLAS ISD,GEORGE B. DEALE,3,INDEPENDENT,6501 ROYAL LN,DALLAS,75230-4174,1.0,65.0,57.0,39.0,"6501 ROYAL LN DALLAS,TX 75230-4174",32.8959326,-96.792152,162.0,59.25925925925926,NE,2115,1
3960,4007,220919104,CARROLL ISD,ROBERT H. ROCKE,3,INDEPENDENT,301 BYRON NELSON PKWY,SOUTHLAKE,76092-9405,3.0,90.0,77.0,58.0,"301 BYRON NELSON PKWY SOUTHLAKE,TX 76092-9405",32.938031300000006,-97.1427105,228.0,59.21052631578947,NE,4471,1
2665,2698,108904114,EDINBURG CISD,CANTERBURY ELEM,3,INDEPENDENT,2821 W CANTON RD,EDINBURG,78539,3.0,77.0,67.0,49.0,"2821 W CANTON RD EDINBURG,TX 78539",26.281121999999996,-98.19539820000001,196.0,59.183673469387756,SE,3813,1
3283,3325,170902123,CONROE ISD,BUCKALEW ELEM.,3,INDEPENDENT,4909 W ALDEN BRIDGE DR,THE WOODLANDS,77382,4.0,154.0,138.0,91.0,"4909 W ALDEN BRIDGE DR THE WOODLANDS,TX 77382",30.2038538,-95.544113,387.0,59.17312661498708,SE,4670,1
1496,1517,68901118,ECTOR COUNTY IS,ELEM. MAGNET AT,3,INDEPENDENT,2321 E 21ST ST,ODESSA,79761-3042,1.0,77.0,67.0,46.0,"2321 E 21ST ST ODESSA,TX 79761-3042",31.870581400000003,-102.34813249999999,191.0,59.16230366492147,NW,2107,1
3659,3703,214903106,ROMA ISD,EMMA VERA ELEM.,3,INDEPENDENT,2015 N US HWY 83,ROMA,78584-0187,1.0,60.0,54.0,34.0,"2015 N US HWY 83 ROMA,TX 78584-0187",26.436634,-99.030233,149.0,59.060402684563755,SE,2514,1
4206,4262,227909104,EANES ISD,FOREST TRAIL EL,3,INDEPENDENT,1203 LOOP 360 S,AUSTIN,78746-6427,1.0,85.0,71.0,53.0,"1203 LOOP 360 S AUSTIN,TX 78746-6427",30.281167699999997,-97.8197054,210.0,59.04761904761905,SE,564,1
3169,3209,161903105,MIDWAY ISD,SOUTH BOSQUE EL,3,INDEPENDENT,#1 WICKSON RD,WACO,76712-7552,8.0,124.0,109.0,80.0,"#1 WICKSON RD WACO,TX 76712-7552",,,321.0,58.87850467289719,SW,1363,0
841,852,43919101,LOVEJOY ISD,CARRIE L. LOVEJ,3,INDEPENDENT,256 COUNTRY CLUB RD,ALLEN,75002-7643,7.0,93.0,83.0,60.0,"256 COUNTRY CLUB RD ALLEN,TX 75002-7643",33.1254343,-96.61114029999999,243.0,58.8477366255144,NE,188,1
3567,3610,200902101,MILES ISD,MILES ELEM.,3,INDEPENDENT,1001 ROBINSON,MILES,76861-0308,1.0,27.0,23.0,17.0,"1001 ROBINSON MILES,TX 76861-0308",31.604892699999997,-100.1856029,68.0,58.8235294117647,NW,4298,0
2511,2544,101920112,SPRING BRANCH I,RUMMEL CREEK EL,3,INDEPENDENT,625 BRITTMOORE,HOUSTON,77079-6121,3.0,116.0,99.0,71.0,"625 BRITTMOORE HOUSTON,TX 77079-6121",29.7747392,-95.57019840000001,289.0,58.8235294117647,SE,1011,1
1420,1441,61902135,LEWISVILLE ISD,LIBERTY ELEM.,3,INDEPENDENT,4600 QUAIL RUN RD,FLOWER MOUND,75022-5017,6.0,82.0,72.0,53.0,"4600 QUAIL RUN RD FLOWER MOUND,TX 75022-5017",33.0371515,-97.10212790000001,213.0,58.68544600938967,NE,4011,1
803,814,43910136,PLANO ISD,BEVERLY ELEM.,3,INDEPENDENT,715 DUCHESS DR,ALLEN,75013-3003,5.0,72.0,65.0,44.0,"715 DUCHESS DR ALLEN,TX 75013-3003",33.0868707,-96.7289951,186.0,58.60215053763441,NE,3037,1
4459,4517,246913111,LEANDER ISD,LAURA WELCH BUS,3,INDEPENDENT,12600 COUNTRY TRAILS,AUSTIN,78732,6.0,127.0,108.0,80.0,"12600 COUNTRY TRAILS AUSTIN,TX 78732",30.3661163,-97.89997109999999,321.0,58.56697819314642,SE,3740,1
1321,1338,57916123,RICHARDSON ISD,PRAIRIE CREEK E,3,INDEPENDENT,2120 E PRAIRIE CREEK DR,RICHARDSON,75080-2620,2.0,44.0,39.0,26.0,"2120 E PRAIRIE CREEK DR RICHARDSON,TX 75080-2620",32.978303000000004,-96.7208854,111.0,58.55855855855856,NE,3034,1
0,0,1902103,CAYUGA ISD,CAYUGA ELEM.,3,INDEPENDENT,17750 N US HWY 287,TENNESSEE COLONY,75861,6.0,40.0,38.0,27.0,"17750 N US HWY 287 TENNESSEE COLONY,TX 75861",31.922963800000005,-95.9238705,111.0,58.55855855855856,NE,1785,0
3817,3864,220905171,FORT WORTH ISD,TANGLEWOOD ELEM,3,INDEPENDENT,3060 OVERTON PARK W,FORT WORTH,76109-1501,4.0,151.0,134.0,85.0,"3060 OVERTON PARK W FORT WORTH,TX 76109-1501",32.705650899999995,-97.386015,374.0,58.55614973262032,NE,2701,1
799,810,43910132,PLANO ISD,BARKSDALE ELEM.,3,INDEPENDENT,2424 MIDWAY,PLANO,75093-6126,3.0,94.0,81.0,56.0,"2424 MIDWAY PLANO,TX 75093-6126",33.0323013,-96.8392037,234.0,58.547008547008545,NE,4262,1
655,666,35903001,NAZARETH ISD,NAZARETH SCHOOL,3,INDEPENDENT,101 S FIRST AVE,NAZARETH,79063-0189,0.0,17.0,14.0,10.0,"101 S FIRST AVE NAZARETH,TX 79063-0189",34.54312609999999,-102.1002346,41.0,58.53658536585366,NW,1951,0
810,821,43910144,PLANO ISD,WYATT ELEM.,3,INDEPENDENT,8900 COIT RD,PLANO,75025-3804,6.0,84.0,73.0,54.0,"8900 COIT RD PLANO,TX 75025-3804",33.0999208,-96.767551,217.0,58.525345622119815,NE,3412,1
2394,2427,101914137,KATY ISD,FRED AND PATTI,3,INDEPENDENT,5150 RANCH POINT DR,KATY,77494-0159,13.0,182.0,155.0,120.0,"5150 RANCH POINT DR KATY,TX 77494-0159",29.716281300000002,-95.8442855,470.0,58.51063829787234,SE,4240,1
833,844,43914107,WYLIE ISD,TIBBALS ELEM.,3,INDEPENDENT,621 WATERS EDGE WAY,WYLIE,75098,6.0,133.0,117.0,79.0,"621 WATERS EDGE WAY WYLIE,TX 75098",33.024887199999995,-96.5996128,335.0,58.507462686567166,NE,1239,1
738,749,43905134,FRISCO ISD,NICHOLS ELEM.,3,INDEPENDENT,7411 NICHOLS TRAIL,FRISCO,75034,7.0,129.0,109.0,82.0,"7411 NICHOLS TRAIL FRISCO,TX 75034",33.140410700000004,-96.8747244,327.0,58.40978593272171,NE,1037,1
2121,2153,101907156,CYPRESS-FAIRBAN,POPE ELEM.,3,INDEPENDENT,19019 N BRIDGELAND LAKE PKWY,CYPRESS,77433-0000,4.0,123.0,104.0,74.0,"19019 N BRIDGELAND LAKE PKWY CYPRESS,TX 77433-0000",29.959877399999996,-95.7395002,305.0,58.36065573770492,SE,3096,0
688,699,43901108,ALLEN ISD,FRANCES E. NORT,3,INDEPENDENT,1120 NEWPORT DR,ALLEN,75013-2053,3.0,75.0,63.0,46.0,"1120 NEWPORT DR ALLEN,TX 75013-2053",33.0951245,-96.69289090000001,187.0,58.288770053475936,NE,3030,1
4166,4220,227901184,AUSTIN ISD,CLAYTON ELEM.,3,INDEPENDENT,7525 LA CROSSE AVE,AUSTIN,78739,6.0,130.0,116.0,74.0,"7525 LA CROSSE AVE AUSTIN,TX 78739",30.1948537,-97.9063349,326.0,58.282208588957054,SE,1799,1
933,946,57808102,UNIVERSAL ACADE,UNIVERSAL ACAD.,3,CHARTER,1001 E SANDY LAKE RD,COPPELL,75019,13.0,146.0,125.0,97.0,"1001 E SANDY LAKE RD COPPELL,TX 75019",32.968038,-96.957155,381.0,58.267716535433074,NE,2407,1
1239,1256,57911103,HIGHLAND PARK I,HYER ELEM.,3,INDEPENDENT,3920 CARUTH BLVD,DALLAS,75225-5401,7.0,122.0,106.0,74.0,"3920 CARUTH BLVD DALLAS,TX 75225-5401",32.8594343,-96.8006052,309.0,58.25242718446602,NE,4938,1
806,817,43910140,PLANO ISD,ANDREWS ELEM.,3,INDEPENDENT,2520 SCENIC DR,PLANO,75025-4732,3.0,106.0,89.0,63.0,"2520 SCENIC DR PLANO,TX 75025-4732",33.0916348,-96.7396145,261.0,58.23754789272031,NE,3966,1
441,446,19907116,TEXARKANA ISD,MARTHA AND JOSH,3,INDEPENDENT,4826 UNIVERSITY PARK,TEXARKANA,75503,0.0,66.0,59.0,33.0,"4826 UNIVERSITY PARK TEXARKANA,TX 75503",33.4636968,-94.1112041,158.0,58.22784810126582,NE,1414,1
