CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,Zipcode,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level
13901101,BEEVILLE ISD,R.A. HALL ELEM.,5,INDEPENDENT,1100 W HUNTINGTON,BEEVILLE,78102,24,95,49,26
13901102,BEEVILLE ISD,FADDEN-MCKEOWN-,5,INDEPENDENT,100 T J PFEIL,BEEVILLE,78102,39,72,26,12
13902101,PAWNEE ISD,PAWNEE ELEM. -,5,INDEPENDENT,6229 FM 798,PAWNEE,78145,0,14,9,6
13903101,PETTUS ISD,PETTUS ELEM.,5,INDEPENDENT,500 N BEE ST,PETTUS,78146,13,26,8,2
13905101,SKIDMORE-TYNAN,SKIDMORE-TYNAN,5,INDEPENDENT,325 BOBCAT TRAIL,SKIDMORE,78389,13,54,25,11
14803002,PRIORITY CHARTE,GEORGETOWN CHAR,5,CHARTER,302 SERENADA,GEORGETOWN,78628,1,4,1,1
14803003,PRIORITY CHARTE,COVE CHARTER AC,5,CHARTER,2205 FM 3046,COPPERAS COVE,76522,5,15,7,3
14803004,PRIORITY CHARTE,CEDAR PARK CHAR,5,CHARTER,201 BUTTERCUP CREEK BLVD,CEDAR PARK,78613,4,8,4,2
14803101,PRIORITY CHARTE,TEMPLE CHARTER,5,CHARTER,7177 AIRPORT RD,TEMPLE,76502,2,21,15,9
14804002,ORENDA CHARTER,NEW HORIZONS,5,CHARTER,850 FM 574 W,GOLDTHWAITE,76844,6,4,1,0
14804006,ORENDA CHARTER,GATEWAY COLLEGE,5,CHARTER,3360 WESTINGHOUSE RD,GEORGETOWN,78626,7,108,76,51
14804007,ORENDA CHARTER,NOLAN CREEK SCH,5,CHARTER,505 E AVE C,BELTON,76513,3,9,7,3
14804008,ORENDA CHARTER,KINGSLAND SCHOO,5,CHARTER,2112 W RANCH RD 1431,KINGSLAND,78639,8,11,3,1
14901101,ACADEMY ISD,ACAD. INTERMEDI,5,INDEPENDENT,107 S PONDALILY,LITTLE RIVER,76554,8,127,97,63
14902001,BARTLETT ISD,BARTLETT SCHOOL,5,INDEPENDENT,404 N ROBINSON,BARTLETT,76511,5,22,11,3
14903102,BELTON ISD,LEON HEIGHTS EL,5,INDEPENDENT,1501 N MAIN,BELTON,76513,8,36,28,20
14903103,BELTON ISD,MILLER HEIGHTS,5,INDEPENDENT,1110 FAIRWAY DR,BELTON,76513,6,30,20,8
14903104,BELTON ISD,SOUTHWEST ELEM.,5,INDEPENDENT,611 S SAUNDERS,BELTON,76513,24,36,18,10
14903108,BELTON ISD,LAKEWOOD ELEM.,5,INDEPENDENT,11200 FM 2305,BELTON,76513,3,123,102,84
14903109,BELTON ISD,SPARTA ELEM.,5,INDEPENDENT,1800 SPARTA RD,BELTON,76513,4,86,69,51
14903111,BELTON ISD,JOE M. PIRTLE E,5,INDEPENDENT,714 S PEA RDG,TEMPLE,76502,10,103,67,50
14903116,BELTON ISD,TARVER ELEM.,5,INDEPENDENT,7949 STONEHOLLOW DR,TEMPLE,76502,5,117,83,55
14903117,BELTON ISD,HIGH POINT ELEM,5,INDEPENDENT,1635 STARLIGHT DR,TEMPLE,76502,20,98,64,45
14903118,BELTON ISD,CHISHOLM TRAIL,5,INDEPENDENT,1082 S WHEAT RD,BELTON,76513,17,108,59,36
14905101,HOLLAND ISD,HOLLAND ELEM.,5,INDEPENDENT,503 CROCKETT ST,HOLLAND,76534,2,33,28,23
14906102,KILLEEN ISD,CLIFTON PARK EL,5,INDEPENDENT,2200 TRIMMIER RD,KILLEEN,76541,11,65,41,28
14906103,KILLEEN ISD,EAST WARD ELEM.,5,,,,,17,38,15,6
14906105,KILLEEN ISD,HARKER HEIGHTS,5,INDEPENDENT,726 S ANN BLVD,HARKER HEIGHTS,76548,13,72,57,30
14906108,KILLEEN ISD,MEADOWS ELEM.,5,INDEPENDENT,423 27TH ST,FORT HOOD,76544,35,150,106,72
14906109,KILLEEN ISD,PEEBLES ELEM.,5,INDEPENDENT,1800 N W S YOUNG DR,KILLEEN,76543,25,84,47,20
14906110,KILLEEN ISD,PERSHING PARK E,5,INDEPENDENT,1500 W CENTRAL TX EXPWY,KILLEEN,76549,9,53,37,27
14906111,KILLEEN ISD,SUGAR LOAF ELEM,5,INDEPENDENT,1517 BARBARA LN,KILLEEN,76549,22,62,36,19
14906112,KILLEEN ISD,WEST WARD ELEM.,5,INDEPENDENT,709 W DEAN AVE,KILLEEN,76541,31,34,12,7
14906113,KILLEEN ISD,BELLAIRE ELEM.,5,INDEPENDENT,108 W JASPER,KILLEEN,76542,29,46,28,13
14906115,KILLEEN ISD,NOLANVILLE ELEM,5,INDEPENDENT,901 OLD NOLANVILLE RD,NOLANVILLE,76559,14,73,51,35
14906119,KILLEEN ISD,HAY BRANCH ELEM,5,INDEPENDENT,6101 WESTCLIFF RD,KILLEEN,76543,28,61,26,14
14906120,KILLEEN ISD,WILLOW SPRINGS,5,INDEPENDENT,2501 W STAN SCHLUETER LOOP,KILLEEN,76549,36,87,52,24
14906121,KILLEEN ISD,MOUNTAIN VIEW E,5,INDEPENDENT,500 MOUNTAIN LION RD,HARKER HEIGHTS,76548,17,142,94,49
14906122,KILLEEN ISD,REECES CREEK EL,5,INDEPENDENT,400 W STAN SCHLUETER LOOP,KILLEEN,76542,26,100,52,33
14906123,KILLEEN ISD,CLEAR CREEK ELE,5,INDEPENDENT,4800 WASHINGTON BLVD,FORT HOOD,76544,4,63,55,41
14906124,KILLEEN ISD,CEDAR VALLEY EL,5,INDEPENDENT,4801 CHANTZ DR,KILLEEN,76542,19,93,64,49
14906125,KILLEEN ISD,BROOKHAVEN ELEM,5,INDEPENDENT,3221 HILLIARD AVE,KILLEEN,76543,19,62,28,15
14906126,KILLEEN ISD,VENABLE VILLAGE,5,INDEPENDENT,60160 VENABLE RD,FORT HOOD,76544,9,64,44,25
14906127,KILLEEN ISD,TRIMMIER ELEM.,5,INDEPENDENT,4400 SUCCESS DR,KILLEEN,76542,8,76,52,28
14906128,KILLEEN ISD,MONTAGUE VILLAG,5,INDEPENDENT,84001 CLEMENT DR,FORT HOOD,76544,6,44,35,21
14906129,KILLEEN ISD,MAXDALE ELEM.,5,INDEPENDENT,2600 WESTWOOD DR,KILLEEN,76549,14,66,33,14
14906130,KILLEEN ISD,IRA CROSS JR. E,5,INDEPENDENT,1910 HERNDON DR,KILLEEN,76543,12,89,64,36
14906131,KILLEEN ISD,IDUMA ELEM.,5,INDEPENDENT,4400 FOSTER LN,KILLEEN,76549,21,102,67,34
14906133,KILLEEN ISD,TIMBER RIDGE EL,5,INDEPENDENT,5402 WHITE ROCK DR,KILLEEN,76542,31,159,103,71
14906135,KILLEEN ISD,SAEGERT ELEM.,5,INDEPENDENT,5600 SCHORN DR,KILLEEN,76542,16,97,60,36
14906136,KILLEEN ISD,SKIPCHA ELEM.,5,INDEPENDENT,515 PROSPECTOR TRL,HARKER HEIGHTS,76548,25,161,118,70
14906137,KILLEEN ISD,RICHARD E. CAVA,5,INDEPENDENT,1200 N 10TH ST,NOLANVILLE,76559,2,88,52,34
14906138,KILLEEN ISD,HAYNES ELEM.,5,INDEPENDENT,3309 W CANADIAN RIVER LOOP,KILLEEN,76549,34,133,73,36
14906139,KILLEEN ISD,DR. JOSEPH A. F,5,INDEPENDENT,4910 KATY CREEK LN,KILLEEN,76549,35,131,78,46
14906140,KILLEEN ISD,ALICE W. DOUSE,5,INDEPENDENT,700 REBECCA LYNN DR,KILLEEN,76542,32,144,94,52
14907102,ROGERS ISD,ROGERS ELEM.,5,INDEPENDENT,802 ROGERS CEMETRY RD,ROGERS,76569,11,52,37,19
14908102,SALADO ISD,THOMAS ARNOLD E,5,INDEPENDENT,550 THOMAS ARNOLD RD,SALADO,76571,15,121,80,48
14909102,TEMPLE ISD,CATER ELEM.,5,INDEPENDENT,4111 LARK TRL,TEMPLE,76502,26,39,19,7
14909107,TEMPLE ISD,JEFFERSON ELEM.,5,INDEPENDENT,2616 N 3RD ST,TEMPLE,76501,18,74,52,31
14909110,TEMPLE ISD,SCOTT ELEM.,5,INDEPENDENT,2301 W AVE P,TEMPLE,76504,24,51,30,16
14909111,TEMPLE ISD,THORNTON ELEM.,5,INDEPENDENT,2825 COTTONWOOD LN,TEMPLE,76502,32,97,58,29
14909114,TEMPLE ISD,WESTERN HILLS E,5,INDEPENDENT,600 ARAPAHO DR,TEMPLE,76504,20,48,21,2
14909116,TEMPLE ISD,RAYE-ALLEN ELEM,5,INDEPENDENT,5015 S 5TH ST,TEMPLE,76502,12,61,38,22
14909117,TEMPLE ISD,KENNEDY-POWELL,5,INDEPENDENT,3707 W NUGENT AVE,TEMPLE,76504,23,56,35,20
14909118,TEMPLE ISD,HECTOR P. GARCI,5,INDEPENDENT,2525 LAVENDUSKY DR,TEMPLE,76501,13,49,27,12
14910101,TROY ISD,TROY ELEM.,5,INDEPENDENT,808 E AUSTIN AVE,TROY,76579,14,108,79,39
15802001,GEORGE GERVIN A,GEORGE GERVIN A,5,CHARTER,6944 S SUNBELT DR,SAN ANTONIO,78218,8,49,38,24
15805041,NEW FRONTIERS P,FRANK L. MADLA,5,CHARTER,4018 S PRESA,SAN ANTONIO,78223,15,19,9,4
15806101,SCHOOL OF EXCEL,DR. HARMON W. K,5,CHARTER,802 OBLATE DR,SAN ANTONIO,78216,1,17,4,2
15806106,SCHOOL OF EXCEL,DR. DAVID C. WA,5,CHARTER,6500 IH 35 N STE C,SAN ANTONIO,78218,6,10,3,1
15807001,SOUTHWEST PREPA,SOUTHWEST PREPA,5,CHARTER,1258 AUSTIN HWY,SAN ANTONIO,78209,5,8,3,1
15807002,SOUTHWEST PREPA,SOUTHWEST PREPA,5,CHARTER,735 S WW WHITE RD,SAN ANTONIO,78220,2,11,3,2
15807101,SOUTHWEST PREPA,SOUTHWEST PREP,5,CHARTER,4151 CULEBRA RD,SAN ANTONIO,78228,8,5,2,2
15807102,SOUTHWEST PREPA,SEGUIN ELEM.,5,CHARTER,2400 WALNUT,SEGUIN,78155,7,11,6,1
15808009,INSPIRE ACADEMI,ANNE FRANK INSP,5,CHARTER,11216 BANDERA RD,SAN ANTONIO,78249,7,23,15,5
15808010,INSPIRE ACADEMI,JHW INSPIRE ACA,5,CHARTER,12550 STATE ROUTE 29,LIBERTY HILL,78642,4,2,1,1
15808011,INSPIRE ACADEMI,JHW INSPIRE ACA,5,CHARTER,108 E MAIN ST,LOMETA,76853,,,,
15808012,INSPIRE ACADEMI,JHW INSPIRE ACA,5,CHARTER,13326 N HWY 183,GONZALES,78629,,,,
15809101,BEXAR COUNTY AC,BEXAR COUNTY AC,5,CHARTER,1481 HILLCREST DR,SAN ANTONIO,78228,5,17,9,5
15815042,HERITAGE ACADEM,HERITAGE ACAD.,5,CHARTER,605 AMISTAD BLVD,DEL RIO,78840,10,13,5,0
15815104,HERITAGE ACADEM,HERITAGE ACAD.,5,CHARTER,8750 FOURWINDS DR,WINDCREST,78239,4,13,11,6
15822001,JUBILEE ACADEMI,JUBILEE SAN ANT,5,CHARTER,4427 CHANDLER RD,SAN ANTONIO,78222,33,60,32,20
15822002,JUBILEE ACADEMI,JUBILEE HIGHLAN,5,CHARTER,1515 GOLIAD RD,SAN ANTONIO,78223,41,58,24,12
15822004,JUBILEE ACADEMI,JUBILEE - LAKE,5,CHARTER,325 CASTROVILLE RD,SAN ANTONIO,78207,26,43,22,13
15822005,JUBILEE ACADEMI,JUBILEE HIGHLAN,5,CHARTER,901 E DREXEL AVE,SAN ANTONIO,78210,5,27,22,14
15822006,JUBILEE ACADEMI,JUBILEE KINGSVI,5,CHARTER,201 N 19TH ST,KINGSVILLE,78363,17,28,12,5
15822007,JUBILEE ACADEMI,JUBILEE LIVING,5,CHARTER,4955 PABLO KISEL,BROWNSVILLE,78526,2,46,41,26
15822008,JUBILEE ACADEMI,JUBILEE HARLING,5,CHARTER,4501 W EXPY 83,HARLINGEN,78552,10,26,18,12
15822009,JUBILEE ACADEMI,JUBILEE WELLS B,5,CHARTER,15201 BURNET RD,AUSTIN,78728,23,45,24,14
15822010,JUBILEE ACADEMI,JUBILEE BROWNSV,5,CHARTER,4955 PABLO KISEL,BROWNSVILLE,78526,28,56,33,20
15822011,JUBILEE ACADEMI,JUBILEE LEADERS,5,CHARTER,4150 JAIME ZAPATA,BROWNSVILLE,78521,9,11,5,3
15825001,LIGHTHOUSE CHAR,LIGHTHOUSE CHAR,5,CHARTER,8138 WESTSHIRE DR,SAN ANTONIO,78227,3,33,20,10
15827002,SCHOOL OF SCIEN,SCHOOL OF SCIEN,5,CHARTER,12200 CROWNPOINT DR STE 100,SAN ANTONIO,78233,1,51,46,36
15827003,SCHOOL OF SCIEN,SCHOOL OF SCIEN,5,CHARTER,16200 TX 249,HOUSTON,77086,8,41,27,21
15827004,SCHOOL OF SCIEN,SCHOOL OF SCIEN,5,CHARTER,330 N SAM HOUSTON PKWY E,HOUSTON,77060,12,26,10,4
15828002,HARMONY SCIENCE,HARMONY SCHOOL,5,CHARTER,8125 GLEN MONT DR,SAN ANTONIO,78239,23,43,22,14
15828004,HARMONY SCIENCE,HARMONY SCHOOL,5,CHARTER,4608 DAUGHERTY AVE,LAREDO,78041,15,94,53,27
15828005,HARMONY SCIENCE,HARMONY SCIENCE,5,CHARTER,1124 CENTRAL BLVD,BROWNSVILLE,78520,10,59,30,20
15828006,HARMONY SCIENCE,HARMONY SCHOOL,5,CHARTER,2015 SW LOOP 410,SAN ANTONIO,78227,18,75,44,29
15830001,BROOKS ACADEMIE,BROOKS ACAD. OF,5,CHARTER,3803 LYSTER RD,SAN ANTONIO,78235,48,98,50,25
15830101,BROOKS ACADEMIE,BROOKS COLLEGIA,5,CHARTER,4802 VANCE JACKSON RD,SAN ANTONIO,78230,30,81,43,27
15830102,BROOKS ACADEMIE,BROOKS ACAD. LO,5,CHARTER,4802 VANCE JACKSON RD,SAN ANTONIO,78230,6,7,5,1
15830103,BROOKS ACADEMIE,BROOKS ACAD. OA,5,CHARTER,6070 BABCOCK RD,SAN ANTONIO,78240,2,16,12,9
15831001,SCHOOL OF SCIEN,SCHOOL OF SCIEN,5,CHARTER,5707 BANDERA RD,SAN ANTONIO,78238,13,36,22,16
15831002,SCHOOL OF SCIEN,SCHOOL OF SCIEN,5,CHARTER,6633 EVANS RD,CORPUS CHRISTI,78413,9,88,66,45
15831003,SCHOOL OF SCIEN,SCHOOL OF SCIEN,5,CHARTER,10550 WESTOFFICE DR,HOUSTON,77042,0,48,38,18
15831004,SCHOOL OF SCIEN,SCHOOL OF SCIEN,5,CHARTER,12042 CULEBRA RD,SAN ANTONIO,78253,3,13,7,4
15831005,SCHOOL OF SCIEN,SCHOOL OF SCIEN,5,CHARTER,10007 CLODINE RD,RICHMOND,77407,3,21,16,9
15834002,BASIS TEXAS,BASIS SAN ANTON,5,CHARTER,318 E RAMSEY RD,SAN ANTONIO,78216,7,120,92,73
15834101,BASIS TEXAS,BASIS SAN ANTON,5,CHARTER,8519 FLOYD CURL DR,SAN ANTONIO,78240,7,121,101,86
15835001,GREAT HEARTS TE,GREAT HEARTS MO,5,CHARTER,211 BELKNAP PLACE,SAN ANTONIO,78212,1,72,57,47
15835003,GREAT HEARTS TE,GREAT HEARTS NO,5,CHARTER,17223 JONES MALTSBERGER RD,SAN ANTONIO,78247,7,112,81,60
15835004,GREAT HEARTS TE,GREAT HEARTS IR,5,CHARTER,3350 W STORY RD,IRVING,75038,6,82,77,60
15835005,GREAT HEARTS TE,GREAT HEARTS WE,5,CHARTER,8702 INGRAM RD,SAN ANTONIO,78245,24,31,15,8
15836001,ELEANOR KOLITZ,ELEANOR KOLITZ,5,CHARTER,11327 DREAMLAND DR,SAN ANTONIO,78230,2,38,30,22
15901101,ALAMO HEIGHTS I,CAMBRIDGE ELEM.,5,INDEPENDENT,1001 TOWNSEND AVE,SAN ANTONIO,78209,28,143,110,76
15901104,ALAMO HEIGHTS I,WOODRIDGE ELEM.,5,INDEPENDENT,100 WOODRIDGE,SAN ANTONIO,78209,7,169,125,90
15904101,HARLANDALE ISD,CARROLL BELL EL,5,INDEPENDENT,519 W HARDING,SAN ANTONIO,78221,6,54,25,8
15904102,HARLANDALE ISD,BELLAIRE ELEM.,5,INDEPENDENT,142 E AMBER PL,SAN ANTONIO,78221,34,64,35,20
15904103,HARLANDALE ISD,COLLIER ELEM.,5,INDEPENDENT,834 W SOUTHCROSS BLVD,SAN ANTONIO,78211,12,59,37,24
15904104,HARLANDALE ISD,COLUMBIA HEIGHT,5,INDEPENDENT,1610 FITCH AVE,SAN ANTONIO,78211,24,36,19,12
15904105,HARLANDALE ISD,STONEWALL-FLAND,5,INDEPENDENT,804 STONEWALL,SAN ANTONIO,78211,19,69,42,26
15904106,HARLANDALE ISD,V.M. ADAMS ELEM,5,INDEPENDENT,135 E SOUTHCROSS BLVD,SAN ANTONIO,78214,34,87,51,31
15904107,HARLANDALE ISD,GILLETTE ELEM.,5,INDEPENDENT,625 GILLETTE BLVD,SAN ANTONIO,78221,3,61,51,34
15904108,HARLANDALE ISD,H.W. SCHULZE EL,5,INDEPENDENT,9131 YETT BLVD,SAN ANTONIO,78221,16,104,67,30
15904109,HARLANDALE ISD,MORRILL ELEM.,5,INDEPENDENT,5200 S FLORES ST,SAN ANTONIO,78214,8,37,20,11
15904110,HARLANDALE ISD,RAYBURN ELEM.,5,INDEPENDENT,635 RAYBURN DR,SAN ANTONIO,78221,11,41,23,13
15904113,HARLANDALE ISD,VESTAL ELEM.,5,INDEPENDENT,1102 CANTRELL DR,SAN ANTONIO,78221,9,46,35,21
15904114,HARLANDALE ISD,WRIGHT ELEM.,5,INDEPENDENT,115 E HUFF AVE,SAN ANTONIO,78214,18,61,27,14
15904116,HARLANDALE ISD,E.H. GILBERT EL,5,INDEPENDENT,931 E SOUTHCROSS BLVD,SAN ANTONIO,78214,6,61,46,27
15905104,EDGEWOOD ISD,ROY CISNEROS EL,5,INDEPENDENT,3011 RUIZ,SAN ANTONIO,78237,8,71,46,19
15905106,EDGEWOOD ISD,ALONSO S. PERAL,5,INDEPENDENT,1507 CERALVO ST,SAN ANTONIO,78237,27,45,19,12
15905108,EDGEWOOD ISD,GARDENDALE ELEM,5,INDEPENDENT,1731 DAHLGREEN ST,SAN ANTONIO,78237,17,51,27,10
15905109,EDGEWOOD ISD,L.B. JOHNSON EL,5,INDEPENDENT,6515 W COMMERCE ST,SAN ANTONIO,78227,42,54,23,11
15905110,EDGEWOOD ISD,LAS PALMAS ELEM,5,INDEPENDENT,115 LAS PALMAS DR,SAN ANTONIO,78237,27,34,16,7
15905112,EDGEWOOD ISD,LOMA PARK ELEM.,5,INDEPENDENT,400 AURORA DR,SAN ANTONIO,78228,33,64,28,12
15905113,EDGEWOOD ISD,ROOSEVELT ELEM.,5,INDEPENDENT,3823 FORTUNA CT,SAN ANTONIO,78237,30,58,23,12
15905114,EDGEWOOD ISD,STAFFORD ELEM.,5,INDEPENDENT,415 SW 36TH ST,SAN ANTONIO,78237,34,36,12,7
15905116,EDGEWOOD ISD,WINSTON ELEM.,5,INDEPENDENT,2500 S GENERAL MCMULLEN DR,SAN ANTONIO,78226,32,36,16,7
15905117,EDGEWOOD ISD,H.B. GONZALEZ E,5,INDEPENDENT,2803 CASTROVILLE RD,SAN ANTONIO,78237,22,55,23,9
15906101,RANDOLPH FIELD,RANDOLPH ELEM.,5,INDEPENDENT,BLDG 146,RANDOLPH A F B,78148,2,103,93,72
15907020,SAN ANTONIO ISD,JJA,5,INDEPENDENT,1402 HACKBERRY ST,SAN ANTONIO,78208,,,,
15907026,SAN ANTONIO ISD,ADVANCED LEARNI,5,INDEPENDENT,621 W EUCLID,SAN ANTONIO,78212,15,44,19,10
15907101,SAN ANTONIO ISD,ARNOLD ELEM.,5,INDEPENDENT,467 FREILING DR,SAN ANTONIO,78213,9,44,30,21
15907103,SAN ANTONIO ISD,CHARLES C. BALL,5,INDEPENDENT,343 KOEHLER CT,SAN ANTONIO,78223,20,38,12,8
15907105,SAN ANTONIO ISD,BASKIN ELEM.,5,INDEPENDENT,630 CRESTVIEW DR,SAN ANTONIO,78201,18,49,35,16
15907106,SAN ANTONIO ISD,BEACON HILL ACA,5,INDEPENDENT,1411 W ASHBY PL,SAN ANTONIO,78201,18,31,13,7
15907107,SAN ANTONIO ISD,BONHAM ACAD.,5,INDEPENDENT,925 S ST MARY'S ST,SAN ANTONIO,78205,12,38,23,14
15907110,SAN ANTONIO ISD,J.T. BRACKENRID,5,INDEPENDENT,1214 GUADALUPE ST,SAN ANTONIO,78207,22,52,28,16
15907112,SAN ANTONIO ISD,BRISCOE ELEM.,5,INDEPENDENT,2015 S FLORES ST,SAN ANTONIO,78204,10,58,25,10
15907114,SAN ANTONIO ISD,CAMERON ELEM.,5,INDEPENDENT,3635 BELGIUM LN,SAN ANTONIO,78219,12,41,22,7
15907116,SAN ANTONIO ISD,COLLINS GARDEN,5,INDEPENDENT,167 HARRIMAN PL,SAN ANTONIO,78204,23,53,26,12
15907117,SAN ANTONIO ISD,AGNES COTTON AC,5,INDEPENDENT,1616 BLANCO RD,SAN ANTONIO,78212,5,42,33,18
15907118,SAN ANTONIO ISD,DAVID CROCKETT,5,INDEPENDENT,2215 MORALES ST,SAN ANTONIO,78207,33,52,22,11
