CAMPUS,DNAME,CNAME,GRADE,District Type,School Site Street Address,School Site City,Zipcode,Below Grade Level,Approach Grade Level,Meet Grade Level,Master Grade Level,Income Below 75K,Income Over 100K,High School Diploma,Master Degree,Poverty Family,Non Poverty Family
7901041,CHARLOTTE ISD,CHARLOTTE M.S.,5,INDEPENDENT,95 ROSE BLVD,CHARLOTTE,78011.0,14.0,21.0,10.0,5.0,0.0,0.0,392.0,60.0,44.0,131.0
7902101,JOURDANTON ISD,JOURDANTON ELEM,5,INDEPENDENT,200 ZANDERSON AVE,JOURDANTON,78026.0,34.0,85.0,47.0,25.0,0.0,0.0,1241.0,61.0,0.0,758.0
7904101,LYTLE ISD,LYTLE ELEM.,5,INDEPENDENT,11550 LAREDO,LYTLE,78052.0,30.0,94.0,59.0,35.0,0.0,0.0,1389.0,232.0,144.0,1031.0
7905103,PLEASANTON ISD,PLEASANTON ELEM,5,INDEPENDENT,101 GRANT ST,PLEASANTON,78064.0,85.0,172.0,85.0,47.0,0.0,0.0,3182.0,627.0,40.0,1337.0
7906102,POTEET ISD,POTEET INTERMED,5,INDEPENDENT,838 SCHOOL DRIVEE,POTEET,78065.0,29.0,91.0,63.0,32.0,0.0,0.0,2105.0,62.0,219.0,987.0
8901102,BELLVILLE ISD,O'BRYANT INTERM,5,INDEPENDENT,414 S TESCH,BELLVILLE,77418.0,25.0,106.0,65.0,39.0,7.0,0.0,1477.0,513.0,180.0,861.0
8901105,BELLVILLE ISD,WEST END ELEM.,5,INDEPENDENT,7453 ERNST PKWY,INDUSTRY,78944.0,1.0,27.0,16.0,12.0,0.0,0.0,122.0,42.0,7.0,30.0
8902102,SEALY ISD,SELMAN ELEM.,5,INDEPENDENT,1741 HWY 90 W,SEALY,77474.0,24.0,93.0,55.0,37.0,2.0,3.0,2185.0,260.0,190.0,1643.0
8902104,SEALY ISD,SEALY ELEM.,5,INDEPENDENT,723 FM 2187,SEALY,77474.0,20.0,100.0,53.0,31.0,2.0,3.0,2185.0,260.0,190.0,1643.0
8903102,BRAZOS ISD,BRAZOS ELEM.,5,INDEPENDENT,9814 KIBLER ST,ORCHARD,77464.0,21.0,45.0,20.0,10.0,0.0,0.0,49.0,2.0,0.0,43.0
8903103,BRAZOS ISD,PRAIRIE HARBOR,5,INDEPENDENT,7146 HWY 60,WALLIS,77485.0,,,,,7.0,0.0,1028.0,107.0,4.0,495.0
9901101,MULESHOE ISD,MARY DESHAZO EL,5,INDEPENDENT,300 W 3RD,MULESHOE,79347.0,33.0,70.0,38.0,21.0,0.0,0.0,1001.0,106.0,320.0,787.0
10901001,MEDINA ISD,MEDINA SCHOOL,5,INDEPENDENT,ONE BOBCAT LN,MEDINA,78055.0,4.0,16.0,11.0,5.0,8.0,0.0,439.0,57.0,8.0,85.0
10902101,BANDERA ISD,ALKEK ELEM.,5,INDEPENDENT,1798 HWY 173 S,BANDERA,78003.0,14.0,74.0,52.0,31.0,0.0,0.0,1966.0,362.0,133.0,423.0
10902102,BANDERA ISD,HILL COUNTRY EL,5,INDEPENDENT,6346 FM 1283,PIPE CREEK,78063.0,32.0,51.0,20.0,7.0,0.0,0.0,1557.0,453.0,170.0,901.0
11901104,BASTROP ISD,BASTROP INTERME,5,INDEPENDENT,509 OLD AUSTIN HWY,BASTROP,78602.0,104.0,315.0,220.0,132.0,0.0,0.0,4183.0,1267.0,338.0,3170.0
11901108,BASTROP ISD,CEDAR CREEK INT,5,INDEPENDENT,151 VOSS PKWY,CEDAR CREEK,78612.0,106.0,309.0,185.0,94.0,0.0,0.0,1664.0,169.0,293.0,1531.0
11902101,ELGIN ISD,BOOKER T. WASHI,5,INDEPENDENT,510 MLK,ELGIN,78621.0,49.0,72.0,28.0,12.0,28.0,0.0,3149.0,465.0,574.0,2433.0
11902102,ELGIN ISD,ELGIN ELEM.,5,INDEPENDENT,1005 W 2ND ST,ELGIN,78621.0,43.0,59.0,31.0,12.0,28.0,0.0,3149.0,465.0,574.0,2433.0
11902103,ELGIN ISD,NEIDIG ELEM.,5,INDEPENDENT,13700 COUNTY LINE RD,ELGIN,78621.0,50.0,50.0,24.0,14.0,28.0,0.0,3149.0,465.0,574.0,2433.0
11904101,SMITHVILLE ISD,SMITHVILLE ELEM,5,INDEPENDENT,800 BISHOP ST,SMITHVILLE,78957.0,36.0,100.0,60.0,37.0,12.0,0.0,1777.0,300.0,96.0,827.0
11905101,MCDADE ISD,MCDADE ELEM.,5,INDEPENDENT,156 MARLIN ST,MCDADE,78650.0,13.0,21.0,11.0,5.0,0.0,0.0,374.0,25.0,34.0,151.0
12901042,SEYMOUR ISD,SEYMOUR M.S.,5,INDEPENDENT,409 W IDAHO ST,SEYMOUR,76380.0,3.0,44.0,28.0,12.0,0.0,0.0,586.0,90.0,7.0,456.0
13801101,ST. MARY'S ACAD,ST. MARY'S ACAD,5,CHARTER,410 N TYLER ST,BEEVILLE,78102.0,4.0,64.0,43.0,20.0,0.0,0.0,4029.0,419.0,435.0,1936.0
13901101,BEEVILLE ISD,R.A. HALL ELEM.,5,INDEPENDENT,1100 W HUNTINGTON,BEEVILLE,78102.0,24.0,95.0,49.0,26.0,0.0,0.0,4029.0,419.0,435.0,1936.0
13901102,BEEVILLE ISD,FADDEN-MCKEOWN-,5,INDEPENDENT,100 T J PFEIL,BEEVILLE,78102.0,39.0,72.0,26.0,12.0,0.0,0.0,4029.0,419.0,435.0,1936.0
13902101,PAWNEE ISD,PAWNEE ELEM. -,5,INDEPENDENT,6229 FM 798,PAWNEE,78145.0,0.0,14.0,9.0,6.0,0.0,0.0,14.0,0.0,0.0,20.0
13903101,PETTUS ISD,PETTUS ELEM.,5,INDEPENDENT,500 N BEE ST,PETTUS,78146.0,13.0,26.0,8.0,2.0,0.0,0.0,89.0,0.0,7.0,30.0
13905101,SKIDMORE-TYNAN,SKIDMORE-TYNAN,5,INDEPENDENT,325 BOBCAT TRAIL,SKIDMORE,78389.0,13.0,54.0,25.0,11.0,0.0,0.0,376.0,6.0,65.0,191.0
14803002,PRIORITY CHARTE,GEORGETOWN CHAR,5,CHARTER,302 SERENADA,GEORGETOWN,78628.0,1.0,4.0,1.0,1.0,91.0,0.0,4046.0,2391.0,39.0,3356.0
14803003,PRIORITY CHARTE,COVE CHARTER AC,5,CHARTER,2205 FM 3046,COPPERAS COVE,76522.0,5.0,15.0,7.0,3.0,0.0,0.0,4723.0,1187.0,414.0,3893.0
14803004,PRIORITY CHARTE,CEDAR PARK CHAR,5,CHARTER,201 BUTTERCUP CREEK BLVD,CEDAR PARK,78613.0,4.0,8.0,4.0,2.0,33.0,0.0,6018.0,6255.0,232.0,12870.0
14803101,PRIORITY CHARTE,TEMPLE CHARTER,5,CHARTER,7177 AIRPORT RD,TEMPLE,76502.0,2.0,21.0,15.0,9.0,0.0,0.0,5072.0,1903.0,431.0,4241.0
14804002,ORENDA CHARTER,NEW HORIZONS,5,CHARTER,850 FM 574 W,GOLDTHWAITE,76844.0,6.0,4.0,1.0,0.0,0.0,0.0,581.0,115.0,53.0,526.0
14804006,ORENDA CHARTER,GATEWAY COLLEGE,5,CHARTER,3360 WESTINGHOUSE RD,GEORGETOWN,78626.0,7.0,108.0,76.0,51.0,0.0,1.0,4664.0,1452.0,103.0,3874.0
14804007,ORENDA CHARTER,NOLAN CREEK SCH,5,CHARTER,505 E AVE C,BELTON,76513.0,3.0,9.0,7.0,3.0,66.0,0.0,4394.0,1999.0,283.0,4804.0
14804008,ORENDA CHARTER,KINGSLAND SCHOO,5,CHARTER,2112 W RANCH RD 1431,KINGSLAND,78639.0,8.0,11.0,3.0,1.0,0.0,0.0,1319.0,228.0,132.0,676.0
14901101,ACADEMY ISD,ACAD. INTERMEDI,5,INDEPENDENT,107 S PONDALILY,LITTLE RIVER,76554.0,8.0,127.0,97.0,63.0,0.0,0.0,437.0,39.0,27.0,386.0
14902001,BARTLETT ISD,BARTLETT SCHOOL,5,INDEPENDENT,404 N ROBINSON,BARTLETT,76511.0,5.0,22.0,11.0,3.0,5.0,0.0,577.0,25.0,37.0,193.0
14903102,BELTON ISD,LEON HEIGHTS EL,5,INDEPENDENT,1501 N MAIN,BELTON,76513.0,8.0,36.0,28.0,20.0,66.0,0.0,4394.0,1999.0,283.0,4804.0
14903103,BELTON ISD,MILLER HEIGHTS,5,INDEPENDENT,1110 FAIRWAY DR,BELTON,76513.0,6.0,30.0,20.0,8.0,66.0,0.0,4394.0,1999.0,283.0,4804.0
14903104,BELTON ISD,SOUTHWEST ELEM.,5,INDEPENDENT,611 S SAUNDERS,BELTON,76513.0,24.0,36.0,18.0,10.0,66.0,0.0,4394.0,1999.0,283.0,4804.0
14903108,BELTON ISD,LAKEWOOD ELEM.,5,INDEPENDENT,11200 FM 2305,BELTON,76513.0,3.0,123.0,102.0,84.0,66.0,0.0,4394.0,1999.0,283.0,4804.0
14903109,BELTON ISD,SPARTA ELEM.,5,INDEPENDENT,1800 SPARTA RD,BELTON,76513.0,4.0,86.0,69.0,51.0,66.0,0.0,4394.0,1999.0,283.0,4804.0
14903111,BELTON ISD,JOE M. PIRTLE E,5,INDEPENDENT,714 S PEA RDG,TEMPLE,76502.0,10.0,103.0,67.0,50.0,0.0,0.0,5072.0,1903.0,431.0,4241.0
14903116,BELTON ISD,TARVER ELEM.,5,INDEPENDENT,7949 STONEHOLLOW DR,TEMPLE,76502.0,5.0,117.0,83.0,55.0,0.0,0.0,5072.0,1903.0,431.0,4241.0
14903117,BELTON ISD,HIGH POINT ELEM,5,INDEPENDENT,1635 STARLIGHT DR,TEMPLE,76502.0,20.0,98.0,64.0,45.0,0.0,0.0,5072.0,1903.0,431.0,4241.0
14903118,BELTON ISD,CHISHOLM TRAIL,5,INDEPENDENT,1082 S WHEAT RD,BELTON,76513.0,17.0,108.0,59.0,36.0,66.0,0.0,4394.0,1999.0,283.0,4804.0
14905101,HOLLAND ISD,HOLLAND ELEM.,5,INDEPENDENT,503 CROCKETT ST,HOLLAND,76534.0,2.0,33.0,28.0,23.0,0.0,0.0,517.0,101.0,17.0,428.0
14906102,KILLEEN ISD,CLIFTON PARK EL,5,INDEPENDENT,2200 TRIMMIER RD,KILLEEN,76541.0,11.0,65.0,41.0,28.0,0.0,0.0,3078.0,219.0,388.0,1146.0
14906103,KILLEEN ISD,EAST WARD ELEM.,5,,,,,17.0,38.0,15.0,6.0,,,,,,
14906105,KILLEEN ISD,HARKER HEIGHTS,5,INDEPENDENT,726 S ANN BLVD,HARKER HEIGHTS,76548.0,13.0,72.0,57.0,30.0,102.0,0.0,3340.0,1980.0,255.0,3960.0
14906108,KILLEEN ISD,MEADOWS ELEM.,5,INDEPENDENT,423 27TH ST,FORT HOOD,76544.0,35.0,150.0,106.0,72.0,0.0,0.0,2049.0,307.0,245.0,2378.0
14906109,KILLEEN ISD,PEEBLES ELEM.,5,INDEPENDENT,1800 N W S YOUNG DR,KILLEEN,76543.0,25.0,84.0,47.0,20.0,0.0,0.0,4000.0,557.0,310.0,2204.0
14906110,KILLEEN ISD,PERSHING PARK E,5,INDEPENDENT,1500 W CENTRAL TX EXPWY,KILLEEN,76549.0,9.0,53.0,37.0,27.0,71.0,0.0,4993.0,1237.0,447.0,5126.0
14906111,KILLEEN ISD,SUGAR LOAF ELEM,5,INDEPENDENT,1517 BARBARA LN,KILLEEN,76549.0,22.0,62.0,36.0,19.0,71.0,0.0,4993.0,1237.0,447.0,5126.0
14906112,KILLEEN ISD,WEST WARD ELEM.,5,INDEPENDENT,709 W DEAN AVE,KILLEEN,76541.0,31.0,34.0,12.0,7.0,0.0,0.0,3078.0,219.0,388.0,1146.0
14906113,KILLEEN ISD,BELLAIRE ELEM.,5,INDEPENDENT,108 W JASPER,KILLEEN,76542.0,29.0,46.0,28.0,13.0,27.0,0.0,5251.0,1777.0,287.0,6192.0
14906115,KILLEEN ISD,NOLANVILLE ELEM,5,INDEPENDENT,901 OLD NOLANVILLE RD,NOLANVILLE,76559.0,14.0,73.0,51.0,35.0,0.0,0.0,609.0,159.0,96.0,637.0
14906119,KILLEEN ISD,HAY BRANCH ELEM,5,INDEPENDENT,6101 WESTCLIFF RD,KILLEEN,76543.0,28.0,61.0,26.0,14.0,0.0,0.0,4000.0,557.0,310.0,2204.0
14906120,KILLEEN ISD,WILLOW SPRINGS,5,INDEPENDENT,2501 W STAN SCHLUETER LOOP,KILLEEN,76549.0,36.0,87.0,52.0,24.0,71.0,0.0,4993.0,1237.0,447.0,5126.0
14906121,KILLEEN ISD,MOUNTAIN VIEW E,5,INDEPENDENT,500 MOUNTAIN LION RD,HARKER HEIGHTS,76548.0,17.0,142.0,94.0,49.0,102.0,0.0,3340.0,1980.0,255.0,3960.0
14906122,KILLEEN ISD,REECES CREEK EL,5,INDEPENDENT,400 W STAN SCHLUETER LOOP,KILLEEN,76542.0,26.0,100.0,52.0,33.0,27.0,0.0,5251.0,1777.0,287.0,6192.0
14906123,KILLEEN ISD,CLEAR CREEK ELE,5,INDEPENDENT,4800 WASHINGTON BLVD,FORT HOOD,76544.0,4.0,63.0,55.0,41.0,0.0,0.0,2049.0,307.0,245.0,2378.0
14906124,KILLEEN ISD,CEDAR VALLEY EL,5,INDEPENDENT,4801 CHANTZ DR,KILLEEN,76542.0,19.0,93.0,64.0,49.0,27.0,0.0,5251.0,1777.0,287.0,6192.0
14906125,KILLEEN ISD,BROOKHAVEN ELEM,5,INDEPENDENT,3221 HILLIARD AVE,KILLEEN,76543.0,19.0,62.0,28.0,15.0,0.0,0.0,4000.0,557.0,310.0,2204.0
14906126,KILLEEN ISD,VENABLE VILLAGE,5,INDEPENDENT,60160 VENABLE RD,FORT HOOD,76544.0,9.0,64.0,44.0,25.0,0.0,0.0,2049.0,307.0,245.0,2378.0
14906127,KILLEEN ISD,TRIMMIER ELEM.,5,INDEPENDENT,4400 SUCCESS DR,KILLEEN,76542.0,8.0,76.0,52.0,28.0,27.0,0.0,5251.0,1777.0,287.0,6192.0
14906128,KILLEEN ISD,MONTAGUE VILLAG,5,INDEPENDENT,84001 CLEMENT DR,FORT HOOD,76544.0,6.0,44.0,35.0,21.0,0.0,0.0,2049.0,307.0,245.0,2378.0
14906129,KILLEEN ISD,MAXDALE ELEM.,5,INDEPENDENT,2600 WESTWOOD DR,KILLEEN,76549.0,14.0,66.0,33.0,14.0,71.0,0.0,4993.0,1237.0,447.0,5126.0
14906130,KILLEEN ISD,IRA CROSS JR. E,5,INDEPENDENT,1910 HERNDON DR,KILLEEN,76543.0,12.0,89.0,64.0,36.0,0.0,0.0,4000.0,557.0,310.0,2204.0
14906131,KILLEEN ISD,IDUMA ELEM.,5,INDEPENDENT,4400 FOSTER LN,KILLEEN,76549.0,21.0,102.0,67.0,34.0,71.0,0.0,4993.0,1237.0,447.0,5126.0
14906133,KILLEEN ISD,TIMBER RIDGE EL,5,INDEPENDENT,5402 WHITE ROCK DR,KILLEEN,76542.0,31.0,159.0,103.0,71.0,27.0,0.0,5251.0,1777.0,287.0,6192.0
14906135,KILLEEN ISD,SAEGERT ELEM.,5,INDEPENDENT,5600 SCHORN DR,KILLEEN,76542.0,16.0,97.0,60.0,36.0,27.0,0.0,5251.0,1777.0,287.0,6192.0
14906136,KILLEEN ISD,SKIPCHA ELEM.,5,INDEPENDENT,515 PROSPECTOR TRL,HARKER HEIGHTS,76548.0,25.0,161.0,118.0,70.0,102.0,0.0,3340.0,1980.0,255.0,3960.0
14906137,KILLEEN ISD,RICHARD E. CAVA,5,INDEPENDENT,1200 N 10TH ST,NOLANVILLE,76559.0,2.0,88.0,52.0,34.0,0.0,0.0,609.0,159.0,96.0,637.0
14906138,KILLEEN ISD,HAYNES ELEM.,5,INDEPENDENT,3309 W CANADIAN RIVER LOOP,KILLEEN,76549.0,34.0,133.0,73.0,36.0,71.0,0.0,4993.0,1237.0,447.0,5126.0
14906139,KILLEEN ISD,DR. JOSEPH A. F,5,INDEPENDENT,4910 KATY CREEK LN,KILLEEN,76549.0,35.0,131.0,78.0,46.0,71.0,0.0,4993.0,1237.0,447.0,5126.0
14906140,KILLEEN ISD,ALICE W. DOUSE,5,INDEPENDENT,700 REBECCA LYNN DR,KILLEEN,76542.0,32.0,144.0,94.0,52.0,27.0,0.0,5251.0,1777.0,287.0,6192.0
14907102,ROGERS ISD,ROGERS ELEM.,5,INDEPENDENT,802 ROGERS CEMETRY RD,ROGERS,76569.0,11.0,52.0,37.0,19.0,8.0,0.0,568.0,26.0,15.0,269.0
14908102,SALADO ISD,THOMAS ARNOLD E,5,INDEPENDENT,550 THOMAS ARNOLD RD,SALADO,76571.0,15.0,121.0,80.0,48.0,13.0,0.0,840.0,635.0,76.0,1051.0
14909102,TEMPLE ISD,CATER ELEM.,5,INDEPENDENT,4111 LARK TRL,TEMPLE,76502.0,26.0,39.0,19.0,7.0,0.0,0.0,5072.0,1903.0,431.0,4241.0
14909107,TEMPLE ISD,JEFFERSON ELEM.,5,INDEPENDENT,2616 N 3RD ST,TEMPLE,76501.0,18.0,74.0,52.0,31.0,0.0,0.0,2547.0,341.0,218.0,1455.0
14909110,TEMPLE ISD,SCOTT ELEM.,5,INDEPENDENT,2301 W AVE P,TEMPLE,76504.0,24.0,51.0,30.0,16.0,0.0,0.0,4217.0,676.0,607.0,1409.0
14909111,TEMPLE ISD,THORNTON ELEM.,5,INDEPENDENT,2825 COTTONWOOD LN,TEMPLE,76502.0,32.0,97.0,58.0,29.0,0.0,0.0,5072.0,1903.0,431.0,4241.0
14909114,TEMPLE ISD,WESTERN HILLS E,5,INDEPENDENT,600 ARAPAHO DR,TEMPLE,76504.0,20.0,48.0,21.0,2.0,0.0,0.0,4217.0,676.0,607.0,1409.0
14909116,TEMPLE ISD,RAYE-ALLEN ELEM,5,INDEPENDENT,5015 S 5TH ST,TEMPLE,76502.0,12.0,61.0,38.0,22.0,0.0,0.0,5072.0,1903.0,431.0,4241.0
14909117,TEMPLE ISD,KENNEDY-POWELL,5,INDEPENDENT,3707 W NUGENT AVE,TEMPLE,76504.0,23.0,56.0,35.0,20.0,0.0,0.0,4217.0,676.0,607.0,1409.0
14909118,TEMPLE ISD,HECTOR P. GARCI,5,INDEPENDENT,2525 LAVENDUSKY DR,TEMPLE,76501.0,13.0,49.0,27.0,12.0,0.0,0.0,2547.0,341.0,218.0,1455.0
14910101,TROY ISD,TROY ELEM.,5,INDEPENDENT,808 E AUSTIN AVE,TROY,76579.0,14.0,108.0,79.0,39.0,0.0,0.0,836.0,56.0,48.0,534.0
15802001,GEORGE GERVIN A,GEORGE GERVIN A,5,CHARTER,6944 S SUNBELT DR,SAN ANTONIO,78218.0,8.0,49.0,38.0,24.0,0.0,0.0,4940.0,1229.0,495.0,2616.0
15805041,NEW FRONTIERS P,FRANK L. MADLA,5,CHARTER,4018 S PRESA,SAN ANTONIO,78223.0,15.0,19.0,9.0,4.0,0.0,0.0,9596.0,781.0,887.0,4599.0
15806101,SCHOOL OF EXCEL,DR. HARMON W. K,5,CHARTER,802 OBLATE DR,SAN ANTONIO,78216.0,1.0,17.0,4.0,2.0,47.0,0.0,5856.0,2331.0,345.0,2657.0
15806106,SCHOOL OF EXCEL,DR. DAVID C. WA,5,CHARTER,6500 IH 35 N STE C,SAN ANTONIO,78218.0,6.0,10.0,3.0,1.0,0.0,0.0,4940.0,1229.0,495.0,2616.0
15807001,SOUTHWEST PREPA,SOUTHWEST PREPA,5,CHARTER,1258 AUSTIN HWY,SAN ANTONIO,78209.0,5.0,8.0,3.0,1.0,164.0,0.0,2653.0,4180.0,40.0,3539.0
15807002,SOUTHWEST PREPA,SOUTHWEST PREPA,5,CHARTER,735 S WW WHITE RD,SAN ANTONIO,78220.0,2.0,11.0,3.0,2.0,0.0,0.0,2808.0,318.0,454.0,1070.0
15807101,SOUTHWEST PREPA,SOUTHWEST PREP,5,CHARTER,4151 CULEBRA RD,SAN ANTONIO,78228.0,8.0,5.0,2.0,2.0,33.0,0.0,10537.0,1037.0,1125.0,4546.0
15807102,SOUTHWEST PREPA,SEGUIN ELEM.,5,CHARTER,2400 WALNUT,SEGUIN,78155.0,7.0,11.0,6.0,1.0,71.0,0.0,9676.0,1399.0,262.0,4220.0
15808009,INSPIRE ACADEMI,ANNE FRANK INSP,5,CHARTER,11216 BANDERA RD,SAN ANTONIO,78249.0,7.0,23.0,15.0,5.0,0.0,5.0,3724.0,3566.0,249.0,4172.0
15808010,INSPIRE ACADEMI,JHW INSPIRE ACA,5,CHARTER,12550 STATE ROUTE 29,LIBERTY HILL,78642.0,4.0,2.0,1.0,1.0,11.0,0.0,1612.0,428.0,30.0,1773.0
15808011,INSPIRE ACADEMI,JHW INSPIRE ACA,5,CHARTER,108 E MAIN ST,LOMETA,76853.0,,,,,0.0,0.0,301.0,41.0,42.0,236.0
15808012,INSPIRE ACADEMI,JHW INSPIRE ACA,5,CHARTER,13326 N HWY 183,GONZALES,78629.0,,,,,7.0,22.0,2150.0,270.0,174.0,1143.0
15809101,BEXAR COUNTY AC,BEXAR COUNTY AC,5,CHARTER,1481 HILLCREST DR,SAN ANTONIO,78228.0,5.0,17.0,9.0,5.0,33.0,0.0,10537.0,1037.0,1125.0,4546.0
15815042,HERITAGE ACADEM,HERITAGE ACAD.,5,CHARTER,605 AMISTAD BLVD,DEL RIO,78840.0,10.0,13.0,5.0,0.0,0.0,0.0,5678.0,1132.0,1062.0,5544.0
15815104,HERITAGE ACADEM,HERITAGE ACAD.,5,CHARTER,8750 FOURWINDS DR,WINDCREST,78239.0,4.0,13.0,11.0,6.0,0.0,0.0,4311.0,1309.0,433.0,2175.0
15822001,JUBILEE ACADEMI,JUBILEE SAN ANT,5,CHARTER,4427 CHANDLER RD,SAN ANTONIO,78222.0,33.0,60.0,32.0,20.0,0.0,0.0,4176.0,569.0,256.0,1894.0
15822002,JUBILEE ACADEMI,JUBILEE HIGHLAN,5,CHARTER,1515 GOLIAD RD,SAN ANTONIO,78223.0,41.0,58.0,24.0,12.0,0.0,0.0,9596.0,781.0,887.0,4599.0
15822004,JUBILEE ACADEMI,JUBILEE - LAKE,5,CHARTER,325 CASTROVILLE RD,SAN ANTONIO,78207.0,26.0,43.0,22.0,13.0,0.0,0.0,7638.0,384.0,1251.0,3289.0
15822005,JUBILEE ACADEMI,JUBILEE HIGHLAN,5,CHARTER,901 E DREXEL AVE,SAN ANTONIO,78210.0,5.0,27.0,22.0,14.0,0.0,0.0,5915.0,777.0,504.0,2107.0
15822006,JUBILEE ACADEMI,JUBILEE KINGSVI,5,CHARTER,201 N 19TH ST,KINGSVILLE,78363.0,17.0,28.0,12.0,5.0,0.0,0.0,2950.0,948.0,443.0,2245.0
