CAMPUS,DNAME,CNAME,GRADE,m_all_unsatgl_nm,m_sexm_unsatgl_nm,m_sexf_unsatgl_nm,m_ethh_unsatgl_nm,m_ethi_unsatgl_nm,m_etha_unsatgl_nm,m_ethb_unsatgl_nm,m_ethp_unsatgl_nm,m_ethw_unsatgl_nm,m_ecoy_unsatgl_nm,m_econ_unsatgl_nm,m_eco1_unsatgl_nm,m_eco2_unsatgl_nm,m_eco9_unsatgl_nm,m_ti19_unsatgl_nm,m_migy_unsatgl_nm,m_mign_unsatgl_nm,m_spey_unsatgl_nm,m_spen_unsatgl_nm,m_gify_unsatgl_nm,m_gifn_unsatgl_nm,m_atry_unsatgl_nm,m_atrn_unsatgl_nm,m_all_approgl_nm,m_sexm_approgl_nm,m_sexf_approgl_nm,m_ethh_approgl_nm,m_ethi_approgl_nm,m_etha_approgl_nm,m_ethb_approgl_nm,m_ethp_approgl_nm,m_ethw_approgl_nm,m_ecoy_approgl_nm,m_econ_approgl_nm,m_eco1_approgl_nm,m_eco2_approgl_nm,m_eco9_approgl_nm,m_ti19_approgl_nm,m_migy_approgl_nm,m_mign_approgl_nm,m_spey_approgl_nm,m_spen_approgl_nm,m_gify_approgl_nm,m_gifn_approgl_nm,m_atry_approgl_nm,m_atrn_approgl_nm,m_all_meetsgl_nm,m_sexm_meetsgl_nm,m_sexf_meetsgl_nm,m_ethh_meetsgl_nm,m_ethi_meetsgl_nm,m_etha_meetsgl_nm,m_ethb_meetsgl_nm,m_ethp_meetsgl_nm,m_ethw_meetsgl_nm,m_ecoy_meetsgl_nm,m_econ_meetsgl_nm,m_eco1_meetsgl_nm,m_eco2_meetsgl_nm,m_eco9_meetsgl_nm,m_ti19_meetsgl_nm,m_migy_meetsgl_nm,m_mign_meetsgl_nm,m_spey_meetsgl_nm,m_spen_meetsgl_nm,m_gify_meetsgl_nm,m_gifn_meetsgl_nm,m_atry_meetsgl_nm,m_atrn_meetsgl_nm,m_all_mastrgl_nm,m_sexm_mastrgl_nm,m_sexf_mastrgl_nm,m_ethh_mastrgl_nm,m_ethi_mastrgl_nm,m_etha_mastrgl_nm,m_ethb_mastrgl_nm,m_ethp_mastrgl_nm,m_ethw_mastrgl_nm,m_ecoy_mastrgl_nm,m_econ_mastrgl_nm,m_eco1_mastrgl_nm,m_eco2_mastrgl_nm,m_eco9_mastrgl_nm,m_ti19_mastrgl_nm,m_migy_mastrgl_nm,m_mign_mastrgl_nm,m_spey_mastrgl_nm,m_spen_mastrgl_nm,m_gify_mastrgl_nm,m_gifn_mastrgl_nm,m_atry_mastrgl_nm,m_atrn_mastrgl_nm,School Number,School Site Street Address,School Site City,School Site Zip,District Type
3903120,LUFKIN ISD,ANDERSON ELEM.,3,29.0,17.0,12.0,9.0,,,15.0,,4.0,27.0,2.0,23.0,4.0,,,,29.0,10.0,19.0,,29.0,25.0,4.0,50.0,29.0,21.0,16.0,,,15.0,,15.0,40.0,10.0,39.0,1.0,,,,50.0,5.0,45.0,,50.0,32.0,18.0,20.0,15.0,5.0,6.0,,,5.0,,5.0,15.0,5.0,15.0,0.0,,,,20.0,0.0,20.0,,20.0,7.0,13.0,4.0,3.0,1.0,1.0,,,1.0,,0.0,4.0,0.0,4.0,0.0,,,,4.0,0.0,4.0,,4.0,3.0,1.0,'003903120,381 CHAMPION DR,LUFKIN,75901-7229,INDEPENDENT
3903121,LUFKIN ISD,BRANDON ELEM.,3,29.0,13.0,16.0,7.0,,,16.0,,5.0,27.0,2.0,27.0,,,,,29.0,5.0,24.0,3.0,26.0,27.0,2.0,96.0,48.0,48.0,24.0,,,21.0,,45.0,59.0,36.0,56.0,,,,,95.0,8.0,87.0,67.0,28.0,34.0,61.0,62.0,32.0,30.0,15.0,,,12.0,,31.0,34.0,27.0,32.0,,,,,61.0,7.0,54.0,46.0,15.0,14.0,47.0,31.0,14.0,17.0,6.0,,,3.0,,20.0,10.0,21.0,9.0,,,,,31.0,4.0,27.0,26.0,5.0,5.0,26.0,'003903121,1612 SAYERS ST,LUFKIN,75904-2012,INDEPENDENT
3903122,LUFKIN ISD,BROOKHOLLOW ELE,3,37.0,15.0,22.0,13.0,,,17.0,,6.0,36.0,1.0,34.0,2.0,,,,37.0,10.0,27.0,,37.0,26.0,11.0,64.0,36.0,28.0,23.0,,,18.0,,19.0,56.0,8.0,49.0,7.0,,,,64.0,6.0,58.0,,64.0,38.0,26.0,25.0,18.0,7.0,8.0,,,5.0,,9.0,21.0,4.0,18.0,3.0,,,,25.0,3.0,22.0,,25.0,10.0,15.0,12.0,8.0,4.0,3.0,,,4.0,,4.0,10.0,2.0,8.0,2.0,,,,12.0,2.0,10.0,,12.0,4.0,8.0,'003903122,1009 LIVE OAK LN,LUFKIN,75904-4245,INDEPENDENT
3903123,LUFKIN ISD,COSTON ELEM.,3,23.0,9.0,14.0,9.0,,,6.0,,7.0,22.0,1.0,20.0,,,,,23.0,4.0,19.0,,23.0,19.0,4.0,55.0,25.0,30.0,33.0,,,10.0,,10.0,48.0,7.0,48.0,,,,,55.0,6.0,49.0,,55.0,35.0,20.0,26.0,8.0,18.0,18.0,,,3.0,,5.0,23.0,3.0,23.0,,,,,26.0,0.0,26.0,,26.0,16.0,10.0,10.0,3.0,7.0,5.0,,,1.0,,4.0,9.0,1.0,9.0,,,,,10.0,0.0,10.0,,10.0,3.0,7.0,'003903123,707 TRENTON,LUFKIN,75901-2497,INDEPENDENT
3903129,LUFKIN ISD,SLACK ELEM.,3,29.0,13.0,16.0,17.0,,,8.0,,3.0,29.0,0.0,28.0,1.0,,,,29.0,6.0,23.0,,29.0,29.0,0.0,127.0,70.0,57.0,102.0,,,9.0,,13.0,111.0,16.0,105.0,6.0,,,,127.0,11.0,116.0,,127.0,103.0,24.0,71.0,41.0,30.0,59.0,,,4.0,,8.0,60.0,11.0,56.0,4.0,,,,71.0,3.0,68.0,,71.0,52.0,19.0,31.0,18.0,13.0,28.0,,,0.0,,3.0,25.0,6.0,24.0,1.0,,,,31.0,1.0,30.0,,31.0,21.0,10.0,'003903129,1305 FULLER SPRINGS DR,LUFKIN,75901-6515,INDEPENDENT
3904101,HUNTINGTON ISD,HUNTINGTON ELEM,3,27.0,8.0,19.0,5.0,,,,,20.0,21.0,6.0,21.0,0.0,,,,27.0,6.0,21.0,,27.0,23.0,4.0,86.0,42.0,44.0,7.0,,,,,78.0,48.0,38.0,43.0,5.0,,,,86.0,7.0,79.0,,83.0,35.0,51.0,44.0,24.0,20.0,5.0,,,,,38.0,21.0,23.0,19.0,2.0,,,,44.0,3.0,41.0,,41.0,13.0,31.0,21.0,11.0,10.0,3.0,,,,,17.0,8.0,13.0,7.0,1.0,,,,21.0,1.0,20.0,,18.0,2.0,19.0,'003904101,408 E LINN ST,HUNTINGTON,75949-0328,INDEPENDENT
3905103,DIBOLL ISD,H.G. TEMPLE INT,3,31.0,10.0,21.0,21.0,,,4.0,,4.0,31.0,0.0,30.0,1.0,,,,30.0,4.0,27.0,0.0,31.0,31.0,0.0,76.0,47.0,29.0,48.0,,,7.0,,21.0,61.0,15.0,48.0,13.0,,,,76.0,2.0,74.0,6.0,70.0,51.0,25.0,35.0,21.0,14.0,21.0,,,4.0,,10.0,27.0,8.0,22.0,5.0,,,,35.0,0.0,35.0,6.0,29.0,18.0,17.0,12.0,9.0,3.0,5.0,,,1.0,,6.0,6.0,6.0,5.0,1.0,,,,12.0,0.0,12.0,4.0,8.0,4.0,8.0,'003905103,1301 LUMBERJACK DR,DIBOLL,75941,INDEPENDENT
3906101,ZAVALLA ISD,ZAVALLA ELEM.,3,4.0,3.0,1.0,,,,,,2.0,3.0,1.0,3.0,,,,,4.0,,3.0,,4.0,2.0,2.0,23.0,10.0,13.0,,,,,,20.0,14.0,9.0,14.0,,,,,23.0,,22.0,,22.0,3.0,20.0,14.0,5.0,9.0,,,,,,11.0,9.0,5.0,9.0,,,,,14.0,,14.0,,13.0,1.0,13.0,9.0,2.0,7.0,,,,,,8.0,8.0,1.0,8.0,,,,,9.0,,9.0,,8.0,0.0,9.0,'003906101,431 E MAIN ST,ZAVALLA,75980-0045,INDEPENDENT
3907102,CENTRAL ISD,CENTRAL ELEM.,3,28.0,17.0,11.0,5.0,,,,,19.0,18.0,10.0,16.0,2.0,,,,28.0,16.0,12.0,0.0,28.0,17.0,11.0,74.0,37.0,37.0,19.0,,,,,48.0,44.0,30.0,41.0,3.0,,,,74.0,7.0,67.0,7.0,67.0,11.0,63.0,33.0,16.0,17.0,11.0,,,,,18.0,16.0,17.0,15.0,1.0,,,,33.0,2.0,31.0,6.0,27.0,3.0,30.0,13.0,6.0,7.0,5.0,,,,,6.0,5.0,8.0,4.0,1.0,,,,13.0,2.0,11.0,4.0,9.0,0.0,13.0,'003907102,8578 US HWY 69N,POLLOK,75969-9710,INDEPENDENT
4901101,ARANSAS COUNTY,FULTON LEARNING,3,91.0,40.0,51.0,39.0,,2.0,,,46.0,71.0,20.0,65.0,6.0,,,,90.0,19.0,72.0,1.0,90.0,81.0,10.0,126.0,65.0,61.0,52.0,,3.0,,,61.0,82.0,44.0,68.0,14.0,,,,126.0,2.0,124.0,17.0,109.0,49.0,77.0,51.0,31.0,20.0,22.0,,1.0,,,24.0,34.0,17.0,27.0,7.0,,,,51.0,0.0,51.0,16.0,35.0,11.0,40.0,28.0,16.0,12.0,12.0,,1.0,,,13.0,17.0,11.0,12.0,5.0,,,,28.0,0.0,28.0,14.0,14.0,5.0,23.0,'004901101,314 N 6TH ST,FULTON,78358-0907,INDEPENDENT
5901101,ARCHER CITY ISD,ARCHER CITY ELE,3,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,,0.0,27.0,12.0,15.0,,,,,,25.0,12.0,15.0,8.0,,,,,27.0,,24.0,,27.0,,26.0,23.0,11.0,12.0,,,,,,21.0,11.0,12.0,8.0,,,,,23.0,,21.0,,23.0,,22.0,18.0,10.0,8.0,,,,,,18.0,9.0,9.0,6.0,,,,,18.0,,16.0,,18.0,,18.0,'005901101,602 S ASH ST,ARCHER CITY,76351-0926,INDEPENDENT
5902101,HOLLIDAY ISD,HOLLIDAY ELEM.,3,15.0,6.0,9.0,0.0,,,,,14.0,5.0,10.0,4.0,,,,,15.0,,13.0,,15.0,2.0,13.0,53.0,24.0,29.0,5.0,,,,,47.0,11.0,42.0,10.0,,,,,53.0,,51.0,,49.0,5.0,48.0,30.0,12.0,18.0,2.0,,,,,28.0,5.0,25.0,5.0,,,,,30.0,,29.0,,26.0,3.0,27.0,7.0,2.0,5.0,0.0,,,,,7.0,2.0,5.0,2.0,,,,,7.0,,7.0,,6.0,0.0,7.0,'005902101,751 COLLEGE AVE,HOLLIDAY,76366-0689,INDEPENDENT
5904101,WINDTHORST ISD,WINDTHORST ELEM,3,1.0,1.0,0.0,1.0,,,,,0.0,1.0,0.0,0.0,,,,,1.0,,1.0,,1.0,1.0,0.0,22.0,12.0,10.0,4.0,,,,,18.0,8.0,14.0,6.0,,,,,22.0,,20.0,,22.0,10.0,12.0,14.0,9.0,5.0,0.0,,,,,14.0,1.0,13.0,1.0,,,,,14.0,,12.0,,14.0,3.0,11.0,9.0,4.0,5.0,0.0,,,,,9.0,0.0,9.0,0.0,,,,,9.0,,9.0,,9.0,0.0,9.0,'005904101,100 ST MARYS DR,WINDTHORST,76389-0190,INDEPENDENT
6902101,CLAUDE ISD,CLAUDE ELEM.,3,3.0,0.0,3.0,,,,,,3.0,1.0,2.0,1.0,,,,,3.0,,2.0,,3.0,2.0,1.0,24.0,11.0,13.0,,,,,,19.0,10.0,14.0,6.0,,,,,24.0,,21.0,,23.0,4.0,20.0,17.0,6.0,11.0,,,,,,14.0,6.0,11.0,3.0,,,,,17.0,,16.0,,16.0,0.0,17.0,14.0,6.0,8.0,,,,,,11.0,5.0,9.0,3.0,,,,,14.0,,13.0,,13.0,0.0,14.0,,,,,
7901101,CHARLOTTE ISD,CHARLOTTE ELEM.,3,2.0,2.0,0.0,1.0,,,,,,1.0,1.0,1.0,0.0,,,,2.0,,2.0,,2.0,2.0,0.0,28.0,16.0,12.0,27.0,,,,,,23.0,5.0,18.0,5.0,,,,28.0,,25.0,,26.0,22.0,6.0,15.0,10.0,5.0,14.0,,,,,,12.0,3.0,9.0,3.0,,,,15.0,,15.0,,13.0,12.0,3.0,4.0,2.0,2.0,4.0,,,,,,3.0,1.0,2.0,1.0,,,,4.0,,4.0,,2.0,2.0,2.0,'007901101,168 WATSON AVE,CHARLOTTE,78011-0489,INDEPENDENT
7902101,JOURDANTON ISD,JOURDANTON ELEM,3,35.0,16.0,19.0,25.0,,,,,9.0,27.0,8.0,25.0,2.0,,,,35.0,7.0,28.0,,35.0,12.0,23.0,84.0,32.0,52.0,42.0,,,,,40.0,36.0,48.0,33.0,3.0,,,,83.0,4.0,80.0,,81.0,15.0,69.0,40.0,19.0,21.0,19.0,,,,,19.0,15.0,25.0,14.0,1.0,,,,40.0,2.0,38.0,,37.0,5.0,35.0,15.0,9.0,6.0,6.0,,,,,9.0,3.0,12.0,2.0,1.0,,,,15.0,0.0,15.0,,13.0,2.0,13.0,'007902101,200 ZANDERSON AVE,JOURDANTON,78026-3045,INDEPENDENT
7904101,LYTLE ISD,LYTLE ELEM.,3,45.0,17.0,28.0,37.0,,,,,8.0,36.0,9.0,35.0,1.0,,,,45.0,6.0,39.0,,45.0,41.0,4.0,74.0,34.0,40.0,58.0,,,,,14.0,50.0,24.0,46.0,4.0,,,,73.0,1.0,73.0,,70.0,45.0,29.0,30.0,13.0,17.0,25.0,,,,,4.0,18.0,12.0,15.0,3.0,,,,30.0,0.0,30.0,,26.0,10.0,20.0,12.0,5.0,7.0,10.0,,,,,1.0,6.0,6.0,6.0,0.0,,,,12.0,0.0,12.0,,8.0,2.0,10.0,'007904101,11550 LAREDO,LYTLE,78052-1060,INDEPENDENT
7905103,PLEASANTON ISD,PLEASANTON ELEM,3,79.0,44.0,35.0,61.0,,,,,17.0,60.0,19.0,53.0,7.0,,,,79.0,18.0,61.0,0.0,79.0,44.0,35.0,159.0,91.0,68.0,107.0,,,,,47.0,97.0,62.0,88.0,8.0,,,,159.0,10.0,149.0,13.0,146.0,39.0,120.0,75.0,45.0,30.0,45.0,,,,,27.0,39.0,36.0,36.0,3.0,,,,75.0,3.0,72.0,13.0,62.0,11.0,64.0,35.0,23.0,12.0,19.0,,,,,15.0,18.0,17.0,16.0,2.0,,,,35.0,2.0,33.0,10.0,25.0,6.0,29.0,'007905103,101 GRANT ST,PLEASANTON,78064-3028,INDEPENDENT
7906101,POTEET ISD,POTEET ELEM.,3,41.0,26.0,15.0,37.0,,,,,4.0,38.0,3.0,34.0,4.0,,,,40.0,4.0,37.0,,41.0,32.0,9.0,90.0,42.0,48.0,80.0,,,,,9.0,73.0,17.0,65.0,8.0,,,,90.0,3.0,87.0,,88.0,48.0,42.0,42.0,22.0,20.0,39.0,,,,,3.0,32.0,10.0,26.0,6.0,,,,42.0,1.0,41.0,,40.0,18.0,24.0,9.0,7.0,2.0,9.0,,,,,0.0,6.0,3.0,6.0,0.0,,,,9.0,0.0,9.0,,7.0,4.0,5.0,'007906101,965 HORTON LN,POTEET,78065-0138,INDEPENDENT
8901101,BELLVILLE ISD,O'BRYANT PRIMAR,3,30.0,15.0,15.0,15.0,,,5.0,,9.0,22.0,8.0,21.0,,,,,30.0,10.0,20.0,0.0,30.0,27.0,3.0,113.0,53.0,60.0,39.0,,,6.0,,66.0,45.0,68.0,43.0,,,,,113.0,6.0,107.0,12.0,101.0,24.0,89.0,67.0,27.0,40.0,12.0,,,4.0,,50.0,18.0,49.0,17.0,,,,,67.0,3.0,64.0,11.0,56.0,9.0,58.0,34.0,14.0,20.0,6.0,,,1.0,,27.0,5.0,29.0,5.0,,,,,34.0,2.0,32.0,9.0,25.0,2.0,32.0,'008901101,413 S TESCH,BELLVILLE,77418-1599,INDEPENDENT
8901105,BELLVILLE ISD,WEST END ELEM.,3,7.0,5.0,2.0,,,,,,4.0,3.0,4.0,,,,,,7.0,,5.0,0.0,7.0,3.0,4.0,18.0,8.0,10.0,,,,,,17.0,4.0,14.0,,,,,,18.0,,17.0,11.0,7.0,3.0,15.0,11.0,5.0,6.0,,,,,,10.0,3.0,8.0,,,,,,11.0,,10.0,8.0,3.0,1.0,10.0,6.0,3.0,3.0,,,,,,6.0,2.0,4.0,,,,,,6.0,,6.0,6.0,0.0,0.0,6.0,'008901105,7453 ERNST PKWY,INDUSTRY,78944-0099,INDEPENDENT
8902102,SEALY ISD,SELMAN ELEM.,3,30.0,16.0,14.0,22.0,,,4.0,,4.0,22.0,8.0,19.0,3.0,,,,30.0,6.0,24.0,,30.0,22.0,8.0,75.0,40.0,35.0,42.0,,,5.0,,28.0,40.0,35.0,35.0,5.0,,,,75.0,2.0,73.0,,72.0,21.0,54.0,41.0,25.0,16.0,21.0,,,1.0,,19.0,18.0,23.0,16.0,2.0,,,,41.0,0.0,41.0,,38.0,5.0,36.0,15.0,10.0,5.0,11.0,,,0.0,,4.0,9.0,6.0,8.0,1.0,,,,15.0,0.0,15.0,,12.0,1.0,14.0,'008902102,1741 HWY 90 W,SEALY,77474-3400,INDEPENDENT
8902104,SEALY ISD,SEALY ELEM.,3,26.0,15.0,11.0,15.0,,,5.0,,6.0,22.0,4.0,17.0,5.0,,,,26.0,5.0,21.0,,26.0,19.0,7.0,67.0,35.0,32.0,31.0,,,2.0,,30.0,32.0,35.0,32.0,0.0,,,,67.0,3.0,64.0,,63.0,27.0,40.0,32.0,13.0,19.0,11.0,,,0.0,,21.0,14.0,18.0,14.0,0.0,,,,32.0,0.0,32.0,,28.0,7.0,25.0,12.0,6.0,6.0,2.0,,,0.0,,10.0,5.0,7.0,5.0,0.0,,,,12.0,0.0,12.0,,10.0,2.0,10.0,'008902104,723 FM 2187,SEALY,77474,INDEPENDENT
