CAMPUS,DNAME,CNAME,GRADE,m_all_unsatgl_nm,m_sexm_unsatgl_nm,m_sexf_unsatgl_nm,m_ethh_unsatgl_nm,m_ethi_unsatgl_nm,m_etha_unsatgl_nm,m_ethb_unsatgl_nm,m_ethp_unsatgl_nm,m_ethw_unsatgl_nm,m_ecoy_unsatgl_nm,m_econ_unsatgl_nm,m_eco1_unsatgl_nm,m_eco2_unsatgl_nm,m_eco9_unsatgl_nm,m_ti19_unsatgl_nm,m_migy_unsatgl_nm,m_mign_unsatgl_nm,m_spey_unsatgl_nm,m_spen_unsatgl_nm,m_gify_unsatgl_nm,m_gifn_unsatgl_nm,m_atry_unsatgl_nm,m_atrn_unsatgl_nm,m_all_approgl_nm,m_sexm_approgl_nm,m_sexf_approgl_nm,m_ethh_approgl_nm,m_ethi_approgl_nm,m_etha_approgl_nm,m_ethb_approgl_nm,m_ethp_approgl_nm,m_ethw_approgl_nm,m_ecoy_approgl_nm,m_econ_approgl_nm,m_eco1_approgl_nm,m_eco2_approgl_nm,m_eco9_approgl_nm,m_ti19_approgl_nm,m_migy_approgl_nm,m_mign_approgl_nm,m_spey_approgl_nm,m_spen_approgl_nm,m_gify_approgl_nm,m_gifn_approgl_nm,m_atry_approgl_nm,m_atrn_approgl_nm,m_all_meetsgl_nm,m_sexm_meetsgl_nm,m_sexf_meetsgl_nm,m_ethh_meetsgl_nm,m_ethi_meetsgl_nm,m_etha_meetsgl_nm,m_ethb_meetsgl_nm,m_ethp_meetsgl_nm,m_ethw_meetsgl_nm,m_ecoy_meetsgl_nm,m_econ_meetsgl_nm,m_eco1_meetsgl_nm,m_eco2_meetsgl_nm,m_eco9_meetsgl_nm,m_ti19_meetsgl_nm,m_migy_meetsgl_nm,m_mign_meetsgl_nm,m_spey_meetsgl_nm,m_spen_meetsgl_nm,m_gify_meetsgl_nm,m_gifn_meetsgl_nm,m_atry_meetsgl_nm,m_atrn_meetsgl_nm,m_all_mastrgl_nm,m_sexm_mastrgl_nm,m_sexf_mastrgl_nm,m_ethh_mastrgl_nm,m_ethi_mastrgl_nm,m_etha_mastrgl_nm,m_ethb_mastrgl_nm,m_ethp_mastrgl_nm,m_ethw_mastrgl_nm,m_ecoy_mastrgl_nm,m_econ_mastrgl_nm,m_eco1_mastrgl_nm,m_eco2_mastrgl_nm,m_eco9_mastrgl_nm,m_ti19_mastrgl_nm,m_migy_mastrgl_nm,m_mign_mastrgl_nm,m_spey_mastrgl_nm,m_spen_mastrgl_nm,m_gify_mastrgl_nm,m_gifn_mastrgl_nm,m_atry_mastrgl_nm,m_atrn_mastrgl_nm,School Number,School Site Street Address,School Site City,School Site Zip,District Type
3903120,LUFKIN ISD,ANDERSON ELEM.,5,14.0,8.0,6.0,5.0,,,7.0,,1.0,14.0,0.0,14.0,,,,,14.0,7.0,7.0,,14.0,13.0,1.0,71.0,36.0,35.0,26.0,,,27.0,,16.0,51.0,20.0,49.0,,,,,71.0,3.0,68.0,,71.0,40.0,31.0,49.0,23.0,26.0,19.0,,,15.0,,13.0,32.0,17.0,30.0,,,,,49.0,2.0,47.0,,49.0,23.0,26.0,30.0,13.0,17.0,11.0,,,7.0,,11.0,17.0,13.0,16.0,,,,,30.0,2.0,28.0,,30.0,10.0,20.0,'003903120,381 CHAMPION DR,LUFKIN,75901-7229,INDEPENDENT
3903121,LUFKIN ISD,BRANDON ELEM.,5,35.0,21.0,14.0,4.0,,,24.0,,4.0,33.0,2.0,32.0,1.0,,,,35.0,5.0,30.0,0.0,35.0,34.0,1.0,97.0,42.0,55.0,22.0,,,38.0,,32.0,55.0,42.0,50.0,5.0,,,,97.0,0.0,97.0,63.0,34.0,23.0,74.0,72.0,26.0,46.0,16.0,,,21.0,,30.0,35.0,37.0,30.0,5.0,,,,72.0,0.0,72.0,57.0,15.0,7.0,65.0,50.0,18.0,32.0,14.0,,,12.0,,19.0,21.0,29.0,16.0,5.0,,,,50.0,0.0,50.0,42.0,8.0,4.0,46.0,'003903121,1612 SAYERS ST,LUFKIN,75904-2012,INDEPENDENT
3903122,LUFKIN ISD,BROOKHOLLOW ELE,5,23.0,13.0,10.0,5.0,,,14.0,,2.0,20.0,3.0,20.0,0.0,,,,23.0,13.0,10.0,,23.0,15.0,8.0,82.0,41.0,41.0,24.0,,,32.0,,21.0,68.0,14.0,58.0,10.0,,,,81.0,7.0,75.0,,82.0,34.0,48.0,46.0,20.0,26.0,14.0,,,16.0,,13.0,37.0,9.0,31.0,6.0,,,,45.0,2.0,44.0,,46.0,13.0,33.0,28.0,14.0,14.0,7.0,,,11.0,,8.0,24.0,4.0,19.0,5.0,,,,28.0,1.0,27.0,,28.0,3.0,25.0,'003903122,1009 LIVE OAK LN,LUFKIN,75904-4245,INDEPENDENT
3903123,LUFKIN ISD,COSTON ELEM.,5,12.0,8.0,4.0,6.0,,,3.0,,3.0,11.0,1.0,11.0,,,,,12.0,2.0,10.0,,12.0,12.0,0.0,74.0,46.0,28.0,42.0,,,18.0,,11.0,65.0,9.0,62.0,,,,,74.0,4.0,70.0,,74.0,46.0,28.0,51.0,28.0,23.0,30.0,,,14.0,,5.0,46.0,5.0,43.0,,,,,51.0,1.0,50.0,,51.0,28.0,23.0,38.0,20.0,18.0,23.0,,,10.0,,4.0,33.0,5.0,31.0,,,,,38.0,0.0,38.0,,38.0,18.0,20.0,'003903123,707 TRENTON,LUFKIN,75901-2497,INDEPENDENT
3903129,LUFKIN ISD,SLACK ELEM.,5,44.0,23.0,21.0,30.0,,,6.0,,8.0,42.0,2.0,40.0,2.0,,,,44.0,8.0,36.0,,44.0,41.0,3.0,100.0,51.0,49.0,71.0,,,3.0,,24.0,81.0,19.0,71.0,10.0,,,,100.0,7.0,93.0,,100.0,55.0,45.0,58.0,29.0,29.0,41.0,,,1.0,,14.0,43.0,15.0,38.0,5.0,,,,58.0,1.0,57.0,,58.0,21.0,37.0,35.0,18.0,17.0,23.0,,,0.0,,11.0,25.0,10.0,23.0,2.0,,,,35.0,1.0,34.0,,35.0,7.0,28.0,'003903129,1305 FULLER SPRINGS DR,LUFKIN,75901-6515,INDEPENDENT
3904102,HUNTINGTON ISD,HUNTINGTON INTE,5,12.0,5.0,7.0,2.0,,,0.0,,10.0,10.0,2.0,9.0,1.0,,,,12.0,3.0,9.0,,12.0,10.0,2.0,113.0,69.0,44.0,9.0,,,5.0,,88.0,69.0,44.0,63.0,6.0,,,,113.0,13.0,100.0,,109.0,56.0,57.0,67.0,39.0,28.0,5.0,,,2.0,,54.0,36.0,31.0,32.0,4.0,,,,67.0,6.0,61.0,,63.0,23.0,44.0,40.0,23.0,17.0,3.0,,,1.0,,33.0,20.0,20.0,20.0,0.0,,,,40.0,2.0,38.0,,36.0,10.0,30.0,'003904102,950 GIBSON,HUNTINGTON,75949-0328,INDEPENDENT
3905103,DIBOLL ISD,H.G. TEMPLE INT,5,26.0,14.0,12.0,13.0,,,7.0,,5.0,24.0,2.0,21.0,3.0,,,,26.0,6.0,20.0,,26.0,26.0,0.0,117.0,68.0,49.0,69.0,,,7.0,,37.0,91.0,26.0,82.0,9.0,,,,117.0,5.0,112.0,,113.0,85.0,32.0,61.0,37.0,24.0,35.0,,,4.0,,21.0,45.0,16.0,41.0,4.0,,,,61.0,0.0,61.0,,57.0,34.0,27.0,33.0,22.0,11.0,15.0,,,2.0,,15.0,21.0,12.0,18.0,3.0,,,,33.0,0.0,33.0,,29.0,13.0,20.0,'003905103,1301 LUMBERJACK DR,DIBOLL,75941,INDEPENDENT
3906101,ZAVALLA ISD,ZAVALLA ELEM.,5,3.0,1.0,2.0,,,,,,3.0,3.0,,3.0,,,,,3.0,,1.0,,3.0,3.0,0.0,17.0,8.0,9.0,,,,,,16.0,15.0,,14.0,,,,,17.0,,16.0,,15.0,9.0,8.0,10.0,4.0,6.0,,,,,,10.0,9.0,,8.0,,,,,10.0,,10.0,,8.0,2.0,8.0,7.0,2.0,5.0,,,,,,7.0,6.0,,5.0,,,,,7.0,,7.0,,5.0,1.0,6.0,'003906101,431 E MAIN ST,ZAVALLA,75980-0045,INDEPENDENT
3907041,CENTRAL ISD,CENTRAL JR.H.,5,24.0,12.0,12.0,5.0,,,3.0,,16.0,18.0,6.0,17.0,1.0,,,,24.0,10.0,14.0,0.0,24.0,17.0,7.0,81.0,35.0,46.0,19.0,,,4.0,,56.0,46.0,35.0,36.0,10.0,,,,80.0,3.0,78.0,5.0,76.0,18.0,63.0,44.0,20.0,24.0,7.0,,,3.0,,33.0,22.0,22.0,17.0,5.0,,,,44.0,0.0,44.0,5.0,39.0,3.0,41.0,23.0,10.0,13.0,5.0,,,1.0,,17.0,14.0,9.0,11.0,3.0,,,,23.0,0.0,23.0,3.0,20.0,2.0,21.0,'003907041,7622 US HWY 69 N,POLLOK,75969-9710,INDEPENDENT
4901101,ARANSAS COUNTY,FULTON LEARNING,5,71.0,34.0,37.0,37.0,,0.0,,,30.0,60.0,11.0,57.0,3.0,,,,71.0,22.0,49.0,0.0,71.0,62.0,9.0,163.0,81.0,82.0,65.0,,5.0,,,87.0,111.0,52.0,92.0,19.0,,,,162.0,9.0,154.0,22.0,141.0,76.0,87.0,97.0,52.0,45.0,34.0,,3.0,,,56.0,55.0,42.0,47.0,8.0,,,,97.0,3.0,94.0,20.0,77.0,37.0,60.0,62.0,31.0,31.0,18.0,,3.0,,,39.0,32.0,30.0,24.0,8.0,,,,62.0,1.0,61.0,20.0,42.0,14.0,48.0,'004901101,314 N 6TH ST,FULTON,78358-0907,INDEPENDENT
5901101,ARCHER CITY ISD,ARCHER CITY ELE,5,1.0,1.0,0.0,,,,,,1.0,1.0,0.0,1.0,0.0,,,,1.0,,0.0,,1.0,0.0,1.0,32.0,17.0,15.0,,,,,,27.0,17.0,15.0,12.0,5.0,,,,32.0,,29.0,,30.0,10.0,22.0,24.0,14.0,10.0,,,,,,20.0,12.0,12.0,7.0,5.0,,,,24.0,,22.0,,22.0,3.0,21.0,15.0,9.0,6.0,,,,,,13.0,6.0,9.0,4.0,2.0,,,,15.0,,15.0,,13.0,1.0,14.0,'005901101,602 S ASH ST,ARCHER CITY,76351-0926,INDEPENDENT
5902101,HOLLIDAY ISD,HOLLIDAY ELEM.,5,9.0,4.0,5.0,1.0,,,,,8.0,5.0,4.0,4.0,,,,,9.0,8.0,1.0,0.0,9.0,0.0,9.0,74.0,47.0,27.0,5.0,,,,,69.0,15.0,59.0,14.0,,,,,74.0,4.0,70.0,7.0,67.0,6.0,68.0,60.0,41.0,19.0,4.0,,,,,56.0,9.0,51.0,8.0,,,,,60.0,2.0,58.0,7.0,53.0,3.0,57.0,42.0,28.0,14.0,3.0,,,,,39.0,6.0,36.0,5.0,,,,,42.0,1.0,41.0,7.0,35.0,3.0,39.0,'005902101,751 COLLEGE AVE,HOLLIDAY,76366-0689,INDEPENDENT
5904101,WINDTHORST ISD,WINDTHORST ELEM,5,1.0,1.0,0.0,1.0,,,,,0.0,0.0,1.0,0.0,,,,,1.0,,0.0,,1.0,1.0,0.0,27.0,14.0,13.0,8.0,,,,,18.0,11.0,16.0,8.0,,,,,27.0,,26.0,,24.0,7.0,20.0,19.0,11.0,8.0,5.0,,,,,13.0,6.0,13.0,5.0,,,,,19.0,,19.0,,16.0,3.0,16.0,15.0,10.0,5.0,3.0,,,,,11.0,5.0,10.0,4.0,,,,,15.0,,15.0,,12.0,1.0,14.0,'005904101,100 ST MARYS DR,WINDTHORST,76389-0190,INDEPENDENT
6902101,CLAUDE ISD,CLAUDE ELEM.,5,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,0.0,29.0,16.0,13.0,,,,,,25.0,10.0,19.0,9.0,,,,,29.0,,25.0,,25.0,10.0,19.0,21.0,10.0,11.0,,,,,,19.0,7.0,14.0,6.0,,,,,21.0,,20.0,,17.0,6.0,15.0,16.0,7.0,9.0,,,,,,15.0,6.0,10.0,5.0,,,,,16.0,,16.0,,12.0,2.0,14.0,,,,,
7901041,CHARLOTTE ISD,CHARLOTTE M.S.,5,14.0,9.0,5.0,14.0,,,,,,13.0,1.0,13.0,,,,,13.0,7.0,7.0,,14.0,14.0,0.0,21.0,9.0,12.0,17.0,,,,,,12.0,9.0,10.0,,,,,21.0,2.0,19.0,,20.0,16.0,5.0,10.0,6.0,4.0,7.0,,,,,,6.0,4.0,5.0,,,,,10.0,1.0,9.0,,9.0,6.0,4.0,5.0,4.0,1.0,3.0,,,,,,3.0,2.0,2.0,,,,,5.0,1.0,4.0,,4.0,3.0,2.0,'007901041,95 ROSE BLVD,CHARLOTTE,78011-0489,INDEPENDENT
7902101,JOURDANTON ISD,JOURDANTON ELEM,5,34.0,17.0,17.0,21.0,,,,,12.0,21.0,13.0,20.0,1.0,,,,34.0,8.0,26.0,0.0,34.0,33.0,1.0,85.0,46.0,39.0,54.0,,,,,31.0,39.0,46.0,34.0,5.0,,,,84.0,2.0,83.0,6.0,79.0,39.0,46.0,47.0,26.0,21.0,25.0,,,,,22.0,18.0,29.0,15.0,3.0,,,,47.0,2.0,45.0,5.0,42.0,10.0,37.0,25.0,15.0,10.0,11.0,,,,,14.0,9.0,16.0,7.0,2.0,,,,25.0,0.0,25.0,5.0,20.0,2.0,23.0,'007902101,200 ZANDERSON AVE,JOURDANTON,78026-3045,INDEPENDENT
7904101,LYTLE ISD,LYTLE ELEM.,5,30.0,17.0,13.0,29.0,,,,,1.0,22.0,8.0,22.0,0.0,,,,29.0,5.0,25.0,0.0,30.0,28.0,2.0,94.0,42.0,52.0,73.0,,,,,21.0,66.0,28.0,60.0,6.0,,,,94.0,2.0,92.0,5.0,89.0,52.0,42.0,59.0,27.0,32.0,43.0,,,,,16.0,35.0,24.0,30.0,5.0,,,,59.0,1.0,58.0,5.0,54.0,23.0,36.0,35.0,14.0,21.0,25.0,,,,,10.0,17.0,18.0,14.0,3.0,,,,35.0,0.0,35.0,5.0,30.0,10.0,25.0,'007904101,11550 LAREDO,LYTLE,78052-1060,INDEPENDENT
7905103,PLEASANTON ISD,PLEASANTON ELEM,5,85.0,43.0,42.0,60.0,,,,,23.0,60.0,25.0,54.0,6.0,,,,83.0,25.0,60.0,0.0,85.0,74.0,10.0,172.0,89.0,83.0,114.0,,,,,53.0,88.0,84.0,76.0,12.0,,,,172.0,9.0,163.0,11.0,161.0,95.0,77.0,85.0,40.0,45.0,50.0,,,,,30.0,36.0,49.0,31.0,5.0,,,,85.0,5.0,80.0,11.0,74.0,29.0,56.0,47.0,22.0,25.0,25.0,,,,,19.0,17.0,30.0,16.0,1.0,,,,47.0,3.0,44.0,11.0,36.0,9.0,38.0,'007905103,101 GRANT ST,PLEASANTON,78064-3028,INDEPENDENT
7906102,POTEET ISD,POTEET INTERMED,5,29.0,17.0,12.0,22.0,,,,,6.0,26.0,3.0,25.0,1.0,,,,29.0,8.0,21.0,0.0,29.0,24.0,5.0,91.0,44.0,47.0,81.0,,,,,10.0,74.0,17.0,61.0,13.0,,,,91.0,4.0,87.0,9.0,82.0,37.0,54.0,63.0,32.0,31.0,53.0,,,,,10.0,47.0,16.0,37.0,10.0,,,,63.0,1.0,62.0,9.0,54.0,21.0,42.0,32.0,15.0,17.0,28.0,,,,,4.0,22.0,10.0,18.0,4.0,,,,32.0,0.0,32.0,7.0,25.0,5.0,27.0,'007906102,838 SCHOOL DRIVEE,POTEET,78065,INDEPENDENT
8901102,BELLVILLE ISD,O'BRYANT INTERM,5,25.0,17.0,8.0,14.0,,,6.0,,5.0,20.0,5.0,19.0,1.0,,,,25.0,10.0,15.0,0.0,25.0,24.0,1.0,106.0,53.0,53.0,33.0,,,8.0,,63.0,51.0,55.0,46.0,5.0,,,,106.0,8.0,98.0,14.0,92.0,42.0,64.0,65.0,33.0,32.0,16.0,,,2.0,,46.0,24.0,41.0,21.0,3.0,,,,65.0,1.0,64.0,14.0,51.0,12.0,53.0,39.0,18.0,21.0,8.0,,,0.0,,30.0,14.0,25.0,12.0,2.0,,,,39.0,1.0,38.0,14.0,25.0,2.0,37.0,'008901102,414 S TESCH,BELLVILLE,77418-1599,INDEPENDENT
8901105,BELLVILLE ISD,WEST END ELEM.,5,1.0,1.0,0.0,,,,,,0.0,1.0,0.0,1.0,,,,,1.0,,0.0,0.0,1.0,1.0,0.0,27.0,15.0,12.0,,,,,,23.0,7.0,20.0,4.0,,,,,27.0,,27.0,10.0,17.0,8.0,19.0,16.0,10.0,6.0,,,,,,13.0,5.0,11.0,2.0,,,,,16.0,,16.0,9.0,7.0,3.0,13.0,12.0,7.0,5.0,,,,,,9.0,5.0,7.0,2.0,,,,,12.0,,12.0,8.0,4.0,1.0,11.0,'008901105,7453 ERNST PKWY,INDUSTRY,78944-0099,INDEPENDENT
8902102,SEALY ISD,SELMAN ELEM.,5,24.0,8.0,16.0,18.0,,,2.0,,4.0,20.0,4.0,15.0,5.0,,,,24.0,6.0,18.0,,24.0,24.0,0.0,93.0,50.0,43.0,42.0,,,10.0,,35.0,47.0,46.0,42.0,5.0,,,,92.0,6.0,87.0,,88.0,45.0,47.0,55.0,29.0,26.0,20.0,,,3.0,,27.0,19.0,36.0,17.0,2.0,,,,55.0,1.0,54.0,,51.0,16.0,39.0,37.0,22.0,15.0,14.0,,,0.0,,20.0,11.0,26.0,11.0,0.0,,,,37.0,0.0,37.0,,34.0,8.0,29.0,'008902102,1741 HWY 90 W,SEALY,77474-3400,INDEPENDENT
8902104,SEALY ISD,SEALY ELEM.,5,20.0,12.0,8.0,10.0,,,4.0,,6.0,16.0,4.0,16.0,0.0,,,,19.0,4.0,16.0,0.0,20.0,20.0,0.0,100.0,47.0,53.0,51.0,,,9.0,,37.0,56.0,44.0,50.0,6.0,,,,100.0,3.0,97.0,6.0,94.0,46.0,54.0,53.0,28.0,25.0,26.0,,,3.0,,22.0,26.0,27.0,23.0,3.0,,,,53.0,1.0,52.0,6.0,47.0,12.0,41.0,31.0,18.0,13.0,13.0,,,2.0,,15.0,14.0,17.0,13.0,1.0,,,,31.0,0.0,31.0,6.0,25.0,3.0,28.0,'008902104,723 FM 2187,SEALY,77474,INDEPENDENT
